Rifles de Asalto,Rango de Daño Máximo (m),Daño extremidades,Daño Torso inferior,Daño torso superior,Balas por minuto,Daño por segundo,Daño a la cabeza,Retroceso
AS VAL,32,30,30,37,923,569,47,7
CR-56 AMAX,25,35,35,42,645,452,56,6
AS VAL SPP ,27,48,52,57,500,475,100,4
AK-47 (CW),25,36,36,43,600,430,58,6
FN FAL,21,49,49,58,476,460,100,5
M4A1 - 458,35,48,48,48,588,470,72,4
AK (5.45x39mm),17,34,34,40,667,445,55,8
M4A1 - 9mm,16,22,25,25,1000,417,40,6
AK-47 (MW),28,35,35,42,541,379,56,9
RAM-7,28,28,28,28,857,400,42,5
XM4,22,32,32,32,722,385,48,5
Oden,43,48,48,62,411,425,77,7
FFAR 1,31,27,27,27,909,409,40,6
Fara 83,27,31,31,31,800,413,41,3
M4A1,29,28,28,28,800,373,42,3
AN-94,22,31,31,34,571,374,46,5
Groza,32,28,28,30,750,375,45,7
Kilo 141,31,28,28,28,750,350,42,1
Krig 6,38,30,33,33,652,359,45,2
Grau 5.56,31,28,28,28,723,337,42,3
M13,37,24,24,24,896,358,36,0
M13 (300 BlkOut),41,24,24,24,896,358,36,0
QBZ-83,31,28,28,30,681,341,42,4
SCAR 17,33,35,35,35,571,333,56,9
CR-56 10RND,25,48,52,57,309,294,100,4
FR 556,80,40,40,40,1000,360,64,7
M4A1 - Rafaga,29,28,28,28,800,373,42,3
FR 556 -  Single,80,40,40,40,1000,360,64,6
