Rifles Tácticos,Rango de Daño Máximo (m),Daño extremidades,Daño Torso inferior,Daño torso superior,Balas por minuto,Daño por segundo,Daño a la cabeza,Retroceso
Dragunov,68,70,70,136,187,424,175,7
Rytec AMR,61,91,102,112,165,308,250,6
Rytec AMR - Explosiva,61,176,176,176,165,484,250,6
Rytec AMR - Termita,61,130,141,151,165,415,250,6
AX50,100,91,107,112,38,71,250,2
HDR,100,91,112,112,34,63,250,2
LW3 - Tundra,100,91,102,112,47,88,250,2
M82,100,91,102,112,180,336,250,6
Pelington 703,70,91,102,112,54,101,250,2
ZRG 20mm,115,91,117,126,43,90,250,2
Swiss K31,70,91,102,112,60,112,250,2
