edad,peso,estatura,alim_principal,proteinas,veg_frut,gras_aceit,lacteos,cere_gran,azuc_dul,act_fisica,tipo_act,frec_act,tiem_act,ciclo,clasificacion
18,76,1.77,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,4 veces por semana,2 veces por semana,5 veces por semana,6 veces por semana,2 veces por semana,Sí,"Tenis, Gimnasio/Calistenia/Crossfit, Artes Marciales, Running, Ciclismo",4/5 veces por semana,7200,Tercer Ciclo,1.Décimo superior
18,75,1.85,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,5 veces por semana,7 veces por semana,4 veces por semana,3 veces por semana,Sí,"Básquet, Gimnasio/Calistenia/Crossfit",4/5 veces por semana,5400,Tercer Ciclo,3.Tercio superior
18,51,1.72,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,7 veces por semana,7 veces por semana,6 veces por semana,7 veces por semana,4 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,3.Tercio superior
18,67.5,1.79,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,3 veces por semana,5 veces por semana,4 veces por semana,2 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,4/5 veces por semana,7200,Tercer Ciclo,2.Quinto superior
18,76,1.77,"No procesados (Comida Casera, Menú, Cafetería, etc.)",7 veces por semana,5 veces por semana,2 veces por semana,6 veces por semana,5 veces por semana,2 veces por semana,Sí,"Tenis, Gimnasio/Calistenia/Crossfit, Artes Marciales, Running, Ciclismo",4/5 veces por semana,7200,Tercer Ciclo,1.Décimo superior
18,74,1.83,"No procesados (Comida Casera, Menú, Cafetería, etc.)",6 veces por semana,7 veces por semana,4 veces por semana,4 veces por semana,3 veces por semana,5 veces por semana,Sí,Gimnasio/Calistenia/Crossfit,6/7 veces por semana,9000,Tercer Ciclo,4.Medio superior
18,56,1.64,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,3 veces por semana,3 veces por semana,4 veces por semana,5 veces por semana,2 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,3.Tercio superior
18,98,1.7,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,No,No ejercita,No ejercita,0,Tercer Ciclo,4.Medio superior
18,104,1.8,"Procesados (Chatarra, Cadenas Comerciales, Instantáneos, etc.)",0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,0 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,3.Tercio superior
18,85,1.75,"No procesados (Comida Casera, Menú, Cafetería, etc.)",4 veces por semana,2 veces por semana,2 veces por semana,2 veces por semana,4 veces por semana,3 veces por semana,No,No ejercita,No ejercita,0,Segundo Ciclo,3.Tercio superior
