"","Codigo","Sexo","Edad","Carrera","Ciclo","Creditos","Vive_solo","Ha_jugado","Gasto","Costo","Frecuencia","Estudio","Amigos","Frecuencia_amigos","Promedio","Afecta","Favorito","Horas_juego","Jugar_es_divertido","Continua","Bueno","Arcade","Aventura","Deportes_y_carreras","Estrategia","Casual","RPG","MOBA","Peleas","Plataformas","Sandbox","Shooter","Simulacion","Consola","Movil","PC","Tablet"
"1","201820100","Masculino",23,"Ingeniería Química",7,19,FALSE,TRUE,150,70,8,6,TRUE,6,12.43,"Tal vez","counter strike",2000,7,6,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"2","202120115","Masculino",19,"Ciencia de la Computación",3,16,TRUE,TRUE,300,60,10,25,TRUE,5,14,"No","ark",1092,7,7,5,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"3","20214163","Masculino",21,"Ingeniería Industrial",7,21,FALSE,TRUE,200,120,24,2,TRUE,6,14.8,"No","assasins creed",52,7,7,5,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4","201920016","Masculino",22,"Ciencia de la Computación",7,16,FALSE,TRUE,50,30,4,10,TRUE,1,13.4,"Tal vez","minecraft",700,7,5,5,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"5","202210214","Masculino",17,"Ingeniería Química",2,16,FALSE,TRUE,15,45,4,10,TRUE,1,15.2,"No","fifa",251,7,7,5,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"6","202120623","Masculino",18,"Ciencia de la Computación",3,18,FALSE,TRUE,100,20,4,1,TRUE,4,11.5,"Tal vez","valorant",400,7,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"7","202120730","Femenino",19,"Ingeniería Química",3,18,FALSE,TRUE,40,28,2,4,TRUE,1,NA,"No","minecraft",72,6,6,6,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"8","202120717","Femenino",18,"Ingeniería Ambiental",3,24,FALSE,TRUE,30,10,2,5,FALSE,NA,14.61,"Tal vez","plants vs zombies",1,5,4,4,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9","202120302","Masculino",18,"Ciencia de la Computación",3,19,FALSE,TRUE,37,37,2,6,TRUE,2,16.45,"No","left 4 dead",600,7,7,7,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"10","201820128","Masculino",23,"Ingeniería Química",5,17,FALSE,TRUE,0,0,2,4,FALSE,NA,14.2,"Tal vez","pokemon",12,6,6,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"11","201910481","Masculino",22,"Ingeniería Industrial",8,19,FALSE,TRUE,100,15,2,5,TRUE,1,14.6,"Tal vez","crash",100,6,4,6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"12","201710053","Masculino",34,"Ingeniería de la Energía",3,8,FALSE,TRUE,300,50,3,25,TRUE,2,10.94,"No","final fantasy",40,7,5,6,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"13","202110287","Masculino",18,"Ciencia de la Computación",5,15,TRUE,TRUE,10,10,4,3,TRUE,1,15,"Sí","league of legends",5,7,7,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"14","202120407","Masculino",20,"Ingeniería Industrial",3,21,TRUE,TRUE,240,0,1,2,TRUE,1,15.3,"Tal vez","fortnite",1,6,5,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
