Marca.temporal,Edad,SitLab,Horas_trabajo,Dias_trabajo,Minutos_trabajo,DistritoR,DistritoV,Estudios,Religion,Dispositivos,ConocimientoIA,ConocimientoRIA,Consciente,ConoceIAs,UsoIA,DivulgaIA,ReemplazoIA1,ReemplazoIA2,ReemplazoIA3,ProblemaIA,GradoInsatisfaccion
25/04/2023 23:04:09,21,Desempleado,0,0,0,Lima Oeste,Lima Oeste,Estudiante ,Católico,Laptop O Computadora,No del todo,No,No del todo,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Programar",Si,0,0,1,No,3
27/04/2023 0:43:24,20,Desempleado,0,0,0,Lima Oeste,Lima Oeste,Bachiller,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,Sí,3
27/04/2023 0:59:04,29,Empleado de medio tiempo,NA,NA,NA,Lima Este,Lima Este,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Realizar alguna tarea",Si,1,1,0,Sí,3
30/04/2023 18:00:13,21,Desempleado,0,0,0,Lima Este,NA,Secundaria,NA,"Laptop O Computadora, Tableta, Smartphone",Sí,No,No del todo,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,Sí,3
30/04/2023 18:21:05,19,Empleado en múltiples empleos,NA,NA,NA,Lima Oeste,Lima Oeste,Secundaria,Agnóstico,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,1,Sí,1
30/04/2023 23:48:55,18,Desempleado,0,0,0,Lima Sur,NA,Secundaria,Adventista ,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,No del todo,Sí,Organizar horarios,Si,1,1,0,Sí,3
1/05/2023 0:50:00,18,Empleado de medio tiempo,NA,NA,NA,Lima Norte,Lima Norte,Secundaria,Agnóstico,"Laptop O Computadora, Tableta, Smartphone",Sí,Tal vez,Si,Sí,"Organizar horarios, Obtener información, Realizar alguna tarea, Programar",Si,1,0,0,No,1
1/05/2023 4:34:15,29,Empleado de medio tiempo,NA,NA,NA,Lima Este,Lima Este,Secundaria,Católico,"Laptop O Computadora, Smartphone",Sí,Tal vez,Si,Sí,"Obtener información, Realizar alguna tarea, Consultar definiciones",Si,1,1,0,Sí,2
1/05/2023 9:26:02,20,Desempleado,0,0,0,Lima Oeste,Lima Oeste,Bachiller,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar, Otros",Si,1,1,1,Sí,3
1/05/2023 10:24:52,21,Desempleado,0,0,0,NA,NA,Secundaria,Católico,,Sí,Tal vez,No del todo,No del todo,"Armar presentaciones, Consultar definiciones, Programar",Si,1,1,1,No,3
2/05/2023 22:44:45,18,Desempleado,0,0,0,Lima Oeste,NA,Secundaria,Cristiano,"Laptop O Computadora, Tableta, Smartphone",No del todo,Tal vez,No del todo,Sí,"Organizar horarios, Armar presentaciones, Consultar definiciones",Si,1,1,1,No,1
3/05/2023 9:25:27,23,Empleado de medio tiempo,NA,NA,NA,Lima Norte,Lima Norte,Bachiller,Católico,Laptop O Computadora,No del todo,No,No del todo,No,Otros,Si,1,1,1,Sí,4
3/05/2023 9:30:24,23,Empleado de medio tiempo,NA,NA,NA,Lima Norte,Lima Norte,Bachiller,Cristiano,Laptop O Computadora,No del todo,Tal vez,Si,No,Otros,Si,1,1,1,Sí,4
3/05/2023 11:16:57,NA,Desempleado,0,0,0,Lima Oeste,Lima Oeste,Secundaria,Católico,Laptop O Computadora,No del todo,Tal vez,No del todo,No del todo,"Organizar horarios, Obtener información, Armar presentaciones, Programar",Si,0,0,0,No,2
3/05/2023 13:01:27,20,Desempleado,0,0,0,Lima Norte,Lima Norte,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",Sí,Sí,Si,Sí,"Organizar horarios, Obtener información, Armar presentaciones, Realizar alguna tarea, Consultar definiciones, Programar",Si,1,1,0,Sí,3
3/05/2023 19:32:44,19,Empleado de medio tiempo,NA,NA,NA,Lima Oeste,Lima Oeste,Secundaria,Cristiano,"Laptop O Computadora, Smartphone",No del todo,Tal vez,Si,Sí,"Organizar horarios, Consultar definiciones, Programar",Si,1,1,1,Sí,2
