Marca temporal,¿Cuál es su edad? (años),¿Cuál es su sexo?,¿En qué universidad estudia? ,¿Qué carrera universitaria estudia?,¿En que ciclo se encuentra actualmente?,¿Cuál fue su promedio ponderado en su ciclo pasado? (colocar 2 decimales),¿Cuántos cursos está llevando actualmente?,¿Qué tanta dificultad encuentras en tus cursos?,¿Cuánto tiempo dedicas al estudio por dia? (en minutos),Indique su grado de satisfacción de acuerdo a las preguntas planteadas. [¿Crees que tus profesores dificultan tu aprendizaje?],Indique su grado de satisfacción de acuerdo a las preguntas planteadas. [¿Crees que la infraestructura de tu universidad favorece tu aprendizaje?],Indique (Si / No) basados en las preguntas planteadas. [¿Crees que tu universidad invierte lo suficiente en sus laboratorios?],Indique (Si / No) basados en las preguntas planteadas. [¿Crees que tu universidad invierte lo suficiente con respecto al apoyo al bienestar de los estudiantes? (Académica y/o psicológica)],Durante los ciclos virtuales. ¿Qué tan buena te pareció la  educación brindada por tu universidad?,¿Con qué dispositivo móvil ( en su mayoría ) accedía a sus clases virtuales?,En una escala de 1 al 10. ¿Cuánto consideras que tu universidad apoya en los intercambios estudiantiles? ,¿Que medios de movilización hay en tu universidad? [Ascensor ],¿Que medios de movilización hay en tu universidad? [Bus],¿Que medios de movilización hay en tu universidad? [Escaleras]
26/04/2022 0:44:11,17,Femenino,UTEC,Ingeniería Industrial,2,14,6,3,120,En desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,8,Si,No,Si
26/04/2022 0:51:17,21,Femenino,UTEC,Ingeniería Industrial,2,16,6,4,90,En desacuerdo,De acuerdo,Sí,Sí,5,Laptop,10,Si,No,Si
26/04/2022 0:56:01,18,Masculino,UTEC,Ingeniería Industrial,2,12.72,5,4,30,Ni de acuerdo ni en desacuerdo,De acuerdo,Sí,No,3,Laptop,5,Si,No,Si
26/04/2022 0:59:08,17,Femenino,UTEC,Ingeniería Industrial,2,18,6,4,40,En desacuerdo,De acuerdo,Sí,Sí,4,Laptop,9,Si,No,Si
26/04/2022 0:59:20,22,Femenino,UTEC,Ingeniería Industrial,2,16.45,5,3,60,En desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,10,Si,No,Si
26/04/2022 1:01:22,19,Femenino,UTEC,Ingeniería Industrial,2,17,6,4,55,De acuerdo,De acuerdo,Sí,Sí,4,Laptop,9,Si,No,Si
26/04/2022 1:06:25,17,Masculino,UTEC,Ingeniería Industrial,2,18.41,5,5,240,Totalmente en desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,10,Si,No,Si
26/04/2022 1:06:45,18,Femenino,UTEC,Ingeniería Industrial,2,16,6,4,150,En desacuerdo,De acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
26/04/2022 1:09:31,17,Femenino,UTEC,Ingeniería Ambiental,2,11.23,6,4,30 min,En desacuerdo,Totalmente en desacuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
26/04/2022 1:11:14,16,Femenino,UTEC,Ingeniería Ambiental,2,10,4,4,90,En desacuerdo,De acuerdo,Sí,Sí,4,Laptop,8,Si,No,Si
26/04/2022 1:17:17,17,Masculino,UTEC,Ingeniería Ambiental,2,13.49,6,4,250,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Sí,Sí,5,Laptop,6,Si,No,Si
26/04/2022 1:17:24,18,Femenino,UNI,Ingeniería Estadística,2,14.7,6,4,210,En desacuerdo,Totalmente de acuerdo,Sí,Sí,4,Laptop,10,No,Si,Si
26/04/2022 1:18:22,19,Femenino,UTEC,Ingeniería Ambiental,2,15,6,4,60,En desacuerdo,De acuerdo,Sí,No,5,Laptop,9,Si,No,Si
26/04/2022 1:19:12,19,Femenino,UTEC,Ingeniería Ambiental,2,12.6,6,4,120,En desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,4,Laptop,7,Si,No,Si
26/04/2022 1:24:13,23,Masculino,UTEC,Ingeniería Mecatrónica,6,17,6,3,90,En desacuerdo,Totalmente de acuerdo,Sí,Sí,3,Laptop,3,Si,No,Si
