FECHA_CORTE,FECHA,HORA,DEPARTAMENTO,CODIGO_VÍA,KILOMETRO,MODALIDAD,FALLECIDOS,HERIDOS
20211222,20200101,5.67,LIMA,PE-1S,24,DESPISTE,0,0
20211222,20200101,16.5,CAJAMARCA,PE-3N,74,DESPISTE,0,0
20211222,20200101,7.75,PASCO,PE-3N,103,DESPISTE,0,1
20211222,20200101,18.5,CAJAMARCA,PE-08,111,DESPISTE,0,2
20211222,20200101,18.67,LIMA,PE-1N,174,DESPISTE,0,5
20211222,20200101,16.5,ICA,PE-1S,199,CHOQUE,0,1
20211222,20200101,16.58,ICA,PE-1S,201,CHOQUE,1,1
20211222,20200101,21.75,HUANUCO,PE-3N,226,ATROPELLO,0,1
20211222,20200101,23.83,PIURA,PE-1N,232,CHOQUE,0,6
20211222,20200101,2.5,AMAZONAS,PE-5N,263,DESPISTE,0,2
20211222,20200101,23.67,AREQUIPA,PE-1S,521,CHOQUE,0,0
20211222,20200101,17.75,LA LIBERTAD,PE-1N,732,DESPISTE,0,5
20211222,20200101,10.5,LA LIBERTAD,PE-1N,734,DESPISTE,0,2
20211222,20200101,20.83,MOQUEGUA,PE-1S,1166,CHOQUE,0,0
20211222,20200101,16.83,TACNA,PE-1S,1245,DESPISTE,1,0
20211222,20200101,18.25,PUNO,PE-1S,1351,CHOQUE,0,0
20211222,20200102,12.83,AREQUIPA,PE-1SJ,6,DESPISTE,2,16
20211222,20200102,5.75,TACNA,PE-1SD,8,DESPISTE,2,1
20211222,20200102,16.5,AREQUIPA,PE-34J,14,CHOQUE,0,0
20211222,20200102,16.5,AREQUIPA,PE-34E,18,CHOQUE,0,3
20211222,20200102,11,AREQUIPA,PE-34A,34,ESPECIAL,0,0
20211222,20200102,10.17,LIMA,PE-1N,39,ATROPELLO,1,0
20211222,20200102,8,CAJAMARCA,PE-3N,43,CHOQUE,0,0
20211222,20200102,0.67,LIMA,PE-22,81,CHOQUE,0,1
20211222,20200102,8.42,LIMA,PE-1S,81,DESPISTE,0,0
20211222,20200102,11.33,LIMA,PE-1S,91,DESPISTE,0,1
20211222,20200102,16,AREQUIPA,PE-34A,131,CHOQUE,4,3
20211222,20200102,13,JUNIN,PE-22,148,CHOQUE,0,3
20211222,20200102,21.87,ANCASH,PE-16,162,CHOQUE,0,0
20211222,20200102,17.75,LIMA,PE-1N,191,DESPISTE,0,0
20211222,20200102,23.83,PUNO,PE-34H,226,DESPISTE,3,41
20211222,20200102,0.67,ANCASH,PE-1N,276,CHOQUE,2,6
20211222,20200102,15.75,AMAZONAS,PE-08B,294,DESPISTE,0,1
20211222,20200102,6,APURIMAC,PE-3S,370,DESPISTE,0,2
20211222,20200102,9.5,SAN MARTIN,PE-5N,579,DESPISTE,0,2
20211222,20200102,16.75,MADRE DE DIOS,PE-30C,587,DESPISTE,0,4
20211222,20200102,21.33,AREQUIPA,PE-1S,951,CHOQUE,0,0
20211222,20200102,20.25,TACNA,PE-34B,1018,DESPISTE,0,6
20211222,20200103,18.5,LIMA,LM-108,2,DESPISTE,0,2
20211222,20200103,6.83,LIMA,PE-1S,71,CHOQUE,0,2
20211222,20200103,2.42,LIMA,PE-1S,81,CHOQUE,0,4
20211222,20200103,11.67,LIMA,PE-1S,81,CHOQUE,0,0
20211222,20200103,19,LAMBAYEQUE,PE-1N,105,CHOQUE,0,3
20211222,20200103,23.75,LIMA,PE-1N,123,CHOQUE,0,1
20211222,20200103,11.48,JUNIN,PE-22,141,CHOQUE,0,0
20211222,20200103,16,LIMA,PE-1N,158,CHOQUE,0,2
20211222,20200103,7.5,ICA,PE-1S,192,DESPISTE,0,2
20211222,20200103,1,AYACUCHO,PE-28A,233,DESPISTE,0,0
20211222,20200103,6.83,PUNO,PE-34A,244,CHOQUE,0,1
20211222,20200103,10.17,ANCASH,PE-3N,388,DESPISTE,0,1
20211222,20200103,1.33,AREQUIPA,PE-1S,953,CHOQUE,0,2
20211222,20200103,23.83,PIURA,PE-1N,1009,DESPISTE,1,0
20211222,20200103,21.5,PUNO,PE-3S,1207,CHOQUE,0,4
20211222,20200104,11.17,ANCASH,PE-16,2,DESPISTE,0,0
20211222,20200104,12.5,AREQUIPA,PE-34,32,CHOQUE,0,0
20211222,20200104,21.67,LIMA,PE-1S,34,DESPISTE,0,2
20211222,20200104,21,TACNA,PE-1SD,34,CHOQUE,2,0
20211222,20200104,23.83,JUNIN,PE-3S,37,DESPISTE,0,4
20211222,20200104,17.5,UCAYALI,PE-5N,41,CHOQUE,0,2
20211222,20200104,16.83,CAJAMARCA,PE-08B,45,CHOQUE,0,2
20211222,20200104,1.83,JUNIN,PE-22,54,CHOQUE,0,0
20211222,20200104,16.5,CAJAMARCA,PE-08A,62,DESPISTE,0,1
20211222,20200104,11.42,LIMA,PE-1N,111,DESPISTE,0,0
20211222,20200104,9.5,LIMA,PE-1N,117,DESPISTE,0,1
20211222,20200104,12.75,LIMA,PE-1S,120,DESPISTE,0,2
20211222,20200104,12.08,HUANUCO,PE-3N,207,CHOQUE,0,1
20211222,20200104,16,LAMBAYEQUE,PE-1N,829,DESPISTE,0,2
20211222,20200105,19.83,ICA,PE-28A,4,CHOQUE,0,6
20211222,20200105,19.83,LIMA,PE-1S,21,CHOQUE,0,2
20211222,20200105,13.5,LIMA,PE-20A,25,CHOQUE,0,2
20211222,20200105,13.67,JUNIN,PE-5S,45,CHOQUE,0,0
20211222,20200105,10.9,LIMA,PE-1S,54,DESPISTE,0,2
20211222,20200105,14.5,LIMA,PE-1N,83,CHOQUE,0,5
20211222,20200105,16.83,LAMBAYEQUE,PE-1N,91,CHOQUE,0,1
20211222,20200105,4.92,LIMA,PE-22,96,CHOQUE,0,3
20211222,20200105,14.17,LIMA,PE-1N,106,CHOQUE,0,2
20211222,20200105,7.33,LIMA,PE-22,129,CHOQUE,0,0
20211222,20200105,15.75,PASCO,PE-3N,137,CHOQUE,0,2
20211222,20200105,23.5,AREQUIPA,PE-34A,158,DESPISTE,0,0
20211222,20200105,13.67,ANCASH,PE-1N,309,CHOQUE,3,4
20211222,20200105,18.5,MOQUEGUA,PE-1S,1136,DESPISTE,0,0
20211222,20200105,17,PUNO,PE-3S,1258,DESPISTE,0,5
20211222,20200105,10.33,AREQUIPA,PE-34E,1300,CHOQUE,0,0
20211222,20200106,15.67,LIMA,PE-22,10,CHOQUE,0,0
20211222,20200106,6,LA LIBERTAD,PE-5N,20,DESPISTE,0,7
20211222,20200106,23.67,AYACUCHO,PE-28B,28,DESPISTE,0,0
20211222,20200106,22.5,PUNO,PE-30A,75,CHOQUE,1,0
20211222,20200106,16,ICA,PE-30A,118,DESPISTE,0,0
20211222,20200106,13.75,HUANCAVELICA,PE-3S,135,ATROPELLO,1,0
20211222,20200106,2.5,ICA,PE-1S,196,ATROPELLO,1,0
20211222,20200106,11.33,ICA,PE-1S,273,ATROPELLO,1,0
20211222,20200106,0.33,AREQUIPA,PE-1S,571,CHOQUE,16,46
20211222,20200106,12.5,AREQUIPA,PE-1S,902,DESPISTE,0,1
20211222,20200106,14.33,AREQUIPA,PE-1S,988,CHOQUE,2,5
20211222,20200107,15,LIMA,PE-1S,29,CHOQUE,0,1
20211222,20200107,11.5,HUANUCO,PE-18A,111,DESPISTE,0,0
20211222,20200107,4.5,HUANCAVELICA,PE-28A,124,ESPECIAL,0,2
20211222,20200107,16.5,AREQUIPA,PE-34A,151,DESPISTE,0,1
20211222,20200107,5,CUSCO,PE-3S,155,CHOQUE,1,0
20211222,20200107,6.25,ANCASH,PE-1N,246,DESPISTE,0,3
20211222,20200107,19.5,APURIMAC,PE-30A,283,DESPISTE,0,6
20211222,20200107,17.25,ANCASH,PE-1N,287,DESPISTE,0,1
20211222,20200107,3.25,ICA,PE-1S,315,DESPISTE,0,1
