"Marca temporal","Edad (años cumplidos) Ej. 19 (solo colocar el número y tener 18 o más)","Género","Nivel de instrucción ","Lugar de residencia","¿Qué mascarilla usas con más frecuencia?","¿En promedio después de cuántos días desechas una mascarilla?","¿En promedio cuánto pagas por una mascarilla? (redondea a una cifra)","¿Prefieres las mascarillas con las tiras que se sostienen en las orejas o las que se sostienen alrededor de la cabeza?","¿De qué color prefieres llevar tu mascarilla? (Si ingresa el color inicie con mayúscula)","¿Qué tan protegido/a te sientes cuando usas la mascarilla KN95?","¿Qué tan protegido/a te sientes cuando usas la mascarilla de tela?","¿Qué tan protegido/a te sientes cuando usas la mascarilla KF94?","¿Qué tan protegido/a te sientes cuando usas la mascarilla Quirúrgica?","¿Qué tan protegido/a te sientes cuando usas la mascarilla FFP3?","¿Qué tan protegido/a te sientes cuando usas la mascarilla N95?","¿Qué tan protegido/a te sientes con tu selección de mascarilla?"
"2022/04/22 10:04:34 a. m. GMT-5","20","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","10","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","4","10","7","10","10","10"
"2022/04/22 10:07:20 a. m. GMT-5","20","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","5","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","4","10","9","10","10","10"
"2022/04/22 10:09:27 a. m. GMT-5","21","Masculino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","Quirúrgica","5","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","5","1","10","3","8","7","4"
"2022/04/22 10:09:52 a. m. GMT-5","19","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","3","4","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","6","7","4","8","9","4"
"2022/04/22 10:20:18 a. m. GMT-5","22","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","4","1","Mascarillas con las tiras que se sostienen en las orejas.","Gris","10","7","10","9","10","10","9"
"2022/04/22 10:21:31 a. m. GMT-5","40","Femenino","Maestría","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Tela","10","5","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","9","10","7","10","10","9"
"2022/04/22 10:26:55 a. m. GMT-5","20","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","3","2","Mascarillas que se sostienen alrededor de la cabeza.","Me es indiferente","8","3","8","5","9","9","5"
"2022/04/22 10:35:51 a. m. GMT-5","23","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","5","10","8","10","10","8"
"2022/04/22 10:36:37 a. m. GMT-5","27","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","2","1","Me es indiferente","Me es indiferente","10","8","10","6","8","8","7"
"2022/04/22 10:46:48 a. m. GMT-5","19","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","7","4","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","7","8","6","9","9","7"
