Ciclo,Edad,Carrera,Genero,Cursos,tiempo,anxiety_before_ex,anxiety_after_ex,time_mayor_anxiety,ESF_angustia,ESF_intranquilidad,ESF_palpitaciones,ESF_fatiga,ESF_sueño_alterado,ESF_tension_muscular,ESC_dificil_concentracion,ESC_bloqueo_mental,ESC_acontencimientos_negativos,ESC_falta_memoria,ESC_pensamientos_desagradables,ESC_dificultad_decisiones,ESCCA_comer_beber,ESCCA_escapar,ESCCA_movimientos_repetitivos,ESCCA_moverse_mucho,ESCCA_movimientos_torpe,ESCCA_llanto,cause_ansiedad_U,help_ansiedad,stress_before_ex,stress_after_ex,time_mayor_stress,ESFCE_cansancio,ESFCE_relajarse,ESFCE_dificultad_tomar_decisiones,ESFCE_pensar_claridad,ESFCE_pensar_problemas,ESFCE_comer_demasiado,ESFCE__dificultad_sueño,ESFCE_dolor_cuerpo,ESFCE_caefeina_nicotina,ESFCE_tics_nervous,ESFCE_dolor_estomacal,ESFCE_irritacion,ESFCE_cambios_humor,ESFCE_dificultad_concentrarse,ESFCE_alcohol_droga,ESFCE_disminuye_desempeño_U,ESFCE_sudar_palpitar,ESFCE_levantarse_tarde,FS_no_afrontar_actividades,FS_todo_controlado,FS_enfadado_fueradecontrol,FS_controlar_tiempo,FS_dificultades_acumulan,FS_afectado_imprevistos,FS_manejar_problemas_vida,FS_afrontar_cambios_vida,cause_estres_U,help_estres
3,18,Ingeniería Civil,Femenino,6,2.5,10,10,Exámenes parciales,A menudo,A menudo,Casi todos los días,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Nunca,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,Casi todos los días,No tener espacio para estudiar,No,10,10,Exámenes parciales,Siempre,Siempre,Siempre,Siempre,Siempre,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Aveces,Aveces,Aveces,Nunca,Siempre,Siempre,Siempre,Muy a menudo,Casi nunca,De vez en cuando,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,Época de exámenes,No
4,19,Ingeniería Mecánica,Masculino,5,2.5,9,5,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,Casi todos los días,Casi todos los días,A menudo,A menudo,Casi todos los días,Casi todos los días,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,Casi todos los días,Casi todos los días,En alguna ocasión,Nunca,Mucho ruido,Sí,8,7,7,Seguido,Seguido,Aveces,Seguido,Seguido,Aveces,Seguido,Aveces,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Seguido,Nunca,Seguido,Nunca,Nunca,A menudo,A menudo,Casi nunca,Nunca,Nunca,A menudo,Casi nunca,Nunca,Época de exámenes,Sí
3,18,Ingeniería Industrial,Femenino,6,2.5,8,3,Exámenes parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,Casi todos los días,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Que no respeten tu espacio personal,No,8,8,Semana de Entrega de Notas Finales,Seguido,Frecuentemente,Frecuentemente,Seguido,Seguido,Seguido,Aveces,Siempre,Seguido,Nunca,Siempre,Seguido,Seguido,Seguido,Nunca,Aveces,Nunca,Seguido,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,A menudo,A menudo,Época de exámenes,No
3,18,Ingeniería Industrial,Femenino,5,2.5,8,5,Exámenes parciales,Nunca,A menudo,Nunca,En alguna ocasión,Nunca,A menudo,A menudo,En alguna ocasión,Nunca,A menudo,Nunca,En alguna ocasión,A menudo,En alguna ocasión,Casi todos los días,A menudo,Nunca,En alguna ocasión,No tener espacio para estudiar,Sí,9,3,Exámenes finales,Seguido,Aveces,Aveces,Aveces,Aveces,Frecuentemente,Seguido,Frecuentemente,Nunca,Nunca,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,NA,De vez en cuando,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,Sí
3,18,Ciencia de la computación,Masculino,5,4,5,7,Semana de Entrega de Notas Finales,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,No tener espacio para estudiar,No,5,7,Exámenes parciales,Nunca,Aveces,Nunca,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Nunca,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,No entender a los profesores,No
3,18,Ingeniería Industrial,Femenino,5,2.5,8,7,7,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,A menudo,A menudo,Demasiadas personas,No,8,8,Entrega de notas parciales,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Nunca,Nunca,Nunca,Seguido,Seguido,Seguido,Nunca,Seguido,Nunca,Seguido,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,No
3,19,Ingeniería Mecatrónica,Femenino,6,4.5,4,1,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,A menudo,A menudo,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Casi todos los días,Nunca,Nunca,Que no respeten tu espacio personal,No,5,1,Exámenes parciales,Seguido,Nunca,Nunca,Aveces,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Muy a menudo,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,Muy a menudo,Muy a menudo,No tener espacio para estudiar - No alcanzar cubículo,Sí
3,20,Ingeniería Mecánica,Masculino,6,3,8,8,Exámenes finales,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Mucho ruido,No,8,8,Exámenes finales,Seguido,Seguido,Seguido,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,No
2,17,Ciencia de la computación,Femenino,6,2.5,9,8,Exámenes finales,A menudo,Casi todos los días,A menudo,Casi todos los días,En alguna ocasión,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Nunca,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,En alguna ocasión,Demasiadas personas,No,9,9,Exámenes parciales,NA,Siempre,Siempre,Siempre,Siempre,Aveces,Nunca,Siempre,Nunca,Siempre,Seguido,Siempre,Siempre,Siempre,Aveces,Frecuentemente,Siempre,Siempre,A menudo,Casi nunca,Muy a menudo,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,No entender a los profesores,No
2,17,Ciencia de la computación,Masculino,6,2.5,8,1,Exámenes finales,Casi todos los días,A menudo,En alguna ocasión,En alguna ocasión,Nunca,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Nunca,A menudo,Casi todos los días,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",Sí,8,1,Semana de Entrega de Notas Finales,Frecuentemente,Frecuentemente,Seguido,Seguido,Frecuentemente,Siempre,Aveces,Seguido,Siempre,Aveces,Seguido,Aveces,Aveces,Aveces,Nunca,Seguido,Frecuentemente,Frecuentemente,Muy a menudo,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,Época de exámenes,No
