Marca temporal,Ciclo cursante,Edad ,¿Qué carrera estudias?,Género,¿Cuántos cursos lleva?,¿Cuanto tiempo en horas estudia al día?,"Cuál considera que ha sido su nivel de ansiedad, en promedio, antes de rendir cualquier evaluación","Cuál considera que ha sido su nivel de ansiedad, en promedio, después de rendir cualquier evaluación",¿Cuáles han sido sus épocas de mayor ansiedad?,Escala de síntomas físicos [Sensación de angustia o aprensión],"Escala de síntomas físicos [Dificultad para estar quieto, intranquilidad]",Escala de síntomas físicos [Aumento de frecuencia cardiaca (palpitaciones) sin enfermedad conocida que lo justifique],"Escala de síntomas físicos [Fatiga, especialmente importante al final del día]","Escala de síntomas físicos [Alteraciones en el sueño; tardas en quedarte dormido, te despiertas varias veces o despiertas antes de lo previsto]","Escala de síntomas físicos [Sensación de tensión muscular que puede ir acompañada de dolor en determinadas partes de tu cuerpo (cuello, espalda, cabeza, etcétera)]",Escala de síntomas cognitivos [Dificultad para concentrarte],Escala de síntomas cognitivos [Sensación de bloqueo mental],Escala de síntomas cognitivos [Anticipación de acontecimientos negativos. Catastrofismo],Escala de síntomas cognitivos [Falta de memoria (dificultad para recordar cosas)],Escala de síntomas cognitivos [Pensamientos o imágenes desagradables],Escala de síntomas cognitivos [Dificultad para tomar decisiones (por ejemplo “das vueltas a la cabeza” sin llegar a decidirte)],"Escala de síntomas comportamentales para combatir la ansiedad [Fumas, comes o bebes para calmar tu ansiedad]",Escala de síntomas comportamentales para combatir la ansiedad [Evitas o escapas de determinadas situaciones],"Escala de síntomas comportamentales para combatir la ansiedad [Haces movimientos repetitivos (tocarte el pelo, temblor de piernas)]",Escala de síntomas comportamentales para combatir la ansiedad [Te mueves más de lo habitual],Escala de síntomas comportamentales para combatir la ansiedad [Movimientos torpes (por ejemplo se te caen las cosas)],Escala de síntomas comportamentales para combatir la ansiedad [Llanto para aliviar tu malestar],¿Algo dentro de la universidad te cause demasiada ansiedad?,Ha buscado algún tipo de ayuda sobre cómo tratar la ansiedad,"Cuál considera que ha sido su nivel de estrés, en promedio, antes de rendir cualquier evaluación","Cuál considera que ha sido su nivel de estrés, en promedio, después de rendir cualquier evaluación",Cuáles han sido sus épocas de mayor estrés,Escala de síntomas físicos y cognitivos  [Te sientes cansado/a],Escala de síntomas físicos y cognitivos  [Se te hace difícil relajarte o sentirte tranquilo/a],Escala de síntomas físicos y cognitivos  [Se te hace difícil tomar decisiones],Escala de síntomas físicos y cognitivos  [Tienes problemas para pensar con claridad],Escala de síntomas físicos y cognitivos  [Piensas en tus problemas una y otra vez durante el día],Escala de síntomas físicos y cognitivos  [Comes demasiado o muy poco],Escala de síntomas físicos y cognitivos  [Dificultad para conciliar el sueño],"Escala de síntomas físicos y cognitivos  [Dolor de espalda,cuello u otro dolor relacionado con la tensión]",Escala de síntomas físicos y cognitivos  [Uso más seguido de cafeína o nicotina de lo habitual],Escala de síntomas físicos y cognitivos  [Tics nerviosos],Escala de síntomas físicos y cognitivos  [Malestar estomacal],Escala de síntomas físicos y cognitivos  [Irritación con facilidad],Escala de síntomas físicos y cognitivos  [Cambios de humor y sensibilidad],Escala de síntomas físicos y cognitivos  [Dificultad al concentrarse],Escala de síntomas físicos y cognitivos  [Uso de alcohol o drogas para afrontar problemas],Escala de síntomas físicos y cognitivos  [Tu desempeño ha disminuido y presentas problemas para completar tus tareas],Escala de síntomas físicos y cognitivos  [Tendencias a sudar o palpitaciones],Escala de síntomas físicos y cognitivos  [Tentaciones fuertes de no levantarse por la mañana],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia se ha sentido al control de todo?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha estado enfadado porque las cosas que le han ocurrido estaban fuera de su control?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha podido controlar la forma de pasar el tiempo?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha estado afectado por algo que ha ocurrido inesperadamente?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha manejado con éxito los pequeños problemas irritantes de la vida?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que ha afrontado efectivamente los cambios importantes que han estado ocurriendo en su vida?],¿Algo dentro de la universidad que te cause estrés?,Ha buscado algún tipo de ayuda sobre cómo tratar el estrés
16/09/2022 17:09:03,3,18,Ingeniería Civil,Femenino,6,2.5,10,10,Exámenes parciales,A menudo,A menudo,Casi todos los días,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Nunca,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,Casi todos los días,No tener espacio para estudiar,No,10,10,Exámenes parciales,Siempre,Siempre,Siempre,Siempre,Siempre,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Aveces,Aveces,Aveces,Nunca,Siempre,Siempre,Siempre,Muy a menudo,Casi nunca,De vez en cuando,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,Época de exámenes,No
16/09/2022 17:09:12,4,19,Ingeniería Mecánica,Masculino,5,2.5,9,5,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,Casi todos los días,Casi todos los días,A menudo,A menudo,Casi todos los días,Casi todos los días,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,Casi todos los días,Casi todos los días,En alguna ocasión,Nunca,Mucho ruido,Sí,8,7,7,Seguido,Seguido,Aveces,Seguido,Seguido,Aveces,Seguido,Aveces,Frecuentemente,Nunca,Nunca,Nunca,Nunca,Seguido,Nunca,Seguido,Nunca,Nunca,A menudo,A menudo,Casi nunca,Nunca,Nunca,A menudo,Casi nunca,Nunca,Época de exámenes,Sí
16/09/2022 17:09:37,3,18,Ingeniería Industrial,Femenino,6,2.5,8,3,Exámenes parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,Casi todos los días,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Que no respeten tu espacio personal,No,8,8,Semana de Entrega de Notas Finales,Seguido,Frecuentemente,Frecuentemente,Seguido,Seguido,Seguido,Aveces,Siempre,Seguido,Nunca,Siempre,Seguido,Seguido,Seguido,Nunca,Aveces,Nunca,Seguido,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,A menudo,A menudo,Época de exámenes,No
16/09/2022 17:22:24,3,18,Ingeniería Industrial,Femenino,5,2.5,8,5,Exámenes parciales,Nunca,A menudo,Nunca,En alguna ocasión,Nunca,A menudo,A menudo,En alguna ocasión,Nunca,A menudo,Nunca,En alguna ocasión,A menudo,En alguna ocasión,Casi todos los días,A menudo,Nunca,En alguna ocasión,No tener espacio para estudiar,Sí,9,3,Exámenes finales,Seguido,Aveces,Aveces,Aveces,Aveces,Frecuentemente,Seguido,Frecuentemente,Nunca,Nunca,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,,De vez en cuando,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,Sí
16/09/2022 17:37:27,3,18,Ciencia de la computación,Masculino,5,4,5,7,Semana de Entrega de Notas Finales,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,No tener espacio para estudiar,No,5,7,Exámenes parciales,Nunca,Aveces,Nunca,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Nunca,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,No entender a los profesores,No
16/09/2022 20:38:11,3,18,Ingeniería Industrial,Femenino,5,2.5,8,7,7,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,A menudo,A menudo,Demasiadas personas,No,8,8,Entrega de notas parciales,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Nunca,Nunca,Nunca,Seguido,Seguido,Seguido,Nunca,Seguido,Nunca,Seguido,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,No
16/09/2022 22:33:01,3,19,Ingeniería Mecatrónica,Femenino,6,4.5,4,1,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,A menudo,A menudo,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Casi todos los días,Nunca,Nunca,Que no respeten tu espacio personal,No,5,1,Exámenes parciales,Seguido,Nunca,Nunca,Aveces,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Muy a menudo,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,Muy a menudo,Muy a menudo,No tener espacio para estudiar - No alcanzar cubículo,Sí
16/09/2022 22:47:06,3,20,Ingeniería Mecánica,Masculino,6,3,8,8,Exámenes finales,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Mucho ruido,No,8,8,Exámenes finales,Seguido,Seguido,Seguido,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,No
17/09/2022 0:49:03,2,17,Ciencia de la computación,Femenino,6,2.5,9,8,Exámenes finales,A menudo,Casi todos los días,A menudo,Casi todos los días,En alguna ocasión,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Nunca,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,En alguna ocasión,Demasiadas personas,No,9,9,Exámenes parciales,,Siempre,Siempre,Siempre,Siempre,Aveces,Nunca,Siempre,Nunca,Siempre,Seguido,Siempre,Siempre,Siempre,Aveces,Frecuentemente,Siempre,Siempre,A menudo,Casi nunca,Muy a menudo,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,No entender a los profesores,No
17/09/2022 12:28:28,2,17,Ciencia de la computación,Masculino,6,2.5,8,1,Exámenes finales,Casi todos los días,A menudo,En alguna ocasión,En alguna ocasión,Nunca,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Nunca,A menudo,Casi todos los días,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",Sí,8,1,Semana de Entrega de Notas Finales,Frecuentemente,Frecuentemente,Seguido,Seguido,Frecuentemente,Siempre,Aveces,Seguido,Siempre,Aveces,Seguido,Aveces,Aveces,Aveces,Nunca,Seguido,Frecuentemente,Frecuentemente,Muy a menudo,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,Época de exámenes,No
