Año,Mes,Periodo,Infraestructura,Aeropuerto,Tipo Ingreso,Rubro Ingreso,Importe por Servicios
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ATERRIZAJE Y DESPEGUE,"3,767,067.85"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ESTACIONAMIENTO AERONAVES,"289,627.81"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,T U U A NACIONAL,"4,836,651.56"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,T U U A INTERNACIONAL,"9,411,977.47"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,SERVICIOS DE RAMPA,"924,123.83"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,USO INSTALACIONES DE CARGA,"559,454.54"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,PUENTE DE EMBARQUE,"1,453,342.39"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,OFICINAS OPERATIVAS,"41,185.13"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,OFICINAS AERA GRIS,"11,232.87"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,MOSTRADORES CHECK IN,"40,843.34"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,EQUIPAJE REZAGADO,"1,183.53"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ÁREAS DE MANTENIMIENTO,"5,664.82"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ALQUILER ESPACIO PARA EQUIPOS DE RAMPA,0.00
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,DESPACHO DE COMBUSTIBLE,"2,330,709.67"
2019,Enero,201901,LAP,Lima,INGRESO REGULADOS,ESTACIONAMIENTO VEHICULAR,"578,046.62"
2019,Enero,201901,LAP,Lima,INGRESO NO REGULADOS,INGRESOS NO REGULADOS,"7,773,669.27"
2019,Enero,201901,COR,No precisa,INGRESO REGULADOS,ATERRIZAJE Y DESPEGUE,"217,766.43"
2019,Enero,201901,COR,No precisa,INGRESO REGULADOS,ESTACIONAMIENTO AERONAVES,"4,465.09"
2019,Enero,201901,COR,No precisa,INGRESO REGULADOS,T U U A NACIONAL,"599,140.28"
2019,Enero,201901,COR,No precisa,INGRESO REGULADOS,T U U A INTERNACIONAL,"60,980.00"
2019,Enero,201901,COR,No precisa,INGRESO REGULADOS,SERVICIOS DE RAMPA,"-28,976.67"
2019,Enero,201901,COR,No precisa,INGRESO REGULADOS,USO INSTALACIONES DE CARGA,"1,392.48"
2019,Enero,201901,COR,No precisa,INGRESO REGULADOS,DESPACHO DE COMBUSTIBLE,"13,741.73"
2019,Enero,201901,COR,No precisa,INGRESO REGULADOS,ATENCIÓN EN HORAS EXTRAS,"67,542.65"
2019,Enero,201901,COR,No precisa,INGRESO REGULADOS,ALQUILER COUNTERS,"16,640.98"
2019,Enero,201901,COR,No precisa,INGRESO REGULADOS,ALQUILER OFICINAS OPERACIONES AEROLÍNEAS,"10,612.33"
2019,Enero,201901,COR,No precisa,INGRESO REGULADOS,ALQUILER AREAS DE MANTENIMIENTO,0.00
2019,Enero,201901,COR,No precisa,INGRESO REGULADOS,INSTALACIONES OPERADORES DE RAMPA,"8,066.30"
