"0","```r
#Variable Videojuegos
DDL %>% count(Videojuegos)
DDL %>% mutate(
  Videojuegos = stri_trans_general(Videojuegos,'latin-ascii')
) %>% mutate(
  Videojuegos = str_to_lower(Videojuegos)
) -> DDL
DDL %>% count(Videojuegos)

#Variable Deporte
DDL %>% count(Deporte)
DDL %>%  mutate(
  Deporte = stri_trans_general(Deporte,'latin-ascii')
) %>% mutate(
  Deporte = str_to_lower(Deporte)
) %>% mutate(
  Deporte = ifelse(Deporte %in% c(\"´si\", \"si\",\"sa\215\", \"a´si\",\"sa-\", \"si \"), \"sí\", Deporte)
) -> DDL
DDL %>% count(Deporte)
```"
