Dato;Tipo de criptomoneda;Creador;Descentralizada;Tipo de blockchain;Smart  Contracts;Open;High;Low;Close;Adj close;Volume
1/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;14112.2002;14112.2002;13154.7002;13657.2002;13657.2002;10291200000
2/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;13625;15444.59961;13163.59961;14982.09961;14982.09961;16846600192
3/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;14978.2002;15572.79981;14844.5;15201;15201;16871900160
4/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;15270.7002;15739.7002;14522.2002;15599.2002;15599.2002;21783199744
5/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;15477.2002;17705.19922;15202.79981;17429.5;17429.5;23840899072
6/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;17462.09961;17712.40039;16764.59961;17527;17527;18314600448
7/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;17527.30078;17579.59961;16087.7002;16477.59961;16477.59961;15866000384
8/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;16476.19922;16537.90039;14208.2002;15170.09961;15170.09961;18413899776
9/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;15123.7002;15497.5;14424;14595.40039;14595.40039;16659999744
10/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;14588.5;14973.29981;13691.2002;14973.29981;14973.29981;18500800512
11/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;14968.2002;15018.79981;13105.90039;13405.79981;13405.79981;16534099968
12/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;13453.90039;14229.90039;13158.09961;13980.59961;13980.59961;12065699840
13/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;13952.40039;14659.5;13952.40039;14360.2002;14360.2002;12763599872
14/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;14370.79981;14511.79981;13268;13772;13772;11084099584
15/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;13767.29981;14445.5;13641.7002;13819.79981;13819.79981;12750799872
16/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;13836.09961;13843.09961;10194.90039;11490.5;11490.5;18853799936
17/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11431.09961;11678;9402.290039;11188.59961;11188.59961;18830600192
18/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11198.79981;12107.29981;10942.5;11474.90039;11474.90039;15020399616
19/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11429.79981;11992.79981;11172.09961;11607.40039;11607.40039;10740400128
20/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11656.2002;13103;11656.2002;12899.2002;12899.2002;11801700352
21/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;12889.2002;12895.90039;11288.2002;11600.09961;11600.09961;9935179776
22/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11633.09961;11966.40039;10240.2002;10931.40039;10931.40039;10537400320
23/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10944.5;11377.59961;10129.7002;10868.40039;10868.40039;9660609536
24/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10903.40039;11501.40039;10639.79981;11359.40039;11359.40039;9940989952
25/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11421.7002;11785.7002;11057.40039;11259.40039;11259.40039;8873169920
26/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11256;11656.7002;10470.29981;11171.40039;11171.40039;9746199552
27/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11174.90039;11614.90039;10989.2002;11440.7002;11440.7002;7583269888
28/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11475.29981;12040.29981;11475.29981;11786.29981;11786.29981;8350360064
29/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11755.5;11875.59961;11179.2002;11296.40039;11296.40039;7107359744
30/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11306.79981;11307.2002;10036.2002;10106.29981;10106.29981;8637859840
31/01/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10108.2002;10381.59961;9777.419922;10221.09961;10221.09961;8041160192
1/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10237.29981;10288.79981;8812.280273;9170.540039;9170.540039;9959400448
2/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;9142.280273;9142.280273;7796.490234;8830.75;8830.75;12726899712
3/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;8852.120117;9430.75;8251.629883;9174.910156;9174.910156;7263790080
4/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;9175.700195;9334.870117;8031.220215;8277.009766;8277.009766;7073549824
5/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;8270.540039;8364.839844;6756.680176;6955.27002;6955.27002;9285289984
6/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;7051.75;7850.700195;6048.259766;7754;7754;13999800320
7/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;7755.490234;8509.110352;7236.790039;7621.299805;7621.299805;9169280000
8/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;7637.859863;8558.769531;7637.859863;8265.589844;8265.589844;9346750464
9/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;8271.839844;8736.980469;7884.709961;8736.980469;8736.980469;6784820224
10/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;8720.080078;9122.549805;8295.469727;8621.900391;8621.900391;7780960256
11/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;8616.129883;8616.129883;7931.100098;8129.970215;8129.970215;6122189824
12/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;8141.430176;8985.919922;8141.430176;8926.570313;8926.570313;6256439808
13/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;8926.719727;8958.469727;8455.410156;8598.30957;8598.30957;5696719872
14/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;8599.919922;9518.540039;8599.919922;9494.629883;9494.629883;7909819904
15/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;9488.320313;10234.79981;9395.580078;10166.40039;10166.40039;9062540288
16/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10135.7002;10324.09961;9824.820313;10233.90039;10233.90039;7296159744
17/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10207.5;11139.5;10149.40039;11112.7002;11112.7002;8660880384
18/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11123.40039;11349.79981;10326;10551.79981;10551.79981;8744009728
19/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10552.59961;11273.79981;10513.2002;11225.29981;11225.29981;7652089856
20/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11231.79981;11958.5;11231.79981;11403.7002;11403.7002;9926540288
21/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11372.2002;11418.5;10479.09961;10690.40039;10690.40039;9405339648
22/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10660.40039;11039.09961;9939.089844;10005;10005;8040079872
23/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;9937.070313;10487.29981;9734.55957;10301.09961;10301.09961;7739500032
24/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10287.7002;10597.2002;9546.969727;9813.070313;9813.070313;6917929984
25/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;9796.419922;9923.219727;9407.05957;9664.730469;9664.730469;5706939904
26/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;9669.429688;10475;9501.730469;10366.7002;10366.7002;7287690240
27/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10393.90039;10878.5;10246.09961;10725.59961;10725.59961;6966179840
28/02/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10687.2002;11089.79981;10393.09961;10397.90039;10397.90039;6936189952
1/03/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10385;11052.29981;10352.7002;10951;10951;7317279744
2/03/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10977.40039;11189;10850.09961;11086.40039;11086.40039;7620590080
3/03/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11101.90039;11528.2002;11002.40039;11489.7002;11489.7002;6690570240
4/03/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11497.40039;11512.59961;11136.09961;11512.59961;11512.59961;6084149760
5/03/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11532.40039;11704.09961;11443.90039;11573.29981;11573.29981;6468539904
6/03/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;11500.09961;11500.09961;10694.29981;10779.90039;10779.90039;6832169984
7/03/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;10803.90039;10929.5;9692.120117;9965.570313;9965.570313;8797910016
8/03/2018;BITCOIN (BTC);Satoshi Nakamoto;si;Público;si;9951.44043;10147.40039;9335.870117;9395.009766;9395.009766;7186089984
