Año;Mes;Pan MIN USD/KG;Papa MIN USD/KG;Papa MAY USD/KG;Arroz MIN USD/Kg;Arroz MAY USD/Kg;Maiz MIN USD/Kg;Maiz MAY USD/Kg;Trigo MIN USD/Kg;Trigo MAY USD/Kg;REAL/DÓLAR
2021;Marzo;2.57;0.72;0.7;0.93;0.78;0.26;0.22;0.7;0.51;5.6315
2021;Febrero;2.48;0.73;0.69;0.99;0.73;0.27;0.23;0.73;0.54;5.5986
2021;Enero;2.44;0.67;0.58;1.01;0.82;0.26;0.23;0.74;0.47;5.4625
2020;Diciembre;2.31;0.64;0.58;1.05;0.91;0.27;0.23;0.75;0.5;5.1937
2020;Noviembre;2.26;0.68;0.58;1.02;0.86;0.28;0.23;0.71;0.48;5.3319
2020;Octubre;2.11;0.71;0.59;0.87;0.8;0.22;0.17;0.67;0.46;5.7446
2020;Setiembre;2.2;0.68;0.56;0.87;0.75;0.2;0.16;0.69;0.5;5.6112
2020;Agosto;2.19;0.58;0.53;0.69;0.59;0.17;0.14;0.69;0.49;5.4914
2020;Julio;2.25;0.61;0.55;0.7;0.61;0.16;0.13;0.73;0.5;5.224
2020;Junio;2.32;0.61;0.58;0.7;0.62;0.16;0.13;0.73;0.48;5.4661
2020;Mayo;2.18;0.64;0.65;0.62;0.55;0.15;0.13;0.66;0.46;5.3361
2020;Abril;2.29;0.68;0.64;0.67;0.56;0.16;0.15;0.67;0.42;5.4858
2020;Marzo;2.57;0.63;0.61;0.69;0.51;0.17;0.16;0.73;0.42;5.2046
2020;Febrero;2.91;0.61;0.57;0.77;0.58;0.19;0.18;0.82;0.49;4.4733
2020;Enero;2.93;0.6;0.55;0.78;0.64;0.19;0.19;0.85;0.51;4.282
2019;Diciembre;2.97;0.68;0.62;0.76;0.62;0.19;0.17;0.91;0.52;4.019
2019;Noviembre;2.85;0.65;0.64;0.8;0.62;0.17;0.15;0.84;0.51;4.2364
2019;Octubre;2.87;0.66;0.63;0.8;0.62;0.16;0.13;0.87;0.51;4.0174
2019;Setiembre;2.96;0.68;0.6;0.81;0.53;0.15;0.12;0.86;0.52;4.1551
2019;Agosto;3.04;0.64;0.57;0.81;0.65;0.16;0.12;0.88;0.53;4.1445
2019;Julio;3.18;0.65;0.6;0.85;0.65;0.17;0.14;0.91;0.57;3.8125
2019;Junio;3.18;0.66;0.63;0.83;0.62;0.16;0.13;0.92;0.55;3.8518
2019;Mayo;2.99;0.71;0.68;0.8;0.59;0.15;0.12;0.87;0.51;3.9218
2019;Abril;3.19;0.71;0.68;0.8;0.71;0.16;0.14;0.9;0.52;3.9207
2019;Marzo;3.35;0.73;0.73;0.88;0.68;0.16;0.15;0.9;0.54;3.9238
2019;Febrero;3.3;0.69;0.65;0.85;0.67;0.17;0.15;0.93;0.56;3.7511
2019;Enero;3.38;0.61;0.56;0.84;0.67;0.17;0.14;0.93;0.51;3.6439
2018;Diciembre;3.18;0.63;0.56;0.83;0.64;0.17;0.14;0.88;0.53;3.8804
2018;Noviembre;3.37;0.62;0.57;0.85;0.7;0.19;0.13;0.9;0.55;3.8662
2018;Octubre;3.21;0.63;0.58;0.88;0.69;0.2;0.14;0.91;0.56;3.7218
2018;Setiembre;2.81;0.61;0.54;0.81;0.64;0.19;0.13;0.81;0.51;4.0477
2018;Agosto;3.1;0.57;0.51;0.8;0.64;0.19;0.13;0.82;0.54;4.0545
2018;Julio;3.01;0.55;0.51;0.82;0.71;0.19;0.13;0.84;0.56;3.7557
2018;Junio;3.08;0.58;0.51;0.83;0.74;0.19;0.14;0.8;0.53;3.8765
2018;Mayo;3.13;0.6;0.55;0.8;0.64;0.2;0.14;0.77;0.52;3.7225
2018;Abril;3.26;0.63;0.59;0.9;0.64;0.21;0.15;0.82;0.53;3.5066
2018;Marzo;3.31;0.65;0.61;0.95;0.66;0.19;0.16;0.84;0.54;3.3046
2018;Febrero;3.5;0.68;0.64;0.98;0.62;0.17;0.14;0.85;0.54;3.2458
2018;Enero;3.51;0.66;0.66;1;0.63;0.17;0.15;0.89;0.57;3.1858
2017;Diciembre;3.47;0.69;0.67;0.98;0.64;0.16;0.14;0.88;0.53;3.3121
2017;Noviembre;3.46;0.71;0.68;0.98;0.71;0.16;0.14;0.88;0.55;3.2726
