Año;Mes;Pan MIN USD/KG;Papa MIN USD/KG;Papa MAY USD/KG;Arroz MIN USD/Kg;Arroz MAY USD/Kg;Maiz MIN USD/Kg;Maiz MAY USD/Kg;Trigo MIN USD/Kg;Trigo MAY USD/Kg;PESO/DÓLAR
2021;Marzo;1,73;0.61;0.51;0.93;0.9;0.3;0.2;0.5;0.21;91.98
2021;Febrero;1,70;0.67;0.51;0.92;0.88;0.3;0.2;0.51;0.21;89.82
2021;Enero;1,69;0.69;0.45;0.95;0.89;0.27;0.2;0.51;0.22;87.3
2020;Diciembre;1,70;0.74;0.47;0.99;0.89;0.29;0.2;0.51;0.22;84.08
2020;Noviembre;1,73;0.72;0.46;1.01;0.99;0.35;0.2;0.57;0.22;81.3
2020;Octubre;1,70;0.63;0.45;1.04;1.02;0.34;0.19;0.61;0.23;78.32
2020;Setiembre;1,69;0.49;0.49;1.01;0.91;0.34;0.16;0.61;0.22;76.17
2020;Agosto;1,60;0.52;0.58;1.01;0.81;0.34;0.14;0.63;0.21;74
2020;Julio;1,63;0.51;0.65;1.02;0.78;0.32;0.13;0.64;0.21;72.31
2020;Junio;1,67;0.49;0.57;1.04;0.86;0.29;0.12;0.64;0.21;70
2020;Mayo;1,68;0.51;0.48;1.04;0.85;0.29;0.12;0.65;0.21;68
2020;Abril;1,77;0.56;0.53;1.07;0.83;0.3;0.13;0.66;0.21;66.77
2020;Marzo;1,84;0.52;0.41;1.07;0.91;0.3;0.14;0.69;0.21;64
2020;Febrero;1,84;0.54;0.4;1.08;0.8;0.31;0.15;0.71;0.21;62.12
2020;Enero;1,85;0.52;0.4;1.06;0.88;0.27;0.15;0.7;0.2;60.27
2019;Diciembre;1,80;0.46;0.35;0.96;0.93;0.26;0.15;0.67;0.18;59.86
2019;Noviembre;1,78;0.47;0.36;0.92;0.92;0.36;0.15;0.66;0.19;59.91
2019;Octubre;1,72;0.47;0.37;0.86;0.86;0.4;0.13;0.66;0.22;59.56
2019;Setiembre;1,75;0.5;0.3;0.88;0.88;0.39;0.13;0.68;0.21;57.59
2019;Agosto;1,75;0.48;0.35;0.92;0.83;0.37;0.13;0.68;0.21;59
2019;Julio;2,08;0.57;0.33;1.08;0.8;0.34;0.15;0.82;0.22;44
2019;Junio;2,00;0.52;0.33;1.04;0.87;0.31;0.15;0.78;0.22;42.47
2019;Mayo;1,87;0.47;0.38;0.99;0.86;0.29;0.14;0.74;0.2;45
2019;Abril;1,89;0.48;0.39;0.98;0.89;0.3;0.13;0.73;0.19;44
2019;Marzo;1,93;0.51;0.4;0.99;0.88;0.25;0.14;0.76;0.2;43
2019;Febrero;2,00;0.53;0.37;1.06;0.88;0.24;0.14;0.81;0.2;39
2019;Enero;2,01;0.6;0.4;1.05;0.94;0.24;0.15;0.82;0.21;37
2018;Diciembre;1,94;0.62;0.4;1.02;0.97;0.25;0.15;0.8;0.2;38
2018;Noviembre;1,99;0.79;0.41;1.03;0.89;0.26;0.13;0.83;0.2;38
2018;Octubre;1,94;0.59;0.4;0.96;0.89;0.25;0.14;0.79;0.23;35.89
2018;Setiembre;1,74;0.42;0.42;0.87;0.84;0.25;0.14;0.7;0.22;41.28
2018;Agosto;1,91;0.53;0.49;0.95;0.79;0.25;0.16;0.8;0.24;36.8
2018;Julio;2,07;0.57;0.49;0.97;0.84;0.27;0.16;0.85;0.24;27
2018;Junio;2,08;0.58;0.5;0.98;0.88;0.27;0.16;0.79;0.24;29
2018;Mayo;2,10;0.66;0.5;1.04;0.88;0.28;0.18;0.71;0.26;25
2018;Abril;2,26;0.76;0.53;1.2;0.96;0.25;0.18;0.63;0.23;21
2018;Marzo;2,19;0.77;0.47;1.18;0.99;0.25;0.17;0.59;0.2;20.11
2018;Febrero;2,15;0.84;0.44;1.17;1;0.24;0.16;0.59;0.18;20.11
2018;Enero;2,17;0.93;0.41;1.2;1;0.24;0.15;0.59;0.17;19.63
2017;Diciembre;2,29;1.05;0.42;1.25;0.98;0.22;0.15;0.62;0.16;19
2017;Noviembre;2,30;1.07;0.37;1.24;0.89;0.23;0.14;0.62;0.17;17.3
2017;Octubre;2,28;0.88;0.39;1.24;0.84;0.32;0.14;0.61;0.17;17.63
2017;Setiembre;2,30;0.83;0.37;1.25;0.85;0.36;0.14;0.62;0.16;17
2017;Agosto;2,26;0.82;0.41;1.22;0.84;0.4;0.14;0.61;0.17;17.32
2017;Julio;2,27;0.84;0.49;1.23;0.81;0.35;0.14;0.62;0.18;17.64
2017;Junio;2,40;0.86;0.42;1.3;0.82;0.33;0.14;0.66;0.17;17
2017;Mayo;2,43;0.94;0.39;1.3;0.87;0.29;0.15;0.67;0.17;16
2017;Abril;2,49;0.96;0.38;1.32;0.87;0.26;0.15;0.68;0.17;15
2017;Marzo;2,42;0.9;0.37;1.3;0.89;0.27;0.15;0.68;0.17;15
2017;Febrero;2,28;0.88;0.34;1.28;0.95;0.22;0.16;0.67;0.17;15.47
