Año;Mes;Pan MIN USD/KG;Papa MIN USD/KG;Papa MAY USD/KG;Arroz MIN USD/Kg;Arroz MAY USD/Kg;Maiz MIN USD/Kg;Maiz MAY USD/Kg;Trigo MIN USD/Kg;Trigo MAY USD/Kg;PESO/DÓLAR
2021;Marzo;2.02;1.76;1.68;1.63;1.43;0.35;0.29;0.34;0.28;726.37
2021;Febrero;2.02;1.77;1.67;1.64;1.42;0.34;;0.3;0.28;722.63
2021;Enero;1.98;1.81;1.52;1.61;1.33;0.33;;0.3;0.26;723.56
2020;Diciembre;1.93;1.67;1.58;1.57;1.41;0.4;;0.31;0.28;734.73
2020;Noviembre;1.87;1.58;1.53;1.52;1.31;0.35;0.25;0.34;0.28;762.88
2020;Octubre;1.79;1.48;1.41;1.47;1.4;0.33;0.23;0.36;0.26;788.27
2020;Setiembre;1.82;1.53;1.37;1.49;1.38;0.34;0.21;0.35;0.26;773.4
2020;Agosto;1.79;1.49;1.54;1.47;1.32;0.34;0.2;0.34;0.26;784.66
2020;Julio;1.77;1.46;1.7;1.48;1.23;0.35;0.2;0.36;0.24;784.73
2020;Junio;1.78;1.42;1.76;1.47;1.21;0.35;0.2;0.35;0.24;793.72
2020;Mayo;1.72;1.42;1.75;1.41;1.2;0.35;0.19;0.34;0.24;821.81
2020;Abril;1.66;1.41;1.71;1.37;1.14;0.34;0.19;0.33;0.24;853.38
2020;Marzo;1.7;1.39;1.66;1.36;1.45;0.34;0.18;0.34;0.22;839.38
2020;Febrero;1.74;1.43;1.8;1.41;1.4;0.39;0.19;0.39;0.23;796.38
2020;Enero;1.74;1.5;1.73;1.45;1.46;0.41;0.19;0.42;0.23;772.65
2019;Diciembre;1.73;1.54;1.86;1.41;1.34;0.41;0.2;0.41;0.23;770.39
2019;Noviembre;1.68;1.53;1.8;1.47;1.31;0.41;0.2;0.4;0.22;776.53
2019;Octubre;1.81;1.61;1.81;1.55;1.3;0.4;0.2;0.39;0.23;721.03
2019;Setiembre;1.83;1.57;1.85;1.57;1.3;0.39;0.2;0.4;0.23;718.44
2019;Agosto;1.84;1.63;1.82;1.58;1.46;0.36;0.21;0.35;0.24;713.7
2019;Julio;1.92;1.67;1.9;1.64;1.62;0.5;0.2;0.42;0.25;686.06
2019;Junio;1.9;1.66;1.89;1.62;1.35;0.46;0.19;0.45;0.25;692.41
2019;Mayo;1.87;1.65;1.85;1.63;1.48;0.36;0.18;0.42;0.25;692
2019;Abril;1.94;1.72;1.85;1.69;1.51;0.36;0.19;0.44;0.26;667.4
2019;Marzo;1.94;1.74;1.81;1.68;1.1;0.36;0.19;0.45;0.25;667.68
2019;Febrero;1.98;1.89;1.77;1.72;1.14;0.36;;0.4;0.26;656.3
2019;Enero;1.93;1.97;1.81;1.66;1.14;0.36;0.24;0.4;0.26;677.06
2018;Diciembre;1.92;2.27;1.83;1.63;1.07;0.36;0.23;0.35;0.26;681.99
2018;Noviembre;1.89;2.43;1.85;1.67;1.18;0.32;0.21;0.33;0.27;677.61
2018;Octubre;1.89;2.03;1.96;1.7;1.07;0.33;0.2;0.35;0.26;676.84
2018;Setiembre;1.84;1.5;2.03;1.69;1.14;0.36;0.2;0.37;0.25;680.91
2018;Agosto;1.89;1.51;2.14;1.75;1.19;0.35;0.2;0.39;0.25;656.25
2018;Julio;1.89;1.51;2.2;1.75;1.39;0.4;0.2;0.4;0.24;652.41
2018;Junio;1.95;1.64;2.13;1.79;1.37;0.39;0.21;0.39;0.24;636.15
2018;Mayo;1.99;1.75;1.97;1.84;1.56;0.39;0.21;0.34;0.24;626.12
2018;Abril;2.07;1.86;1.85;1.92;1.31;0.37;0.21;0.32;0.23;600.55
2018;Marzo;2.04;1.85;1.9;1.89;1.28;0.34;0.22;0.32;0.23;603.45
2018;Febrero;2.05;1.85;1.98;1.92;1.28;0.35;0.21;0.3;0.23;596.84
2018;Enero;1.99;1.78;1.97;1.92;1.11;0.45;0.21;0.31;0.23;605.53
2017;Diciembre;1.92;1.6;2.04;1.79;1.11;0.43;0.19;0.29;0.22;636.92
2017;Noviembre;1.9;1.51;1.96;1.82;1.03;0.4;0.19;0.27;0.21;633.77
2017;Octubre;1.87;1.42;1.91;1.82;1.14;0.4;0.2;0.28;0.22;629.55
2017;Setiembre;1.87;1.52;1.88;1.85;1.11;0.37;0.2;0.3;0.22;625.54
2017;Agosto;1.79;1.42;1.39;1.78;1.02;0.37;0.2;0.35;0.21;644.24
2017;Julio;1.76;1.39;2.09;1.75;1.15;0.36;0.19;0.36;0.2;658.17
2017;Junio;1.71;1.46;1.85;1.73;1.17;0.35;0.19;0.36;0.2;665.15
2017;Mayo;1.68;1.59;1.97;1.7;1.14;0.35;0.19;0.35;0.19;671.54
2017;Abril;1.71;1.66;1.96;1.71;1.12;0.35;0.19;0.37;0.2;655.74
2017;Marzo;1.69;1.73;1.95;1.67;1.16;0.34;0.21;0.34;0.19;661.2
2017;Febrero;1.74;1.7;1.94;1.72;1.1;0.41;0.23;0.43;0.19;643.21
2017;Enero;1.7;1.65;1.91;1.65;1.07;0.41;0.22;0.42;0.2;661.19
2016;Diciembre;1.67;1.62;1.7;1.64;1.05;0.41;0.21;0.41;0.2;667.17
2016;Noviembre;1.66;1.7;1.36;1.63;1.12;0.38;0.21;0.38;0.21;666.12
2016;Octubre;1.66;1.57;1.63;1.6;1.12;0.4;0.21;0.41;0.21;663.92
2016;Setiembre;1.64;1.55;1.72;1.58;1.09;0.42;0.21;0.42;0.21;668.63
2016;Agosto;1.66;1.58;1.54;1.62;1.11;0.44;0.21;0.44;0.21;658.89
2016;Julio;1.65;1.62;1.46;1.62;0.98;0.47;0.2;0.43;0.21;657.57
2016;Junio;1.59;1.67;1.31;1.56;0.94;0.41;0.2;0.41;0.21;681.07
2016;Mayo;1.6;1.6;1.43;1.56;0.83;0.4;0.18;0.4;0.2;681.87
