Marca temporal,Edad:,Sexo:,Distrito:,¿Actualmente cuál es su principal ocupación?,¿Conocía las billeteras digitales antes de la pandemia de COVID-19?,¿Utilizaba billeteras digitales antes de la pandemia?,¿Cuál es la principal razón por la que utilizaba las billeteras digitales antes de la pandemia?,¿Cuál es la principal razón por la que NO utilizaba las billeteras digitales antes de la pandemia?,¿Actualmente utiliza billeteras digitales?,¿Qué billetera digital usa con más frecuencia?,¿Cuál es la segunda billetera digital que usa con más frecuencia?,¿Desde hace cuánto utiliza este método de pago?,¿Qué razones llevaron a que empezara a usar las billeteras digitales?,¿Por qué razones sigue utilizando este método de pago?,¿Las billeteras digitales son su método principal de pago?,¿Ha intentado usar billeteras digitales?,¿Cuál es su método principal de pago?,¿Qué factores le impiden utilizar una billetera digital como método principal?,¿Cuál es el gasto promedio diario (en soles) que tenía antes de la pandemia con su método principal de pago?,¿Cuál es el gasto promedio diario actual (en soles) que tiene con su método principal de pago?,"En una escala del 1 al 5, ¿qué tan cómodo se siente con su método principal de pago?","En una escala del 1 al 5, ¿cuán rápido cree que es pagar con billeteras digitales que con otros métodos de pago?",¿Cuántos miembros de su familia utilizan billeteras digitales?
28/04/2023 23:24:45,18,Femenino,Surquillo,Estudiante,No,,,,Sí,Yape,Ninguno,8,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Costumbre,No,,Efectivo,Falta de necesidad,3,15,4,2,3
28/04/2023 23:44:55,17,Femenino,Lima,Estudiante,Sí,No,,Ninguna de las anteriores,No,,,,,,,No,Efectivo,Ninguna de las anteriores,10,50,3,5,2
28/04/2023 23:56:16,18,Masculino,Callao *,Estudiante,No,,,,Sí,Yape,Yape,12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Sí,,,,10,15,4,4,3
29/04/2023 0:03:39,18,Masculino,Santiago de Surco,Estudiante,No,,,,Sí,Yape,Plin,4,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Costumbre,Sí,,,,5,10,4,5,3
29/04/2023 0:04:00,19,Femenino,San Martín de Porres,Estudiante,Sí,No,,Desconocimiento de la forma en cómo se usa este método de pago,Sí,Yape,Plin,2,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,10,20,4,4,3
29/04/2023 0:04:49,20,Femenino,Lurigancho,Estudiante,Sí,Sí,Necesidad (ej.: Este medio era muy usado en su entorno),,Sí,Yape,Ninguno,24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre",Sí,,,,25,40,4,4,3
29/04/2023 0:05:36,18,Femenino,Magdalena del Mar,Estudiante,Sí,No,,Poca/nula necesidad,Sí,Yape,Ninguno,5,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,4,4,5,4,4
29/04/2023 0:08:21,17,Masculino,Barranco,Estudiante,No,,,,No,,,,,,,Sí,Efectivo,Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad),20,30,3,5,5
29/04/2023 0:18:06,18,Femenino,La Molina,Estudiante,No,,,,Sí,Yape,Plin,2,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre",Sí,,,,100,150,4,4,2
29/04/2023 0:30:04,18,Femenino,Barranco,Estudiante,No,,,,No,,,,,,,Sí,Efectivo,Ninguna de las anteriores,10,16,4,5,5
29/04/2023 7:23:46,18,Femenino,San Juan de Miraflores,Estudiante,No,,,,Sí,Yape,Tunki,12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Sí,,,,20,40,5,5,2
29/04/2023 8:28:07,18,Femenino,Barranco,Estudiante,No,,,,No,,,,,,,Sí,Efectivo,Ninguna de las anteriores,30,30,4,1,4
29/04/2023 10:31:08,19,Femenino,Villa María del Triunfo,Estudiante,Sí,No,,Poca/nula necesidad,No,,,,,,,No,Efectivo,"Falta de necesidad, Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",10,10,4,3,0
29/04/2023 12:45:29,18,Femenino,Barranco,Estudiante,No,,,,No,,,,,,,No,Efectivo,"Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad), Desconocimiento de cómo usar este tipo de método de pago",100,200,3,2,0
29/04/2023 12:57:34,22,Femenino,San Juan de Lurigancho,Estudiante,Sí,No,,Poca/nula necesidad,Sí,Yape,Plin,24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)",Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),No,,Efectivo,Falta de necesidad,30,40,3,3,4
29/04/2023 13:00:19,19,Masculino,Los Olivos,Estudiante,Sí,No,,Desconfianza (ej.: Sentimiento de vulnerabilidad),Sí,Yape,Paypal,12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,10,15,5,5,4
29/04/2023 13:15:54,22,Femenino,San Juan de Lurigancho,Estudiante,Sí,No,,Poca/nula necesidad,Sí,Plin,Ninguno,20,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Sí,,,,20,70,5,5,5
29/04/2023 13:40:58,20,Masculino,Santiago de Surco,Estudiante,No,,,,Sí,Yape,Plin,12,"Miedo al contagio por COVID-19, Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,8,15,4,5,5
29/04/2023 13:42:36,18,Masculino,Surquillo,Estudiante,Sí,No,,Ninguna de las anteriores,No,,,,,,,Sí,Tarjeta (de crédito o de débito),Falta de necesidad,5,26,5,3,0
29/04/2023 13:49:19,18,Femenino,Santiago de Surco,Estudiante,No,,,,Sí,Yape,Ninguno,24,Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,10,30,4,4,3
29/04/2023 13:50:19,17,Masculino,San Miguel,Estudiante,Sí,No,,Desconocimiento de la forma en cómo se usa este método de pago,Sí,Yape,Yape,9,Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago),Sí,,,,45,30,3,3,3
29/04/2023 13:51:19,18,Femenino,Miraflores,Estudiante,Sí,No,,Poca/nula necesidad,Sí,Yape,Yape,6,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,10,20,5,4,8
29/04/2023 14:01:11,18,Masculino,Surquillo,Estudiante,No,,,,Sí,Yape,Plin,6,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)",Sí,,,,5,20,5,4,3
29/04/2023 14:07:45,24,Masculino,San Juan de Lurigancho,Estudiante,Sí,Sí,Comodidad (ej.: Integridad con otros medios de pago),,Sí,Yape,Yape,36,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)",Sí,,,,10,10,4,3,5
29/04/2023 14:16:40,18,Femenino,Santiago de Surco,Estudiante,No,,,,Sí,Yape,Apple Pay,4,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre",Sí,,,,5,5,5,5,4
29/04/2023 14:24:56,22,Femenino,San Juan de Lurigancho,Estudiante,Sí,No,,Poca/nula necesidad,Sí,Plin,Yape,16,Miedo al contagio por COVID-19,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre",No,,Efectivo,Ninguna de las anteriores,200,200,4,2,3
29/04/2023 14:36:45,17,Masculino,San Martín de Porres,Estudiante,No,,,,No,,,,,,,Sí,Efectivo,Ninguna de las anteriores,2.50,3,4,5,5
