Depatamento,POBLACIÓN ECONÓMICAMENTE ACTIVA OCUPADA 2018 (Miles de personas),POBLACIÓN ECONÓMICAMENTE ACTIVA OCUPADA 2019 (Miles de personas),POBLACIÓN ECONÓMICAMENTE ACTIVA OCUPADA 2020 (Miles de personas),POBLACIÓN ECONÓMICAMENTE ACTIVA OCUPADA 2021 (Miles de personas),POBLACIÓN EN EDAD DE TRABAJAR PORCENTAJE 2018,POBLACIÓN EN EDAD DE TRABAJAR PORCENTAJE 2019,POBLACIÓN EN EDAD DE TRABAJAR PORCENTAJE 2020,POBLACIÓN EN EDAD DE TRABAJAR PORCENTAJE 2021,POBLACION POR DEPARTAMENTO CENSO 2017,POBLACIÓN ECONÓMICAMENTE ACTIVA  POR DEPARTAMENTO 2018,POBLACIÓN ECONÓMICAMENTE ACTIVA  POR DEPARTAMENTO 2019,POBLACIÓN ECONÓMICAMENTE ACTIVA  POR DEPARTAMENTO 2020,POBLACIÓN ECONÓMICAMENTE ACTIVA  POR DEPARTAMENTO 2021,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,Tasa de Empleo 2018,Tasa de Empleo 2019,Tasa de Empleo 2020,Tasa de Empleo 2021,Tasa de Desempleo 2018,Tasa de Desempleo 2019,Tasa de Desempleo 2020,Tasa de Desempleo 2021
AMAZONAS,238.5,249.1,237.4,258.8,71,69.9,71.6,71.9,457 137,241.3,251.6,243.1,263.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.83961873186904,99.00635930047694,97.65528589058002,98.25360668185272,3.943661971831002,3.5765379113018594,7.960893854748588,6.39777468706532
ANCASH,618.1,638.8,567.3,640.8,73.1,73.9,74.4,75.5,1 373 004,637.9,655.2,598.5,667.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.89606521398339,97.49694749694748,94.78696741854635,96,27.086183310533457,22.192151556157093,41.9354838709678,35.36423841059609
APURIMAC,262.9,266.6,258.9,285.7,69.6,68.8,68.6,70.2,601 201,267.9,272.8,264.3,292.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.13363195222098,97.72727272727273,97.95686719636775,97.54182314783203,7.183908045977012,9.011627906976729,7.8717201166181265,10.25641025641024
AREQUIPA,701.4,708.6,550.9,685.3,76.9,77.9,78.2,78.6,1 182 212,729.2,733.8,628.2,735.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.18760285244102,96.56582174979559,87.69500159184972,93.12406576980567,36.15084525357616,32.349165596919036,98.84910485933513,64.37659033078884
AYACUCHO,372.9,374.7,352.5,395.2,68.9,69.7,70.5,70.2,867 275,380.9,383.3,368.4,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.89971121029141,97.75632663709887,95.6840390879479,97.58024691358025,11.611030478955007,12.338593974175067,22.55319148936167,13.960113960113976
CAJAMARCA,857.6,870.5,848.9,916,72.2,72.4,73.6,74.6,1 910 764,879.1,891.2,891.1,940.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.55431691502673,97.67728904847395,95.26428010324318,97.40535942152276,29.778393351800553,28.59116022099454,57.336956521739204,32.70777479892759
CALLAO,531.2,546.8,425.9,521.3,77.5,79,79.1,78.9,722 305,571.3,576.8,484.4,574.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.98092070715913,94.79889042995839,87.92320396366638,90.77137384642174,51.74193548387085,37.9746835443038,73.95701643489254,67.17363751584283
CUSCO,736.5,769.9,727,792.3,73.4,73.9,74.3,74.6,1 410 946,758.3,781.8,754.7,822.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1251483581696,98.47787157840881,96.32966741751689,96.37513684466609,29.700272479563967,16.102841677943132,37.281292059219446,39.94638069705103
HUANCAVELICA,265.6,270.9,280.8,301.4,64.5,65.1,66.5,66.2,622 548,273.4,279.3,290.7,306.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.14703730797368,96.99248120300751,96.59442724458205,98.36814621409921,12.093023255813883,12.903225806451665,14.88721804511275,7.552870090634441
HUANUCO,461.4,462.5,439.6,492.2,69.9,70.5,71.1,71.9,943 074,470.4,473.6,458.5,506.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.08673469387756,97.65625,95.87786259541986,97.1767028627838,12.875536480686694,15.74468085106386,26.58227848101263,19.888734353268443
