NOMBRE EMPRESA,RUC,SECTOR,TIPO DE ENTIDAD OTORGANTE DEL BCP,NOMBRE ENTIDAD OTORGANTE DEL BCP,MONTO PRESTAMO,MONTO COBERTURA,DEPARTAMENTO,Tipo Empresa,Condición,Fecha Inicio Actividades,Años Actividad,categoria_antiguedad
EMPRESA DE TRANSPORTES CORAZON DE JESUS DE SAN DIEGO S.A.,20122123724,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",CMAC,CMAC PIURA,260000,247000,AMAZONAS,Sociedad Anonima,Activo,4/30/1993,27,tier1
ESTACION DE SERVICIOS UTCUBAMBA E.I.R.L.,20288544639,COMERCIO,BANCA MULTIPLE,BCP,227620,216239,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,7/18/1995,24,tier1
INDUGRAPH S.R.LTDA.,20392200160,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,24555,24063.9,AMAZONAS,Soc.Com.Respons. Ltda,Activo,1/8/1998,22,tier1
NEGOCIOS OLTI E.I.R.L.,20392262432,COMERCIO,BANCA MULTIPLE,BCP,23358,22890.84,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,6/4/1998,21,tier1
SERVICIOS COMERCIO REPRESENTACIONES PROYECTOS ING. Y OBRAS SCORPIO S.R.L.,20392306235,CONSTRUCCION,BANCA MULTIPLE,BCP,16844,16507.12,AMAZONAS,Soc.Com.Respons. Ltda,Activo,10/9/1998,21,tier1
ROJASA S.R.L.,20479635596,COMERCIO,BANCA MULTIPLE,BCP,95544,90766.8,AMAZONAS,Soc.Com.Respons. Ltda,Activo,7/14/2003,16,tier1
CAFE MONTEVERDE EIRL,20479692476,COMERCIO,BANCA MULTIPLE,SCOTIABANK,3064313,2757881.7,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,12/26/2003,16,tier1
EMPRESA DE TRANSPORTES TR ANSERVIS EL PA RAISO EMPR ESA INDIVIDUAL DE RESPON,20479756113,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,3173,3109.54,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,6/1/2004,15,tier1
INVERAGRO SAN MARTIN DE PORRAS SAC,20479862738,"AGRICULTUR, GANADERIA, CAZA Y SILVICULT",BANCA MULTIPLE,BCP,1023666,921299.4,AMAZONAS,Sociedad Anonima Cerrada,Activo,5/16/2005,14,tier1
SERVICENTRO SANTA YSABEL S.A.C.,20479880981,COMERCIO,BANCA MULTIPLE,BCP,709081,638172.9,AMAZONAS,Sociedad Anonima Cerrada,Activo,2/9/2006,14,tier1
ELECTRONICA UNIVERSAL E.I .R.L.,20480020139,COMERCIO,BANCA MULTIPLE,BCP,25683,25169.34,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,7/1/2006,13,tier1
TRANS OIL BUNKER SAC,20515738461,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",CMAC,CMAC PIURA,155200,147440,AMAZONAS,Sociedad Anonima Cerrada,Activo,4/16/2007,13,tier1
IBE CONTRATISTAS GENERALE S S.A.C.,20480214928,CONSTRUCCION,BANCA MULTIPLE,BCP,175163,166404.85,AMAZONAS,Sociedad Anonima Cerrada,Activo,8/1/2007,12,tier1
ACADEMIA DE CIENCIAS SIGMA EIRL,20480262655,ENSENANZA,CMAC,CMAC TRUJILLO,13500,13230,AMAZONAS,Soc.Com.Respons. Ltda,Activo,10/26/2007,12,tier1
MOLINO SAN  MARTIN DE PORRAS SAC,20480753390,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,333877,300489.3,AMAZONAS,Sociedad Anonima Cerrada,Activo,12/1/2009,10,tier1
CRUZ VASQUEZ CONTRATISTAS Y SERVICIOS GENERALES,20487444350,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,12934,12675.32,AMAZONAS,Sociedad Anonima Cerrada,Activo,9/1/2010,9,tier2
POLOPRINT SAC,20487514587,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,9134,8951.32,AMAZONAS,Sociedad Anonima,Activo,12/1/2010,9,tier2
MI CASA DISTRIBUIDOR FERR ETERO S.A.C.,20487570908,COMERCIO,BANCA MULTIPLE,BCP,76978,73129.1,AMAZONAS,Sociedad Anonima Cerrada,Activo,2/1/2011,9,tier2
COMERCIAL WALTER Y FABIAN,20487750809,COMERCIO,CMAC,CMAC PIURA,30000,29400,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,8/1/2011,8,tier2
CONSTRUCTORA MELANIE ALEJ ANDRA EIRL,20487892930,COMERCIO,BANCA MULTIPLE,BCP,14434,14145.32,AMAZONAS,Empresa Individual de Resp. Ltda,Activo,2/1/2012,8,tier2
MASAVAL SERVICIOS GENERAL ES S.R.L,20487946614,OTROS SERVICIOS,BANCA MULTIPLE,BCP,92200,87590,AMAZONAS,Soc.Com.Respons. Ltda,Activo,3/1/2012,8,tier2
SERVICIOS GENERALES CIYESS SAC,20549825428,OTROS SERVICIOS,CMAC,CMAC PIURA,29900,29302,AMAZONAS,Sociedad Anonima Cerrada,Activo,10/3/2012,7,tier2
