"GENERO","EDAD","MERITO","UNIVERSIDAD","UBICACION_U","PRACTICAS","NUMERO_DE_PERSONAS","ETNIA","BECADO","VIVIENDA","P_SUELDO","INGRESO_SECU_IND","INGRESO_SECU_DEP","INGRESO_OCUPACIÓN_IND","INGRESO_OCUPACIÓN_DEP","FINANCIAMIENTO_F","PRESTAMO_BANCO","CARRERA","NOMBRE_U","T_TRABAJO","CAR_TRA","EMPLEO"
"Femenino","Sí","Quinto Superior","Pública","LIMA",1,1,"Mestizo","No","Departamento","1501 a 2500",0,0,0,0,"Sí","No","INDUSTRIAS ALIMENTARIAS","UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC","Entre 1 a 3 meses",NA,"No"
"Femenino","Sí","NO","Privada","LAMBAYEQUE",1,5,"Mestizo","No","Departamento",NA,0,0,0,2300,"Sí","No","ADMINISTRACIÓN DE EMPRESAS","UNIVERSIDAD ESAN",NA,"Sí","Sí"
"Femenino","Sí","Quinto Superior","Privada","LIMA",3,1,"Mestizo","No","Independiente","751 a 1000",0,0,0,1320,"Sí","No","CONTABILIDAD","UNIVERSIDAD NACIONAL DE SAN MARTÍN","Menos de un mes","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",2,4,"Mestizo","No","Independiente","1001 a 1500",0,0,0,2700,"Sí","No","ENFERMERÍA","UNIVERSIDAD DE SAN MARTÍN DE PORRES","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","JUNIN",7,3,"Quechua","No","Independiente","Hasta 750",0,0,0,525,"Sí","No","EDUCACIÓN PRIMARIA","UNIVERSIDAD NACIONAL FEDERICO VILLARREAL","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Privada","LIMA",7,2,"Mestizo","No","Independiente",NA,0,0,0,1700,"Sí","No","EDUCACIÓN INICIAL -  RETARDO MENTAL","UNIVERSIDAD NACIONAL DE UCAYALI",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",1,5,"Mestizo","No","Departamento",NA,0,0,0,4500,"Sí","No","MEDICINA HUMANA","UNIVERSIDAD NACIONAL DE TRUJILLO",NA,"Sí","Sí"
"Femenino","Sí","NO","Privada","JUNIN",1,5,"Nativo o indigena de la amazonia","No","Independiente",NA,0,50,0,1300,"Sí","No","PSICOLOGÍA","UNIVERSIDAD NACIONAL DE SAN AGUSTÍN",NA,"No","Sí"
"Masculino","Sí","NO","Privada","ANCASH",2,5,"Mestizo","No","Independiente",NA,0,0,800,0,"Sí","No","ARQUITECTURA Y URBANISMO","UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN",NA,"Sí","Sí"
"Femenino","Sí","NO","Privada","PUNO",3,1,"Aymara","No","Independiente","Hasta 750",0,259.8,0,1250,"Sí","Si","CIENCIAS CONTABLES Y FINANCIERAS","UNIVERSIDAD CATÓLICA SANTA MARÍA","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Privada","PIURA",5,4,"Mestizo","No","Departamento","1001 a 1500",100,0,800,0,"Sí","No","DERECHO","UNIVERSIDAD DE LIMA","Entre 1 a 3 meses","Sí","Sí"
