"GENERO","MINEDAD","CAP300P324A","SELECT_UNI_GESTION","NOMBRECCDD","CAP300P351","CAP300P353","CAP400P473","CAP300P319_4","CAP100P101","CAP400P472","CAP400P441_MONE","CAP400P440_MONE","CAP400P437_MONE","CAP400P436_MONE","CAP300P319_2","CAP300P319_5","CAP300P312","SELECT_UNI","CAP400P469","CAP400P406","CAP400P401"
2,1,2,1,"LIMA",1,1,6,2,2,4,0,0,0,0,1,2,"INDUSTRIAS ALIMENTARIAS","U0026",2,NA,2
2,1,NA,2,"LAMBAYEQUE",1,5,6,2,2,NA,0,0,0,2300,1,2,"ADMINISTRACIÓN DE EMPRESAS","U0063",NA,1,1
2,1,2,2,"LIMA",3,1,6,2,1,2,0,0,0,1320,1,2,"CONTABILIDAD","U0013",1,1,1
2,1,1,2,"LIMA",2,4,6,2,1,3,0,0,0,2700,1,2,"ENFERMERÍA","U0060",2,1,1
2,1,1,1,"JUNIN",7,3,1,2,1,1,0,0,0,525,1,2,"EDUCACIÓN PRIMARIA","U0021",2,1,1
2,1,NA,2,"LIMA",7,2,6,2,1,NA,0,0,0,1700,1,2,"EDUCACIÓN INICIAL -  RETARDO MENTAL","U0016",NA,1,1
2,1,1,2,"LIMA",1,5,6,2,2,NA,0,0,0,4500,1,2,"MEDICINA HUMANA","U0014",NA,1,1
2,1,NA,2,"JUNIN",1,5,3,2,1,NA,0,50,0,1300,1,2,"PSICOLOGÍA","U0011",NA,2,1
1,1,NA,2,"ANCASH",2,5,6,2,1,NA,0,0,800,0,1,2,"ARQUITECTURA Y URBANISMO","U0023",NA,1,1
2,1,NA,2,"PUNO",3,1,2,2,1,1,0,259.8,0,1250,1,1,"CIENCIAS CONTABLES Y FINANCIERAS","U0052",2,1,1
1,1,NA,2,"PIURA",5,4,6,2,2,3,100,0,800,0,1,2,"DERECHO","U0058",2,1,1
2,1,NA,2,"HUANUCO",1,3,6,2,1,4,0,0,0,0,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0009",1,NA,2
1,1,1,1,"PUNO",3,5,1,2,1,NA,0,0,0,25.422446406053,1,2,"BIOLOGÍA","U0020",NA,1,1
2,1,NA,1,"LIMA",2,2,5,2,1,NA,0,0,0,0,1,2,"INGENIERÍA FORESTAL","U0026",NA,NA,2
1,1,NA,2,"LIMA",3,1,6,2,1,2,0,0,0,2000,1,2,"DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","U0124",1,1,1
2,1,NA,1,"AREQUIPA",2,2,6,2,1,3,0,0,0,0,1,2,"INGENIERÍA DE INDUSTRIAS ALIMENTARIAS (INGENIERÍA DE INDUSTRIA ALIMENTARIA E INGENIERÍA INDUSTRIAS ALIMENTARIAS)","U0035",2,NA,2
1,1,NA,1,"JUNIN",1,1,1,2,1,NA,0,0,0,519.6,1,2,"AGRONOMÍA","U0032",NA,1,1
2,1,1,2,"JUNIN",1,1,1,2,1,1,0,0,0,1500,1,2,"PSICOLOGÍA","U0011",2,1,1
2,1,NA,2,"LIMA",4,1,6,2,1,NA,0,0,0,2000,1,2,"DERECHO","U0016",NA,1,1
1,1,1,2,"AREQUIPA",1,5,6,2,1,NA,0,0,0,0,1,2,"MEDICINA HUMANA","U0017",NA,NA,2
