MERCADO,CODE,MARCA,Best tittle ,DATA,PUBLIC,MAYOR,,BASE,MIN,MOVES,NOW,REV,CLIENTE,,LARG,ANCHO,ALTO,PESO,,LARGO,ANCHO,ALTO,PESO,,UNIVERSAL,ML,ENVIO,sugerido,ACTUAL,costo de ENVIO,,,,,,,,,,,,,,,
#REF!,CDLI12415,INGCO,,12v 1.5 selec INGCO,117.49,89.89,,4,5,#ðREF!,#ðREF!,#ðREF!,111.62,21,22,13,6,,,LARGO,,,,,6.93E+12,129.24,11.95,141.189,105,11.15,116.15,,,,,,,,,,,,,,
,CDLI20011,INGCO,,20v 1bat 1.5 INGCO,201.25,169.65,,5,5,#ðREF!,#ðREF!,#ðREF!,191.19,43,26,20,9,1.8,,,,,,,6.94E+12,221.38,11.95,233.325,209.9,14.3,224.2,,,,,,,,,,,,,,
,CDLI20012,INGCO,,1.5a 20v x2 bat INGCO,306.66,268.73,,4,5,#ðREF!,#ðREF!,#ðREF!,291.33,29,31,29,10,2.7K,,,,,,,6.94E+12,337.33,11.95,349.276,299.99,17,316.99,,,,,,,,,,,,,,
,RGH6528,INGCO,4,rh 650w INGCO,199.9,168.08,,8,2,#ðREF!,#ðREF!,#ðREF!,189.91,0,38,30,13,4.5K,,,,,,,6.94E+11,219.89,19.45,239.34,239.99,15.2,255.19,,,,,,,,,,,,,,
,CS18528,INGCO,,1400w sierra circular gozu INGCO,255.48,226.76,,4,4,#ðREF!,#ðREF!,#ðREF!,242.71,1,36,27,28,5.8K,,,,,,,6.93E+12,281.03,19.45,300.478,319.99,17.6,337.59,,,,,,,,,,,,,,
,RT22008,INGCO,,"roteadora 12mm 1/2"" 2200w INGCO",371.38,332.2,,2,2,#ðREF!,#ðREF!,#ðREF!,352.81,9,30,22,31,5K,,,,,,,6.93E+12,408.52,11.95,420.468,429.9,20.9,450.8,,,,,,,,,,,,,,
,AB6008,INGCO,puab,600w soplador con regulador ingco,127.87,98.45,,2,2,#ðREF!,#ðREF!,#ðREF!,121.48,26,25,22,20,1.8K,,,,,,,6.93E+12,140.66,0,140.657,129.9,11.9,141.8,,,,,,,,,,,,,,
,VPM3708-5,INGCO,,Bomba Periferica 0.5HP 370w 35M medio caballo,201.25,169.65,,2,2,#ðREF!,#ðREF!,#ðREF!,191.19,4,29,16,19,5,,,,,,,6.93E+12,221.38,19.45,240.825,209.99,14.3,224.29,,,,,,,,,,,,,,
,ING-CB1601,INGCO,,cargador bateria ,225.06,191.47,,0,1,#ðREF!,#ðREF!,#ðREF!,213.81,3,31,21,18,6,,,,,,,6.93E+12,247.57,5.95,253.516,289.99,16.7,306.69,,,,,,,,,,,,,,
,GT3501,INGCO,,cortador cesped ingco,138.32,109.41,,2,6,#ðREF!,#ðREF!,#ðREF!,131.4,2,23,13,65,2kg,,,,,,,6.93E+12,152.15,34.95,187.102,169.99,13.1,183.09,,,,,,,,,,,,,,
