FECHA,Tipo de cambio - TC Interbancario (S/ por US$) - Compra,Tipo de cambio - TC Interbancario (S/ por US$) - Venta
03Ene22,"3,983666667","3,988833333"
04Ene22,"3,9595","3,964"
05Ene22,"3,952","3,956333333"
06Ene22,"3,967166667","3,969666667"
07Ene22,"3,945166667","3,948166667"
10Ene22,"3,927666667","3,930166667"
11Ene22,"3,916333333","3,919333333"
12Ene22,"3,892333333","3,896"
13Ene22,"3,894833333","3,897833333"
14Ene22,"3,870333333","3,875833333"
17Ene22,"3,847666667","3,857333333"
18Ene22,"3,852833333","3,855833333"
19Ene22,"3,8625","3,865333333"
20Ene22,"3,844666667","3,847666667"
21Ene22,"3,8215","3,827666667"
24Ene22,"3,839","3,841833333"
25Ene22,"3,8475","3,849666667"
26Ene22,"3,840333333","3,843333333"
27Ene22,"3,836166667","3,839"
28Ene22,"3,844","3,8475"
31Ene22,"3,840333333","3,843166667"
01Feb22,"3,871333333","3,877666667"
02Feb22,"3,852","3,857"
03Feb22,"3,8585","3,860833333"
04Feb22,"3,863","3,867833333"
07Feb22,"3,8385","3,845833333"
08Feb22,"3,837833333","3,842166667"
09Feb22,"3,817166667","3,824666667"
10Feb22,"3,748333333","3,761666667"
11Feb22,"3,749833333","3,7585"
14Feb22,"3,784166667","3,7905"
15Feb22,"3,797666667","3,8005"
16Feb22,"3,7615","3,768166667"
17Feb22,"3,733833333","3,739333333"
18Feb22,"3,714666667","3,7215"
21Feb22,"3,743833333","3,751333333"
22Feb22,"3,731666667","3,740166667"
23Feb22,"3,7105","3,7205"
24Feb22,"3,790666667","3,795666667"
25Feb22,"3,7485","3,7535"
28Feb22,"3,7565","3,761666667"
01Mar22,"3,791166667","3,794666667"
02Mar22,"3,757333333","3,766333333"
03Mar22,"3,724833333","3,731666667"
04Mar22,"3,751166667","3,759666667"
07Mar22,"3,738166667","3,7455"
08Mar22,"3,728166667","3,734666667"
09Mar22,"3,712166667","3,7175"
10Mar22,"3,716","3,720833333"
11Mar22,"3,688833333","3,694"
14Mar22,"3,709333333","3,715333333"
15Mar22,"3,734666667","3,739"
16Mar22,"3,7215","3,725333333"
17Mar22,"3,732166667","3,735666667"
18Mar22,"3,770833333","3,7745"
21Mar22,"3,7845","3,789"
22Mar22,"3,772166667","3,775833333"
23Mar22,"3,768666667","3,771333333"
24Mar22,"3,743","3,7485"
25Mar22,"3,724666667","3,7305"
28Mar22,"3,728","3,7325"
29Mar22,"3,716666667","3,720666667"
30Mar22,"3,721333333","3,7235"
31Mar22,"3,688333333","3,693"
01Abr22,"3,6435","3,651333333"
04Abr22,"3,625833333","3,6305"
05Abr22,"3,689833333","3,698333333"
06Abr22,"3,714666667","3,719333333"
07Abr22,"3,71","3,712666667"
08Abr22,"3,709666667","3,715166667"
11Abr22,"3,710833333","3,7145"
12Abr22,"3,705166667","3,7095"
13Abr22,"3,734","3,738833333"
14Abr22,n.d.,n.d.
15Abr22,n.d.,n.d.
18Abr22,"3,732833333","3,736"
19Abr22,"3,723","3,728833333"
20Abr22,"3,703666667","3,707666667"
21Abr22,"3,726333333","3,729833333"
22Abr22,"3,761666667","3,765333333"
25Abr22,"3,8075","3,8115"
26Abr22,"3,813833333","3,818166667"
27Abr22,"3,8285","3,831666667"
28Abr22,"3,8485","3,851666667"
29Abr22,"3,829833333","3,8345"
02May22,"3,840166667","3,8435"
03May22,"3,818","3,821166667"
04May22,"3,7915","3,797833333"
05May22,"3,7785","3,785"
06May22,"3,807333333","3,8125"
09May22,"3,824","3,828833333"
10May22,"3,802166667","3,807333333"
11May22,"3,778833333","3,784166667"
12May22,"3,791","3,7965"
13May22,"3,774","3,781833333"
16May22,"3,776333333","3,782333333"
17May22,"3,754166667","3,7595"
18May22,"3,768166667","3,771"
19May22,"3,7445","3,749"
20May22,"3,724666667","3,728833333"
23May22,"3,712666667","3,717166667"
24May22,"3,707","3,711"
25May22,"3,687166667","3,691"
26May22,"3,652666667","3,660166667"
27May22,"3,667166667","3,6735"
30May22,"3,671","3,681666667"
31May22,"3,698","3,702833333"
01Jun22,"3,719666667","3,7235"
02Jun22,"3,704333333","3,708833333"
03Jun22,"3,704","3,707166667"
06Jun22,"3,725","3,728333333"
07Jun22,"3,749833333","3,7545"
08Jun22,"3,7535","3,757166667"
09Jun22,"3,753","3,756333333"
10Jun22,"3,769833333","3,776833333"
13Jun22,"3,769833333","3,7745"
14Jun22,"3,7465","3,752666667"
15Jun22,"3,722","3,728"
16Jun22,"3,716833333","3,721833333"
17Jun22,"3,715666667","3,72"
20Jun22,"3,717833333","3,7235"
21Jun22,"3,7185","3,721333333"
22Jun22,"3,728","3,731"
23Jun22,"3,749333333","3,7455"
24Jun22,"3,780833333","3,785"
27Jun22,"3,780333333","3,785166667"
28Jun22,"3,783333333","3,785833333"
29Jun22,n.d.,n.d.
30Jun22,"3,8185","3,824666667"
01Jul22,"3,847333333","3,852"
04Jul22,"3,823666667","3,832166667"
05Jul22,"3,856833333","3,86"
06Jul22,"3,881166667","3,8855"
07Jul22,"3,886","3,888833333"
08Jul22,"3,899666667","3,902666667"
11Jul22,"3,939333333","3,951833333"
12Jul22,"3,969833333","3,976"
13Jul22,"3,946833333","3,957333333"
14Jul22,"3,941333333","3,948333333"
15Jul22,"3,886833333","3,895166667"
18Jul22,"3,881666667","3,888"
19Jul22,"3,866166667","3,874166667"
20Jul22,"3,879333333","3,883166667"
21Jul22,"3,907333333","3,911166667"
22Jul22,"3,913166667","3,916666667"
25Jul22,"3,908666667","3,913666667"
26Jul22,"3,916833333","3,920333333"
27Jul22,"3,916333333","3,920166667"
28Jul22,n.d.,n.d.
29Jul22,n.d.,n.d.
01Ago22,"3,882","3,889833333"
02Ago22,"3,9165","3,920833333"
03Ago22,"3,913833333","3,916833333"
04Ago22,"3,8845","3,891333333"
05Ago22,"3,902","3,907166667"
08Ago22,"3,9095","3,913"
09Ago22,"3,926666667","3,930166667"
10Ago22,"3,891666667","3,897333333"
11Ago22,"3,880833333","3,884166667"
12Ago22,"3,855666667","3,861166667"
15Ago22,"3,845833333","3,8525"
16Ago22,"3,855","3,858666667"
17Ago22,"3,839","3,843"
18Ago22,"3,838833333","3,843833333"
19Ago22,"3,856166667","3,858666667"
22Ago22,"3,876166667","3,8795"
23Ago22,"3,859833333","3,8625"
24Ago22,"3,864666667","3,866833333"
25Ago22,"3,849333333","3,854333333"
26Ago22,"3,837","3,841333333"
29Ago22,"3,833","3,835166667"
30Ago22,n.d.,n.d.
31Ago22,"3,841333333","3,845"
01Set22,"3,862166667","3,865333333"
02Set22,"3,8685","3,872166667"
05Set22,"3,877666667","3,883"
06Set22,"3,8955","3,898833333"
07Set22,"3,89","3,893166667"
08Set22,"3,874","3,878333333"
09Set22,"3,8765","3,880666667"
12Set22,"3,851666667","3,855666667"
13Set22,"3,862666667","3,867166667"
14Set22,"3,875333333","3,878666667"
15Set22,"3,886333333","3,889333333"
16Set22,"3,878333333","3,881166667"
19Set22,"3,864166667","3,869666667"
20Set22,"3,884833333","3,8875"
21Set22,"3,896","3,9005"
22Set22,"3,899833333","3,905"
23Set22,"3,907166667","3,9115"
26Set22,"3,935166667","3,939166667"
27Set22,"3,946166667","3,949833333"
28Set22,"3,9465","3,949833333"
29Set22,"3,970666667","3,973"
30Set22,"3,9805","3,983333333"
03Oct22,"3,962666667","3,9675"
04Oct22,"3,948666667","3,952166667"
05Oct22,"3,962833333","3,9665"
06Oct22,"3,9785","3,981666667"
07Oct22,"3,972833333","3,9765"
10Oct22,"3,9555","3,96"
11Oct22,"3,9685","3,971333333"
12Oct22,"3,981","3,983166667"
13Oct22,"3,982666667","3,984666667"
14Oct22,"3,987666667","3,990333333"
17Oct22,"3,976333333","3,980333333"
18Oct22,"3,974166667","3,976666667"
19Oct22,"3,984","3,985833333"
20Oct22,"3,977833333","3,980166667"
21Oct22,"3,9825","3,984833333"
24Oct22,"3,999333333","4,0015"
25Oct22,"3,994666667","3,997166667"
26Oct22,"3,988333333","3,990333333"
27Oct22,"3,977","3,980166667"
28Oct22,"3,971833333","3,975333333"
31Oct22,"3,988333333","3,9905"
01Nov22,n.d.,n.d.
02Nov22,"3,96","3,96775"
03Nov22,"3,97","3,9725"
04Nov22,"3,9555","3,957666667"
07Nov22,"3,9485","3,951333333"
08Nov22,"3,9245","3,927333333"
09Nov22,"3,910333333","3,914"
10Nov22,"3,862333333","3,866666667"
11Nov22,"3,855333333","3,858666667"
14Nov22,"3,853666667","3,857166667"
15Nov22,"3,826833333","3,830166667"
16Nov22,"3,835666667","3,838"
17Nov22,"3,8385","3,8415"
18Nov22,"3,825333333","3,829833333"
21Nov22,"3,835166667","3,839166667"
22Nov22,"3,847166667","3,849833333"
23Nov22,"3,848666667","3,8515"
24Nov22,"3,8425","3,848"
25Nov22,"3,861666667","3,865666667"
28Nov22,"3,849666667","3,8565"
29Nov22,"3,841833333","3,846"
30Nov22,"3,851833333","3,855"
01Dic22,"3,826333333","3,83"
02Dic22,"3,832333333","3,835666667"
05Dic22,"3,845166667","3,849"
06Dic22,"3,841","3,845666667"
07Dic22,"3,8365","3,846333333"
08Dic22,n.d.,n.d.
09Dic22,n.d.,n.d.
12Dic22,"3,830833333","3,837833333"
13Dic22,"3,826833333","3,8305"
14Dic22,"3,832666667","3,836333333"
15Dic22,"3,845333333","3,847833333"
16Dic22,"3,844666667","3,848"
19Dic22,"3,832333333","3,835833333"
20Dic22,"3,828666667","3,834"
21Dic22,"3,814","3,818"
22Dic22,"3,812","3,814666667"
23Dic22,"3,814","3,818"
26Dic22,"3,816833333","3,820666667"
27Dic22,"3,817666667","3,82"
28Dic22,"3,808833333","3,811333333"
29Dic22,"3,81","3,812166667"
30Dic22,"3,809","3,811666667"
