"","Edad","Genero","Carrera","Ciclo","Participacion","Cantidad","Tipo","Actividades","Horas_Actividades","Satisfaccion","Horas_Estudios","Orden_de_merito","Reprobado","Relación_rendimiento","Nivel_habilidades","Relacion_habilidades","Amistades","Test_Social","Test_Liderazgo"
"1",19,"Masculino","Ingeniería Civil","4","Sí",1,"Deportiva","Ajedrez, Fútbol",4,"Muy satisfecho",6,"Tercio superior","Sí","No afectan.","Regular","Si, afectan positivamente.",5,8.75,8.38
"2",18,"Femenino","Ingeniería Civil","4","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",30,"Medio superior","Sí","No afectan.","Regular","No afectan.",0,5.75,5
"3",18,"Femenino","Bioingeniería","3","Sí",2,"Deportiva, Artística, Trabajo","Danza, Videojuegos",4,"Medianamente satisfecho",26,"Quinto superior","No","Si, afectan positivamente","Regular","No afectan.",1,5,6.38
"4",17,"Femenino","Bioingeniería","3","Sí",1,"Académicas","Inglés",6,"Muy satisfecho",25,"Tercio superior","No","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",2,6.25,6.88
"5",18,"Masculino","Ingeniería Mecánica","3","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",14,"Medio superior","Sí","No afectan.","Medianamente Bajo","No afectan.",0,3.75,4.13
"6",22,"Masculino","Ingeniería Civil","4","Sí",1,"Deportiva","Fútbol",2,"Muy satisfecho",77,"Ninguno","Sí","Si, afectan positivamente","Regular","Si, afectan positivamente.",6,6.75,5.5
"7",19,"Femenino","Ingeniería Civil","4","Sí",3,"Artística, Académicas","Danza, Inglés, Diseño o Marketing en organizaciones",3,"Medianamente satisfecho",10,"Tercio superior","Sí","No afectan.","Medianamente Alto","No afectan.",15,7,5.88
"8",19,"Masculino","Ciencia de la Computación","4","Sí",3,"Artística, Académicas, Voluntariado","Inglés, Miembro de una organización estudiantil",5,"Muy satisfecho",10,"Tercio superior","No","Si, afectan negativamente","Regular","Si, afectan positivamente.",10,5.5,7.38
"9",22,"Femenino","Ingeniería Civil","4","Sí",1,"Académicas","Matemáticas",2,"Muy satisfecho",98,"Ninguno","Sí","No afectan.","Alto","No afectan.",10,8,7.63
"10",19,"Femenino","Ingeniería Civil","4","Sí",1,"Académicas","Danza, Fútbol",2,"Muy satisfecho",72,"Tercio superior","No","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",10,6.75,6.65
"11",19,"Masculino","Ciencia de la Computación","5","No",0,"Ninguna","Ninguna",0,"Medianamente satisfecho",50,"Quinto superior","Sí","No afectan.","Regular","Si, afectan positivamente.",10,5,7
"12",19,"Masculino","Ingeniería Civil","4","Sí",1,"Artística","Música",2,"Poco satisfecho",50,"Ninguno","Sí","No afectan.","Bajo","Si, afectan positivamente.",0,4.25,4.5
"13",19,"Masculino","Bioingeniería","5","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",40,"Medio superior","Sí","Si, afectan positivamente","Medianamente Alto","Si, afectan positivamente.",20,6.75,5.63
"14",18,"Masculino","Ingeniería Industrial","2","No",0,"Ninguna","Ninguna",0,"Nada satisfecho",36,"Quinto superior","No","No afectan.","Medianamente Alto","No afectan.",0,8.5,8.75
"15",19,"Femenino","Bioingeniería","5","Sí",2,"Deportiva, Voluntariado","Danza, Teatro",8,"Muy satisfecho",20,"Ninguno","Sí","No afectan.","Regular","Si, afectan positivamente.",20,7.75,7.38
