item,Activity,Project element,start,end
1 ,Brainstorming de ideas,Grupo,2022.8.19,2022.8.22
2 ,Recolectar datos de interes,Marco,2022.8.22,2022.8.24
3 ,Redaccion y presentacion de la p0,Grupo,2022.8.28,2022.8.30
4 ,Definicion e investigacion del tema,Grupo,2022.9.2,2022.9.5
5 ,Busqueda de base de datos,Diana,2022.9.13,2022.9.14
6 ,Redaccion de introduccion,Gonzalo,2022.9.14,2022.9.15
7 ,Redaccion de planificacion,Gonzalo,2022.9.15,2022.9.16
8 ,Redaccion de datos,Marco,2022.9.16,2022.9.17
9 ,Limipieza de datos,Marco,2022.9.17,2022.9.18
10 ,Redaccion del informe,Grupo,2022.9.18,2022.9.20
11 ,Transcripcion a RMD,Marco,2022.9.20,2022.9.22
12 ,Avance de analisis descriptivo,Grupo,2022.9.22,2022.9.25
13 ,Correccion de informe,Jose,2022.9.25,2022.9.27
14 ,Correccion de codigo,Grupo,2022.9.27,2022.9.28
15 ,Presentacion PG1,Diana,2022.9.28,2022.9.30
16 ,Analisis probabilistico,Grupo,2022.10.1,2022.11.11
17 ,Redaccion de informe,Grupo,2022.11.11,2022.11.20
18 ,Presentacion PG1D,Diana,2022.11.25,2022.11.26
19 ,Presentacion PG1G,Gonzalo,2022.11.25,2022.11.26
