Copa,Año_C,Partido,N_Lanzamiento,Nombre_A,Apellido_A,Estatura_A,Edad_A,Peso_A,P.Equipo_T,Resultado_P
Mundial,2014,Brasil_Chile,1,Claudio Andrés,Bravo Muñoz,185,31,82,Chile,Gol
Mundial,2014,Brasil_Chile,2,Júlio César,Soares de Espíndola,186,35,93,Brasil,Tapado
Mundial,2014,Brasil_Chile,3,Claudio Andrés,Bravo Muñoz,185,31,82,Chile,Fuera
Mundial,2014,Brasil_Chile,4,Júlio César,Soares de Espíndola,186,35,93,Brasil,Tapado
Mundial,2014,Brasil_Chile,5,Claudio Andrés,Bravo Muñoz,185,31,82,Chile,Gol
Mundial,2014,Brasil_Chile,6,Júlio César,Soares de Espíndola,186,35,93,Brasil,Gol
Mundial,2014,Brasil_Chile,7,Claudio Andrés,Bravo Muñoz,185,31,82,Chile,Tapado
Mundial,2014,Brasil_Chile,8,Júlio César,Soares de Espíndola,186,35,93,Brasil,Gol
Mundial,2014,Brasil_Chile,9,Claudio Andrés,Bravo Muñoz,185,31,82,Chile,Gol
Mundial,2014,Brasil_Chile,10,Júlio César,Soares de Espíndola,186,35,93,Brasil,Tapado
Mundial,2014,Holanda_Argentina,1,Sergio German,Romero,192,27,88,Argentina,Tapado
Mundial,2014,Holanda_Argentina,2,Jacobus Antonius Peter,Cillessen,185,25,75,Holanda,Gol
Mundial,2014,Holanda_Argentina,3,Sergio German,Romero,192,27,88,Argentina,Gol
Mundial,2014,Holanda_Argentina,4,Jacobus Antonius Peter,Cillessen,185,25,75,Holanda,Gol
Mundial,2014,Holanda_Argentina,5,Sergio German,Romero,192,27,88,Argentina,Tapado
Mundial,2014,Holanda_Argentina,6,Jacobus Antonius Peter,Cillessen,185,25,75,Holanda,Gol
Mundial,2014,Holanda_Argentina,7,Sergio German,Romero,192,27,88,Argentina,Gol
Mundial,2014,Holanda_Argentina,8,Jacobus Antonius Peter,Cillessen,185,25,75,Holanda,Gol
Mundial,2014,CostaRica_Grecia,1,Orestis,Karnezis,190,29,79,Grecia,Gol
Mundial,2014,CostaRica_Grecia,2,Keilor Antonio,Navas Gamboa,185,27,79,CostaRica,Gol
Mundial,2014,CostaRica_Grecia,3,Orestis,Karnezis,190,29,79,Grecia,Gol
Mundial,2014,CostaRica_Grecia,4,Keilor Antonio,Navas Gamboa,185,27,79,CostaRica,Gol
Mundial,2014,CostaRica_Grecia,5,Orestis,Karnezis,190,29,79,Grecia,Gol
Mundial,2014,CostaRica_Grecia,6,Keilor Antonio,Navas Gamboa,185,27,79,CostaRica,Gol
Mundial,2014,CostaRica_Grecia,7,Orestis,Karnezis,190,29,79,Grecia,Gol
Mundial,2014,CostaRica_Grecia,8,Keilor Antonio,Navas Gamboa,185,27,79,CostaRica,Tapado
Mundial,2014,CostaRica_Grecia,9,Orestis,Karnezis,190,29,79,Grecia,Gol
Mundial,2014,Holanda_CostaRica,1,Jacobus Antonius Peter,Cillessen,185,25,75,Holanda,Gol
Mundial,2014,Holanda_CostaRica,2,Keilor Antonio,Navas Gamboa,185,27,79,CostaRica,Gol
Mundial,2014,Holanda_CostaRica,3,Jacobus Antonius Peter,Cillessen,185,25,75,Holanda,Tapado
Mundial,2014,Holanda_CostaRica,4,Keilor Antonio,Navas Gamboa,185,27,79,CostaRica,Gol
Mundial,2014,Holanda_CostaRica,5,Jacobus Antonius Peter,Cillessen,185,25,75,Holanda,Gol
Mundial,2014,Holanda_CostaRica,6,Keilor Antonio,Navas Gamboa,185,27,79,CostaRica,Gol
Mundial,2014,Holanda_CostaRica,7,Jacobus Antonius Peter,Cillessen,185,25,75,Holanda,Gol
Mundial,2014,Holanda_CostaRica,8,Keilor Antonio,Navas Gamboa,185,27,79,CostaRica,Gol
Mundial,2014,Holanda_CostaRica,9,Jacobus Antonius Peter,Cillessen,185,25,75,Holanda,Tapado
Copa_America,2015,Argentina_Colombia,1,Sergio German,Romero,192,28,88,Argentina,Gol
Copa_America,2015,Argentina_Colombia,2,David,Ospina Ramirez,185,27,80,Colombia,Gol
Copa_America,2015,Argentina_Colombia,3,Sergio German,Romero,192,28,88,Argentina,Gol
Copa_America,2015,Argentina_Colombia,4,David,Ospina Ramirez,185,27,80,Colombia,Gol
Copa_America,2015,Argentina_Colombia,5,Sergio German,Romero,192,28,88,Argentina,Gol
Copa_America,2015,Argentina_Colombia,6,David,Ospina Ramirez,185,27,80,Colombia,Gol
Copa_America,2015,Argentina_Colombia,7,Sergio German,Romero,192,28,88,Argentina,Fuera
Copa_America,2015,Argentina_Colombia,8,David,Ospina Ramirez,185,27,80,Colombia,Gol
Copa_America,2015,Argentina_Colombia,9,Sergio German,Romero,192,28,88,Argentina,Gol
Copa_America,2015,Argentina_Colombia,10,David,Ospina Ramirez,185,27,80,Colombia,Fuera
Copa_America,2015,Argentina_Colombia,11,Sergio German,Romero,192,28,88,Argentina,Tapado
Copa_America,2015,Argentina_Colombia,12,David,Ospina Ramirez,185,27,80,Colombia,Fuera
Copa_America,2015,Argentina_Colombia,13,Sergio German,Romero,192,28,88,Argentina,Fuera
Copa_America,2015,Argentina_Colombia,14,David,Ospina Ramirez,185,27,80,Colombia,Gol
Euro_Copa,2016,Italia_Alemania,1,Manuel,Never,193,30,93,Alemania,Gol
Euro_Copa,2016,Italia_Alemania,2,Gianluigi,Buffon,192,38,91,Italia,Gol
Euro_Copa,2016,Italia_Alemania,3,Manuel,Never,193,30,93,Alemania,Fuera
Euro_Copa,2016,Italia_Alemania,4,Gianluigi,Buffon,192,38,91,Italia,Tapado
Euro_Copa,2016,Italia_Alemania,5,Manuel,Never,193,30,93,Alemania,Gol
Euro_Copa,2016,Italia_Alemania,6,Gianluigi,Buffon,192,38,91,Italia,Palo
Euro_Copa,2016,Italia_Alemania,7,Manuel,Never,193,30,93,Alemania,Fuera
Euro_Copa,2016,Italia_Alemania,8,Gianluigi,Buffon,192,38,91,Italia,Gol
Euro_Copa,2016,Italia_Alemania,9,Manuel,Never,193,30,93,Alemania,Tapado
Euro_Copa,2016,Italia_Alemania,10,Gianluigi,Buffon,192,38,91,Italia,Fuera
Euro_Copa,2016,Italia_Alemania,11,Manuel,Never,193,30,93,Alemania,Gol
Euro_Copa,2016,Italia_Alemania,12,Gianluigi,Buffon,192,38,91,Italia,Gol
Euro_Copa,2016,Italia_Alemania,13,Manuel,Never,193,30,93,Alemania,Gol
Euro_Copa,2016,Italia_Alemania,14,Gianluigi,Buffon,192,38,91,Italia,Gol
Euro_Copa,2016,Italia_Alemania,15,Manuel,Never,193,30,93,Alemania,Gol
Euro_Copa,2016,Italia_Alemania,16,Gianluigi,Buffon,192,38,91,Italia,Gol
Euro_Copa,2016,Italia_Alemania,17,Manuel,Never,193,30,93,Alemania,Tapado
Euro_Copa,2016,Italia_Alemania,18,Gianluigi,Buffon,192,38,91,Italia,Gol
Copa_America,2016,Colombia_Peru,1,Pedro David ,Gallese Quiroz,190,26,79,Peru,Gol
Copa_America,2016,Colombia_Peru,2,David,Ospina Ramirez,185,28,80,Colombia,Gol
Copa_America,2016,Colombia_Peru,3,Pedro David ,Gallese Quiroz,190,26,79,Peru,Gol
Copa_America,2016,Colombia_Peru,4,David,Ospina Ramirez,185,28,80,Colombia,Gol
Copa_America,2016,Colombia_Peru,5,Pedro David ,Gallese Quiroz,190,26,79,Peru,Gol
Copa_America,2016,Colombia_Peru,6,David,Ospina Ramirez,185,28,80,Colombia,Tapado
Copa_America,2016,Colombia_Peru,7,Pedro David ,Gallese Quiroz,190,26,79,Peru,Gol
Copa_America,2016,Colombia_Peru,8,David,Ospina Ramirez,185,28,80,Colombia,Fuera
Copa_America,2016,Chile_Argentina,1,Sergio German,Romero,192,29,88,Argentina,Tapado
Copa_America,2016,Chile_Argentina,2,Claudio Andrés,Bravo Muñoz,184,33,82,Chile,Fuera
Copa_America,2016,Chile_Argentina,3,Sergio German,Romero,192,29,88,Argentina,Gol
Copa_America,2016,Chile_Argentina,4,Sergio German,Romero,192,29,88,Chile,Gol
Copa_America,2016,Chile_Argentina,5,Claudio Andrés,Bravo Muñoz,184,33,82,Argentina,Gol
Copa_America,2016,Chile_Argentina,6,Sergio German,Romero,192,29,88,Chile,Gol
Copa_America,2016,Chile_Argentina,7,Sergio German,Romero,192,29,88,Argentina,Gol
Copa_America,2016,Chile_Argentina,8,Claudio Andrés,Bravo Muñoz,184,33,82,Chile,Tapado
Copa_America,2016,Chile_Argentina,9,Sergio German,Romero,192,29,88,Argentina,Gol
Mundial,2018,España_Rusia,1,Ígor Vladímirovich,Akinféyev,186,32,82,Rusia,Gol
Mundial,2018,España_Rusia,2,David ,de Gea Quintana,192,27,82,España,Gol
Mundial,2018,España_Rusia,3,Ígor Vladímirovich,Akinféyev,186,32,82,Rusia,Gol
Mundial,2018,España_Rusia,4,David ,de Gea Quintana,192,27,82,España,Gol
Mundial,2018,España_Rusia,5,Ígor Vladímirovich,Akinféyev,186,32,82,Rusia,Tapado
Mundial,2018,España_Rusia,6,David ,de Gea Quintana,192,27,82,España,Gol
Mundial,2018,España_Rusia,7,Ígor Vladímirovich,Akinféyev,186,32,82,Rusia,Gol
Mundial,2018,España_Rusia,8,David ,de Gea Quintana,192,27,82,España,Gol
Mundial,2018,España_Rusia,9,Ígor Vladímirovich,Akinféyev,186,32,82,Rusia,Tapado
Mundial,2018,Colombia_Inglaterra,1,Jordan Lee ,Pickford ,185,24,77,Inglaterra,Gol
Mundial,2018,Colombia_Inglaterra,2,David,Ospina Ramirez,185,30,80,Colombia,Gol
Mundial,2018,Colombia_Inglaterra,3,Jordan Lee ,Pickford ,185,24,77,Inglaterra,Gol
Mundial,2018,Colombia_Inglaterra,4,David,Ospina Ramirez,185,30,80,Colombia,Gol
Mundial,2018,Colombia_Inglaterra,5,Jordan Lee ,Pickford ,185,24,77,Inglaterra,Gol
Mundial,2018,Colombia_Inglaterra,6,David,Ospina Ramirez,185,30,80,Colombia,Tapado
Mundial,2018,Colombia_Inglaterra,7,Jordan Lee ,Pickford ,185,24,77,Inglaterra,Fuera
Mundial,2018,Colombia_Inglaterra,8,David,Ospina Ramirez,185,30,80,Colombia,Gol
Mundial,2018,Colombia_Inglaterra,9,Jordan Lee ,Pickford ,185,24,77,Inglaterra,Tapado
Mundial,2018,Colombia_Inglaterra,10,David,Ospina Ramirez,185,30,80,Colombia,Gol
Mundial,2018,Rusia_Croacia,1,Danijel,Subašić,191,33,84,Croacia,Tapado
Mundial,2018,Rusia_Croacia,2,Ígor Vladímirovich,Akinféyev,186,32,82,Rusia,Gol
Mundial,2018,Rusia_Croacia,3,Danijel,Subašić,191,33,84,Croacia,Gol
Mundial,2018,Rusia_Croacia,4,Ígor Vladímirovich,Akinféyev,186,32,82,Rusia,Tapado
Mundial,2018,Rusia_Croacia,5,Danijel,Subašić,191,33,84,Croacia,Tapado
Mundial,2018,Rusia_Croacia,6,Ígor Vladímirovich,Akinféyev,186,32,82,Rusia,Gol
Mundial,2018,Rusia_Croacia,7,Danijel,Subašić,191,33,84,Croacia,Gol
Mundial,2018,Rusia_Croacia,8,Ígor Vladímirovich,Akinféyev,186,32,82,Rusia,Gol
Mundial,2018,Rusia_Croacia,9,Danijel,Subašić,191,33,84,Croacia,Gol
Mundial,2018,Rusia_Croacia,10,Ígor Vladímirovich,Akinféyev,186,32,82,Rusia,Gol
Copa_America,2019,Paraguay_Brasil,1,Alisson Ramses ,Becker,191,27,88,Brasil,Tapado
Copa_America,2019,Paraguay_Brasil,2,Roberto Júnior,Fernández,191,31,86,Paraguay,Gol
Copa_America,2019,Paraguay_Brasil,3,Alisson Ramses ,Becker,191,27,88,Brasil,Gol
Copa_America,2019,Paraguay_Brasil,4,Roberto Júnior,Fernández,191,31,86,Paraguay,Gol
Copa_America,2019,Paraguay_Brasil,5,Alisson Ramses ,Becker,191,27,88,Brasil,Gol
Copa_America,2019,Paraguay_Brasil,6,Roberto Júnior,Fernández,191,31,86,Paraguay,Gol
Copa_America,2019,Paraguay_Brasil,7,Alisson Ramses ,Becker,191,27,88,Brasil,Gol
Copa_America,2019,Paraguay_Brasil,8,Roberto Júnior,Fernández,191,31,86,Paraguay,Fuera
Copa_America,2019,Paraguay_Brasil,9,Alisson Ramses ,Becker,191,27,88,Brasil,Fuera
Copa_America,2019,Paraguay_Brasil,10,Roberto Júnior,Fernández,191,31,86,Paraguay,Gol
Copa_America,2019,Uruguay_Peru,1,Pedro David ,Gallese Quiroz,190,29,79,Peru,Tapado
Copa_America,2019,Uruguay_Peru,2,Néstor Fernando,Muslera Micol,190,33,74,Uruguay,Gol
Copa_America,2019,Uruguay_Peru,3,Pedro David ,Gallese Quiroz,190,29,79,Peru,Gol
Copa_America,2019,Uruguay_Peru,4,Néstor Fernando,Muslera Micol,190,33,74,Uruguay,Gol
Copa_America,2019,Uruguay_Peru,5,Pedro David ,Gallese Quiroz,190,29,79,Peru,Gol
Copa_America,2019,Uruguay_Peru,6,Néstor Fernando,Muslera Micol,190,33,74,Uruguay,Gol
Copa_America,2019,Uruguay_Peru,7,Pedro David ,Gallese Quiroz,190,29,79,Peru,Gol
Copa_America,2019,Uruguay_Peru,8,Néstor Fernando,Muslera Micol,190,33,74,Uruguay,Gol
Copa_America,2019,Uruguay_Peru,9,Pedro David ,Gallese Quiroz,190,29,79,Peru,Gol
Copa_America,2019,Uruguay_Peru,10,Néstor Fernando,Muslera Micol,190,33,74,Uruguay,Gol
Euro_Copa,2020,Francia_Suiza,1,Hugo Hadrien,Dominique Lloris,188,33,80,Francia,Gol
Euro_Copa,2020,Francia_Suiza,2,Yann,Sommer,183,31,78,Suiza,Gol
Euro_Copa,2020,Francia_Suiza,3,Hugo Hadrien,Dominique Lloris,188,33,80,Francia,Gol
Euro_Copa,2020,Francia_Suiza,4,Yann,Sommer,183,31,78,Suiza,Gol
Euro_Copa,2020,Francia_Suiza,5,Hugo Hadrien,Dominique Lloris,188,33,80,Francia,Gol
Euro_Copa,2020,Francia_Suiza,6,Yann,Sommer,183,31,78,Suiza,Gol
Euro_Copa,2020,Francia_Suiza,7,Hugo Hadrien,Dominique Lloris,188,33,80,Francia,Gol
Euro_Copa,2020,Francia_Suiza,8,Yann,Sommer,183,31,78,Suiza,Gol
Euro_Copa,2020,Francia_Suiza,9,Hugo Hadrien,Dominique Lloris,188,33,80,Francia,Gol
Euro_Copa,2020,Francia_Suiza,10,Yann,Sommer,183,31,78,Suiza,Tapado
Copa_America,2021,Paraguay_Peru,1,Pedro David ,Gallese Quiroz,190,31,79,Peru,Gol
Copa_America,2021,Paraguay_Peru,2,Antony Domingo,Silva Cano,195,37,92,Paraguay,Gol
Copa_America,2021,Paraguay_Peru,3,Pedro David ,Gallese Quiroz,190,31,79,Peru,Gol
Copa_America,2021,Paraguay_Peru,4,Antony Domingo,Silva Cano,195,37,92,Paraguay,Gol
Copa_America,2021,Paraguay_Peru,5,Pedro David ,Gallese Quiroz,190,31,79,Peru,Fuera
