"Genero","Edad","Carrera","Ciclo_actual","Promedio_primer_ciclo","Creditos_ciclo_pasado","Promedio_ciclo_pasado","Numero_de_cursos","Rendimiento_academico","Considera_predominancia_masculino","Considera_predominancia_femenino","Factores_eleccion_de_carrera","considero_cambiar_de_carrera","carrera_considero_cambiarse","considero_retirarse_universdad","razones_considero_retirarse_universdad"
"Femenino",21,"9. Bioingeniería",4,16,21,14,6,"3. Regular","4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",20,"2. Ingeniería Industrial",4,14.8,21,14.7,6,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería","1. Entorno Familiar, 2. Amigos","2. No","No lo he considerado","3. Tal vez","1. Problemas Financieros, 6. Falta de interacción de calidad con profesores y orientadores"
"Femenino",22,"2. Ingeniería Industrial",2,15.6,20,15.6,7,"3. Regular","2. Ingenieria Industrial, 3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 8. Ingenieria Química","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","4. Vocación","3. Tal vez","Ciencia de la computación","2. No","7. No lo he considerado"
"Femenino",18,"2. Ingeniería Industrial",2,15,20,15,6,"3. Regular","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 10. Administración y Negocios Digitales","5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Masculino",20,"4. Ingenieria Mecatrónica",7,15.7,24,12.3,4,"3. Regular","5. Ingenieria Mecánica, 6. Ingenieria Electrónica","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social, 4. Vocación","2. No","No lo he considerado","3. Tal vez","5. Cuando reprueban las asignaturas constantemente"
"Masculino",20,"2. Ingeniería Industrial",2,15,20,15,6,"3. Regular","3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 7. Ingenieria Civil, 11. Ciencia de Datos","2. Ingenieria Industrial, 8. Ingenieria Química, 10. Administración y Negocios Digitales","5. Otros","1. Sí","Ingenieria Civil","2. No","7. No lo he considerado"
"Masculino",18,"4. Ingenieria Mecatrónica",3,15,23,15,6,"2. Bueno","4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 10. Administración y Negocios Digitales","4. Vocación, 5. Otros","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",19,"2. Ingeniería Industrial",4,15.75,21,13,6,"3. Regular","3. Ingenieria de la Energía","8. Ingenieria Química","5. Otros","1. Sí","Bioingeniería","2. No","7. No lo he considerado"
"Masculino",19,"4. Ingenieria Mecatrónica",2,13.9,21,13.9,6,"2. Bueno","4. Ingenieria Mecatrónica","2. Ingenieria Industrial","3. Entorno Social, 4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
"Femenino",20,"7. Ingenieria Civil",4,14.1,21,15.56,5,"3. Regular","7. Ingenieria Civil","2. Ingenieria Industrial","4. Vocación","2. No","No lo he considerado","2. No","7. No lo he considerado"
