,Marca temporal,Sexo,Edad,Ciclo académico que se encuentra cursando,Carrera,¿Cómo sueles sentirte en verano?,¿Cómo sueles sentirte en otoño?,¿Cómo sueles sentirte en invierno?,¿Cómo sueles sentirte en primavera?,Preferencia climática,¿Consideras que el clima afecta tu rendimiento académico?,¿Prefieres estudiar en un ambiente más cálido o más frío?,¿Cuál fue tu promedio ponderado del ciclo regular 2022-1? Colocar respuesta en decimales. Usa punto decimal(.),¿Cuál fue tu promedio ponderado del ciclo regular 2022-2? Colocar respuesta en decimales. Usa punto decimal(.),"¿Has considerado cambiar tu rutina de estudio en función de las condiciones climáticas?
",¿Realizas alguna actividad específica para adaptarte al clima y poder estudiar con mayor comodidad?,¿Estudiaste en la Universidad durante verano?,¿Cuál fue tu promedio ponderado en el ciclo verano? Colocar respuesta en decimales. Usa punto decimal(.),¿Cuántas horas sueles estudiar en un día soleado?,¿Cuántas horas sueles estudiar en un día lluvioso?,¿Cuántas horas sueles estudiar en un día templado?,¿Cuántas horas sueles estudiar en un día frío?,¿Cómo sueles estar de humor en un día lluvioso?,¿Cómo sueles estar de humor en un día frío?,¿Cómo sueles estar de humor en un día templado?,¿Cómo sueles estar de humor en un día soleado?,¿Qué actividad deportiva realizas mas en temporadas primaveral-soleado?,¿Qué actividad deportiva realizas más en temporadas templados-frios ?,¿Que actividad recreativa realizas mas en temporadas primaveral-soleado?,¿Que actividad recreativa realizas mas en temporadas templados-frio?,¿Crees que la universidad debería tomarle importancia al impacto del climatico en el bienestar académico y emocional de sus estudiantes?
,5/1/23 1:51,M( Masculino),22,7,Ciencia de la computación,Enfadado,Calmado,Alegre,Calmado,Frio,Si,Frio,"15,3","14,6",Sí,No,no,,2,3,3,4,5,5,4,1,Natación,Natación,Otros,Otros,Sí
,5/1/23 18:22,M( Masculino),17,3,Ciencia de Datos,Alegre,Calmado,Triste,Alegre,Tropical,Si,Calido,"16,3","17,45",Sí,No,no,,3,2,4,2,3,2,4,3,Natación,Artes marciales,Bingo,Monopoly,Sí
,5/1/23 18:42,F(Femenino),18,3,Ciencia de Datos,Calmado,Calmado,Calmado,Calmado,Frio,Si,Frio,"15,6","14,6",Sí,Sí,no,,3,3,3,3,5,5,4,4,No hago deporte,No hago deporte,Otros,Otros,Sí
,5/2/23 8:21,F(Femenino),18,2,Ciencia de Datos,Enfadado,Calmado,Alegre,Alegre,Frio,Si,Calido,"16,65","16,85",Sí,Sí,no,,2,Más de 5,4,Más de 5,5,5,4,1,Tenis,Artes marciales,Otros,Otros,Sí
,5/2/23 8:25,F(Femenino),17,3,Ciencia de la computación,Alegre,Calmado,Calmado,Alegre,Tropical,Si,Calido,"15,5","16,5",No,No,si,17,2,2,3,3,5,4,5,5,No hago deporte,No hago deporte,Juegos de cartas,Monopoly,Sí
,5/2/23 13:01,M( Masculino),18,3,Ciencia de Datos,Calmado,Calmado,Alegre,Alegre,Templado,No,Calido,"12,42","13,23",No,No,si,"14,25",1,1,2,2,4,3,4,2,Fútbol,Otros,Otros,Otros,Sí
,5/2/23 13:03,M( Masculino),18,3,Ciencia de la computación,Enfadado,Enfadado,Enfadado,Enfadado,Tropical,No,Frio,"12,81","10,71",No,No,si,13,1,2,1,3,2,3,2,4,Fútbol,Natación,Ajedrez,Ajedrez,No
,5/2/23 13:05,M( Masculino),20,5,Ingeniería civil,Alegre,Calmado,Calmado,Triste,Templado,Si,Calido,"12,5","12,5",Sí,Sí,si,"13,4",Más de 5,Más de 5,4,4,4,5,5,2,No hago deporte,No hago deporte,Ajedrez,Ajedrez,Sí
,5/2/23 13:07,M( Masculino),21,9,Ciencia de la computación,Enfadado,Calmado,Alegre,Alegre,Templado,Si,Frio,"14,89","14,94",Sí,No,no,,3,4,5,5,4,5,4,3,Otros,Otros,Otros,Otros,Sí
,5/2/23 13:10,M( Masculino),20,5,Ciencia de la computación,Alegre,Calmado,Calmado,Calmado,Templado,Si,Frio,"12,89","13,64",Sí,Sí,no,,1,0,2,3,3,3,3,1,Otros,Otros,No realizo actividad recreativa,No realizo actividad recreativa,Sí
,5/2/23 13:11,M( Masculino),22,6,Ciencia de la computación,Alegre,Calmado,Calmado,Alegre,Templado,No,Frio,"11,4","12,6",No,No,no,,4,Más de 5,4,Más de 5,5,5,5,5,Otros,Otros,Juegos de cartas,Ajedrez,Sí
