Nombre del proyecto,Universidad,Área de aplicación,Número de carreras involucradas,Año de inicio,En desarrollo o culminado,Financiado por CONCYTEC/FONDYTEC,Cantidad financiada por parte de CONCYTEC/FONDYTEC,Financiado por privados,Cantidad de financiacion por privados,Financiado por universidad,Cantidad financiada por universidad,Autofinanciamiento,Total financiado,Objetivo cumplido,1-4 qué tanto se cumplieron los objetivos,AREA DE APLICACION 1,AREA DE APLICACION 2,AREA DE APLICACION 3,AREA DE APLICACION 4,AREA DE APLICACION 5,CANTIDAD DE AREAS RELACIONADAS
Innovación social con conectividad y salud: telefonía celular 3G y atención materno-infantil en comunidades del Amazonas,PUCP,Ingeniería,6,2016,Culminado,NO,0,SI,561711,NO,0,NO,561711,SI,4,MEDICINA,TELECOMUNICACIONES,ING COMERCIAL,EDUCACION,DESARROLLO RURAL,5
Potencial proapoptótico In Vitro del Fucoidan de Lessonia trabeculata VITALG® sobre células de Adenocarcinoma Mamario 4T1,UNMSM,Ciencias,1,2018,Culminado,NO,399742,NO,0,NO,0,NO,399742,SI,4,MICROBIOLOGIA,,,,,2
Eficiencia energética en el sistema de expansión directa y el sistema VRV de aire acondicionado en una oficina,UNMSM,Ingeniería,6,2019,Culminado,NO,0,NO,0,SI,287493,NO,287493,SI,4,BIOINGENIERIA,ECOLOGIA,MECANICA,ELECTRICA,,4
Valorization of residual biomass for advanced 3D materials,PUCP,Ingeniería,2,2016,Culminado,SI,222937.5,NO,0,NO,0,NO,222937.5,SI,4,BIOECONOMIA,BIORREFINERIA,,,,2
Study the molecular mechanism of T. cruzi virulence factor,PUCP,Ciencias,2,2017,Culminado,NO,0,SI,169830.55,NO,0,NO,169830.55,SI,4,MEDICINA,QUIMICA,,,,2
Resonancia magnética nuclear en las ciencias de los alimentos y en las ciencias de la salud,PUCP,Ciencias,3,2017,Culminado,SI,1006200,NO,0,NO,0,NO,1006200,SI,4,AGRONOMIA,QUIMICA,MEDICINA,,,3
Diseño y simulación de una red definida por software para la implementación de un laboratorio avanzado de datos para la EP de Telecomunicaciones de la Facultad de Ingeniería Electrónica y Eléctrica de la Universidad Nacional Mayor de San Marcos,UNMSM,Ingeniería,2,2017,Culminado,NO,0,SI,564876,NO,0,NO,564876,SI,4,ING. ELECTRONICA,ING. ELECTRICA,ING. TELECOMUNICACIONES,,,3
Optimización de la fragmentación en las rocas con la aplicación de la doble iniciación electrónica en la explotación de cobre porfirítico a cielo abierto,UNMSM,Ingeniería,1,2014,Culminado,SI,645120,NO,0,NO,0,NO,645120,SI,4,ING. DE MINAS,,,,,2
Caracterizando al COVID-19: Herramienta de análisis de datos de pacientes del COVID-19 en el Perú,PUCP,Ingeniería,1,2020,Culminado,SI,150000,NO,0,NO,0,NO,150000,SI,4,MATEMATICAS,,,,,3
Ventilador mecánico para adultos con funcionalidades para atender pacientes con COVID-19,PUCP,Ingeniería,2,2020,En desarrollo,SI,200000,NO,0,NO,0,NO,200000,,,ROBOTICA,BIOMECANICA,,,,2
