Pregunta,Variable,Tipo de Variable,Restricciones
Contabas con una mascota en casa,AP_ESTADO,Nominal,Si o No (Tipo Booleano)
¿Cuántas mascotas tenías antes de la pandemia?,AP_NUM,Discreta,Entero no negativo
¿Qué tipo(s) de mascota(s)?,AP_TIP_MASQ,Nominal,"Perro, gato, hamster, cuyes, canario, loro, rana, iguana, araña/ tarántula"
¿En qué sector gastaba más dinero?,AP_SEC_COST,Nominal,"Alimentación, Veterinario, Juguetes y accesorios, Limpieza o medicina"
¿Mensualmente cuánto gastaba aproximadamente en la alimentación de su mascota?,AP_COST_ALI,Continua,Número no negativo
¿Mensualmente cuánto gastaba aproximadamente en las visitas al veterinario de su mascota?,AP_COST_VET,Continua,Número no negativo
¿Anualmente cuánto gastaba aproximadamente en los juguetes y accesorios de su mascota?,AP_COST_JYA,Continua,Número no negativo
¿Mensualmente cuánto gastaba aproximadamente en la limpieza de su mascota?,AP_COST_LIM,Continua,Número no negativo
Si antes de la pandemia su mascota necesitaba medicamentos ¿Mensualmente cuánto gastaba aproximadamente en estas medicinas?,AP_COST_MED,Continua,Número no negativo
¿Qué marca usa más para la alimentación de su mascota?,AP_MARCA_ALI,Nominal,Empresas formales dedicadas a las mascotas
¿Qué marca usa más para los juguetes de su mascota?,AP_MARCA_J,Nominal,Empresas formales dedicadas a las mascotas
¿Qué marca usa más para la limpieza de su mascota?,AP_MARCA_LIM,Nominal,Empresas formales dedicadas a las mascotas
Si su mascota tomaba medicinas antes de la pandemia ¿Qué marca usa más para estas?,AP_MARCA_MED,Nominal,Empresas formales dedicadas a las mascotas
¿Cuántas horas al día aproximadamente pasaba con su mascota antes de la pandemia?,AP_HORAS_MASQ,Continua,Número no negativo no mayor de 24
Si antes de la pandemia no pudo o tuvo dificultades para conseguir algún producto o servicio para su mascota márquelos,AP_DIF_PRYSRV,Nominal,"No tengo dificultades, Alimentación, Veterinario, Juguetes y accesorios, Limpieza o medicina"
Marque los motivos por los que no pudo o fue difícil conseguir el producto o servicio,AP_MOT_DIF,Nominal,"No tengo problemas para conseguir productos/servicios, Precios elevados, Pocos productos/ servicios, Tipo de mascota poco común, No venden/brindan el producto/servicio en mi país, Mala calidad"
