Pregunta,Variable,Tipo de Variable,Restricciones
Durante la pandemia adoptaste o compraste una mascota,DP_ADOP_COM,Nominal,"Adopte, Compre, Ninguna de las anteriores"
¿Cuántas mascotas adoptaste/compraste?,DP_CANT_MASQ,Discreta,Entero no negativo
¿Tienes mascotas ahora?,DP_NUM_MASQ,Nominal,"Si, No"
¿Cuántas mascotas tienes ahora?,DP_MASQ_AHORA,Discreta,Entero no negativo
¿Qué tipo(s) de mascota(s)?,DP_TIP_MASQ,Nominal,"Perro, gato, hamster, cuyes, canario, loro, rana, iguana, araña/ tarantula"
¿En qué sector gastas más dinero?,DP_SEC_COST,Nominal,"Alimentación, Veterinario, Juguetes y accesorios, Limpieza o medicina"
¿Mensualmente cuánto gasta aproximadamente en la alimentación de su mascota?,DP_COST_ALI,Continua,Número no negativo
¿Mensualmente cuánto gasta aproximadamente en las visitas al veterinario de su mascota?,DP_COST_VET,Continua,Número no negativo
¿Anualmente cuánto gasta aproximadamente en los juguetes y accesorios de su mascota?,DP_COST_JYA,Continua,Número no negativo
¿Mensualmente cuánto gasta aproximadamente en la limpieza de su mascota?,DP_COST_LIM,Continua,Número no negativo
Si antes de la pandemia su mascota necesitaba medicamentos ¿Mensualmente cuánto gasta aproximadamente en estas medicinas?,DP_COST_MED,Continua,Número no negativo
¿Qué marca usa más para la alimentación de su mascota?,DP_MARCA_ALI,Nominal,Empresas formales dedicadas a las mascotas
¿Qué marca usa más para los juguetes de su mascota?,DP_MARCA_J,Nominal,Empresas formales dedicadas a las mascotas
¿Qué marca usa más para la limpieza de su mascota?,DP_MARCA_LIM,Nominal,Empresas formales dedicadas a las mascotas
Si su mascota tomaba medicinas antes de la pandemia ¿Qué marca usa más para estas?,DP_MARCA_MED,Nominal,Empresas formales dedicadas a las mascotas
¿Cuántas horas al día pasa con su mascota?,DP_HORAS_MASQ,Continua,Número no negativo no mayor de 24
Si no puede o tiene dificultades para conseguir algún producto o servicio para su mascota márquelos,DP_DIF_PRYSRV,Nominal,"No tengo dificultades, Alimentación, Veterinario, Juguetes y accesorios, Limpieza o medicina"
Marque los motivos por los que no pudo o fue difícil conseguir el producto o servicio,DP_MOT_DIF,Nominal,"No tengo problemas para conseguir productos/servicios, Precios elevados, Pocos productos/ servicios, Tipo de mascota poco común, No venden/brindan el producto/servicio en mi país, Mala calidad"
