pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p20411,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_mjj22
2022,05,017287,005,0135,11,01,8,1,21051101,1,1,2, ,1,44,6,5, ,1,1,15,5,2022,21,5,2022,1,10,1977,1, , , , , , , , , , , , , , ,985,7830,4,4,1,10,5,5,2021,0,8,8,8,8,8,8,48,1, ,1,1,4,930,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,930,0, , , , ,930,930,1,334.364038315942
2022,05,017287,005,0135,11,02,8,1,21051102,2,1,2, ,2,42,5,2, ,2,2,15,5,2022,21,5,2022,24,12,1979,1, , , , , , , , , , , , , , ,942,8890,4,2,2, ,15,5,2021,0,5,5,5,5,5,0,25,1, ,1,2,1,0,8, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,1,1,0,200, , , , ,200,200,1,322.152369366096
2022,05,017287,005,0135,11,03,8,1,21051103,3,1,2, ,2,19,7,2, ,3,3,15,5,2022,21,5,2022,19,7,2002,1, , , , , , , , , , , , , , ,919,4799,2, ,1,1,15,6,2021,3,3,3,3,3,3,3,21,1, ,1,2, , , ,130,0, , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,6,4,1, , ,130,0, , ,130,130,1,315.954424658445
2022,05,017287,005,0135,11,04,8,1,21051104,3,1,2, ,2,16,5,4, ,4,4,15,5,2022,21,5,2022,9,1,2006,1, , , , , , , , , , , , , , ,247,8549,2, ,1,1,30,3,2022,0,0,3,0,3,0,0,6,1, ,1,2, , , ,20,0, , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1, , ,20,0, , ,20,20,1,315.954424658445
2022,05,017287,005,0135,11,05,8,1,21051105,3,1,2, ,1,9,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017287,005,0135,11,06,8,1,21051106,3,1,2, ,2,5,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017287,005,0138,11,01,8,1,21051101,1,1,2, ,2,39,4, ,6,1,1,8,5,2022,14,5,2022,5,10,1982,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, ,0, ,1,6,0,0,0,0,0,0,1,6,1,4, , , , , , , , ,1,322.152369366096
2022,05,017287,005,0138,11,02,8,1,22051102,3,1,2, ,1,18,6,5, ,2,2,15,5,2022,21,5,2022,21,9,2003,1, , , , , , , , , , , , , , ,867,4752,4,5,1,6,15,12,2021,0,10,10,10,10,10,10,60,1, ,1,1,2,200,0, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,1,1,1,866,0, , , , ,866,866,1,299.196284782521
2022,05,017287,005,0138,11,03,8,1,21051102,3,1,2, ,2,13,5,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017287,005,0138,11,04,8,1,21051103,3,1,2, ,1,11,3, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017287,005,0138,11,05,8,1,21051104,3,1,2, ,2,6,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017287,005,0138,11,06,8,1,21051105,3,1,2, ,2,22,6,5, ,6,6,8,5,2022,14,5,2022,27,12,1999,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, ,0, ,1,6,0,0,0,0,0,0,1,1,4,4, , , , , , , , ,1,315.954424658445
2022,05,017287,005,0138,11,07,8,1,21051106,4,1,2, ,1,23,6,5, ,7,7,15,5,2022,21,5,2022,12,11,1998,1, , , , , , , , , , , , , , ,867,4752,4,5,1,6,5,8,2021,0,10,10,10,10,10,10,60,1, ,1,2,2,250,0, , , , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,1,1,1,1083,0, , , , ,1083,1083,1,299.196284782521
2022,05,017287,005,0138,11,08,8,1,21051107,10,1,2, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017287,005,0139,11,01,8,1,21051101,1,1,2, ,1,74,3,2, ,1,1,8,5,2022,14,5,2022,2,8,1947,1, , , , , , , , , , , , , , ,945,3811,2, ,1,1,15,2,2021,10,10,10,10,10,10,10,70,1, ,1,1, , , ,210,0, , ,1, , , , , , , , ,6,0,0,0,1,0,0,0,1,1,1, , ,210,0, , ,210,210,1,263.860623236646
2022,05,017329,005,0105,11,01,8,1,21051101,1,1,2, ,1,37,6,5, ,1,1,24,4,2022,30,4,2022,29,9,1984,1, , , , , , , , , , , , , , ,864,1622,4,5,1,12,99,99,2010,0,8,8,8,8,8,0,40,1, ,2,2,4,1200,173, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1200,173, , , , ,1373,1373,1,445.818717754589
2022,05,017329,005,0105,11,02,8,1,21051102,2,1,2, ,2,43,6,5, ,2,2,24,4,2022,30,4,2022,28,6,1978,1, , , , , , , , , , , , , , ,572,4722,2, ,1,1,20,12,2020,18,2,2,8,8,2,18,58,1, ,1,2, , , ,325,0,433,0,0, , , , , , , , ,1,0,0,0,0,0,0,1,1,1,1, , ,325,0,433,0,758,325,1,429.536492488129
2022,05,017329,005,0105,11,03,8,1,21051103,3,1,2, ,1,11,3, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,05,017329,005,0105,11,04,8,1,21051104,3,1,2, ,1,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
