"Sexo","Edad","Universidad","Carrera","Promedio_ponderado","Gamer","Edad_videojuegos","Plataforma","Genero_favorito","Dinero","Horas_pandemia","Horas_actuales","Horas_estudio","Afecta"
"Masculino",19,"UTEC","Ingenieria Mecatronica",15.3,"No",6,"PC","Shooters","10000+",6,8,24,2
"Femenino",20,"UTEC","Ingenieria Industrial",15.45,"No",10,"Dispositivo movil","Carreras","0",14,7,40,1
"Masculino",20,"UPN","Administracion",18,"Si",5,"PC","Shooters","2000-5000",35,20,20,5
"Masculino",21,"UTEC","Ciencias De La Computacion",14.78,"Si",6,"PC","MOBA","10000+",56,28,2,2
"Masculino",18,"UTEC","Ingenieria Mecatronica",15.28,"Si",10,"PC","MMO RPG","2000-5000",70,4,15,2
"Masculino",19,"UTEC","Ciencias De La Computacion",18.57,"Si",6,"Nintendo","Estrategia","10000+",60,15,15,3
"Masculino",19,"UTEC","Ingenieria Industrial",16.43,"Si",8,"Playstation","Deportivo","2000-5000",10,15,3,4
"Masculino",20,"UTEC","Ingenieria Civil",13.5,"Si",15,"PC","Deportivo","0-100",16,10,6,3
"Femenino",17,"Otra","Derecho",17.5,"No",12,"Dispositivo movil","Survival","0-100",6,4,49,3
"Masculino",19,"UTEC","Ingenieria Industrial",14.5,"No",11,"Dispositivo movil","Estrategia","0",2,5,30,5
"Masculino",19,"UTEC","Ingenieria Industrial",15.9,"Si",9,"PC","Carreras","100-1000",2,4,50,3
"Femenino",20,"UTEC","Ingenieria Industrial",16,"No",10,"PC","Estrategia","0-100",20,7,14,2
"Masculino",19,"UTEC","Ingenieria Industrial",17.5,"No",8,"PC","Shooters","0-100",25,10,70,2
"Masculino",19,"Otra","Ingenieria Mecatronica",17.5,"No",25,"PC","Shooters","5000-10000",5,5,10,2
"Masculino",21,"UPC","Ingenieria Civil",17.87,"No",16,"Playstation","Deportivo","100-1000",6,2,45,3
"Masculino",19,"Otra","Medicina",17,"Si",11,"Playstation","Shooters","1000-2000",7,23,54,3
"Masculino",19,"UPC","Ingenieria Industrial",14.177,"Si",5,"Playstation","Shooters","10000+",21,16,8,5
"Masculino",19,"UTEC","Ingenieria De La Energia",13.4,"Si",16,"Playstation","Deportivo","0-100",30,23,15,3
"Femenino",23,"UPCH","Ingenieria Ambiental",14.8,"No",18,"Otro","Deportivo","0-100",4,6,56,3
"Masculino",18,"UTEC","Ingenieria Industrial",15.3,"No",8,"Playstation","Carreras","1000-2000",5,3,8,3
"Masculino",18,"UTP","Ciencias De La Computacion",18.81,"No",8,"Playstation","Survival","100-1000",10,5,10,2
"Masculino",19,"UTEC","Ingenieria Industrial",15,"Si",8,"Playstation","Shooters","100-1000",35,15,7,5
"Femenino",20,"UTEC","Ingenieria Industrial",13.5,"No",16,"Dispositivo movil","Casino","0",6,0,10,2
"Femenino",18,"Otra","Enfermeria",16,"No",10,"Playstation","Deportivo","0",0,0,0,1
"Masculino",18,"UTEC","Ingenieria Mecatronica",11,"No",14,"Dispositivo movil","Carreras","0",10,10,36,4
"Femenino",21,"UTEC","Ingenieria Industrial",14,"No",13,"PC","Carreras","0",1,0,100,2
"Masculino",18,"Otra","Ingenieria Quimica",15.8,"No",7,"Dispositivo movil","Deportivo","0",7,4,5,2
"Masculino",21,"UTEC","Ingenieria Civil",14.33,"No",15,"Dispositivo movil","Carreras","1000-2000",16,5,82,3
"Masculino",17,"ULima","Economia",14.7,"No",11,"PC","Carreras","0",10,2,3,3
"Femenino",18,"UTEC","Ingenieria Industrial",16.1,"Si",17,"Dispositivo movil","Carreras","0",14,3,30,2
"Femenino",18,"Otra","Comunicaciones",16,"No",8,"Playstation","Carreras","0",4,4,10,1
"Femenino",17,"Otra","Ciencias De La Computacion",19.59,"Si",6,"PC","Estrategia","0-100",2,1,12,3
"Masculino",22,"UPCH","Ingenieria Ambiental",14.2,"No",16,"Dispositivo movil","Carreras","0",2,1,12,1
"Masculino",21,"UPCH","Ingenieria Ambiental",15.6,"No",10,"Playstation","Deportivo","1000-2000",20,5,50,4
"Femenino",22,"UPC","Ingenieria Industrial",17.9,"Si",8,"Playstation","Carreras","1000-2000",30,10,45,2
"Masculino",22,"UPN","Arte",11,"Si",12,"Otro","Estrategia","0-100",8,2,80,5
"Masculino",20,"UTEC","Ingenieria Industrial",16.41,"Si",9,"PC","Estrategia","2000-5000",30,10,15,4
"Masculino",18,"ULima","Administracion",17.2,"Si",8,"PC","Survival","5000-10000",15,7,10,2
"Femenino",17,"UP","Negocios Internacionales",14,"No",12,"Playstation","Shooters","100-1000",20,5,20,1
"Masculino",17,"UPC","Arquitectura",17.6,"No",11,"Dispositivo movil","Estrategia","0",5,2,20,1
"Masculino",21,"UTEC","Ingenieria Mecatronica",16.71,"No",9,"Nintendo","Ritmo","100-1000",10,5,16,3
"Masculino",19,"UTEC","Ingenieria De La Energia",13.95,"Si",7,"PC","Shooters","10000+",50,25,10,4
"Femenino",17,"UP","Negocios Internacionales",15,"No",10,"Playstation","Estrategia","0-100",29,7,35,2
"Femenino",20,"ULima","Ciencias De La Computacion",16.2,"Si",10,"Playstation","Platformer","0-100",30,18,21,4
"Masculino",18,"UTEC","Ciencias De La Computacion",17,"No",5,"PC","Deportivo","2000-5000",0,4,6,1
"Femenino",19,"Otra",NA,17,"No",5,"Playstation","Deportivo","1000-2000",3,4,5,1
"Femenino",19,"Otra","Ingenieria Industrial",14,"No",12,"Dispositivo movil","Ritmo","0",3,0,18,1
"Masculino",19,"UPC","Administracion",12,"No",7,"Nintendo","Survival","0-100",0,0,1,1
"Masculino",20,"UTEC","Ingenieria Mecatronica",15,"Si",13,"PC","Shooters","100-1000",28,4,25,1
"Femenino",17,"UP","Administracion",NA,"No",7,"Nintendo","Estrategia","100-1000",10,0,4,3
"Otro",NA,"Otra",NA,NA,"Si",2,"Otro","Ninguno","10000+",69,69,7,3
"Masculino",18,"Otra",NA,14.45,"Si",12,"PC","Shooters","1000-2000",6,1,8,5
"Femenino",17,"UTEC","Ingenieria Industrial",14,"No",15,"PC","Carreras","0",3,12,10,3
"Masculino",18,"UTEC","Ingenieria Mecanica",14.67,"Si",8,"PC","MOBA","100-1000",35,0,10,5
"Femenino",21,"UPC","Ingenieria Industrial",12,"Si",15,"Playstation","Deportivo","1000-2000",16,5,4,4
"Masculino",20,"ULima","Ingenieria Civil",12,"No",16,"Playstation","Carreras","100-1000",16,5,6,4
"Femenino",20,"UTEC","Ingenieria Industrial",15,"Si",16,"Playstation","Carreras","100-1000",27,5,7,3
"Femenino",18,"UTEC","Ciencias De La Computacion",15,"No",14,"Dispositivo movil","Shooters","1000-2000",6,2,10,3
"Femenino",17,"Otra","Arte",16,"No",13,"Dispositivo movil","Ninguno","0-100",3,3,12,2
"Masculino",18,"UTEC","Ingenieria Industrial",13,"No",8,"Playstation","Carreras","2000-5000",12,5,10,3
"Masculino",21,"UTEC","Ingenieria De La Energia",14,"No",11,"PC","Deportivo","1000-2000",7,4,15,2
"Masculino",19,"UPC","Comunicaciones",17.46,"No",14,"Playstation","Estrategia","5000-10000",60,15,12,2
"Femenino",17,"ULima","Derecho",18.75,"No",15,"Dispositivo movil","Estrategia","100-1000",10,1,70,1
"Masculino",21,"UTP","Ingenieria Biomedica",13.23,"Si",10,"PC","Shooters","100-1000",70,40,50,4
"Masculino",20,"UTEC","Ingenieria Civil",14.84,"Si",10,"PC","Survival","2000-5000",80,60,40,3
"Masculino",18,"ULima","Arquitectura",16.67,"No",16,"PC","Estrategia","0-100",25,7,40,1
"Femenino",18,"ULima","Arquitectura",17.57,"No",16,"Dispositivo movil","Ninguno","0",10,1,60,1
"Masculino",22,"UP","Derecho",14.89,"No",15,"PC","Ninguno","0",10,1,30,1
"Femenino",18,"UPC","Ingenieria Civil",13.4,"Si",10,"PC","MOBA","2000-5000",30,10,40,3
"Masculino",19,"UPC","Ciencias De La Computacion",16.4,"No",8,"Nintendo","MMO RPG","2000-5000",40,15,30,3
"Femenino",20,"ULima","Ingenieria Industrial",14.45,"Si",10,"Nintendo","MMO RPG","100-1000",60,10,40,2
"Femenino",20,"ULima","Arquitectura",16.5,"No",7,"Playstation","Carreras","0-100",70,5,30,1
"Masculino",21,"UPC","Economia",15,"No",8,"Xbox","Estrategia","0-100",50,4,70,1
"Masculino",23,"UPC","Ingenieria Civil",14.3,"Si",12,"PC","MMO RPG","1000-2000",30,4,40,1
"Femenino",NA,"ULima","Psicologia",15.07,"No",14,"Nintendo","Carreras","2000-5000",40,20,40,1
"Femenino",20,"ULima","Derecho",17,"No",13,"Dispositivo movil","Ritmo","0-100",50,10,40,2
"Femenino",21,"UPC","Ingenieria Ambiental",14.03,"No",12,"Playstation","Shooters","100-1000",30,9,15,1
"Femenino",22,"UPC","Ingenieria Industrial",17,"No",11,"Nintendo","Estrategia","100-1000",15,3,18,2
"Femenino",23,"ULima","Derecho",13.04,"No",8,"Playstation","Deportivo","100-1000",30,10,60,1
"Femenino",18,"UPC","Ingenieria Ambiental",16.9,"No",13,"PC","Casino","100-1000",70,10,40,1
"Femenino",20,"UPC","Ingenieria Civil",17.04,"No",11,"Xbox","Estrategia","0-100",30,9,40,1
"Femenino",20,"UPC","Ingenieria Ambiental",16.8,"No",12,"Playstation","Estrategia","0-100",30,3,75,1
"Femenino",21,"ULima","Ingenieria Industrial",14.45,"No",10,"Xbox","Deportivo","0-100",30,4,45,1
"Femenino",20,"UPC","Derecho",14.7,"No",13,"Dispositivo movil","Ritmo","0-100",80,30,30,1
"Femenino",21,"ULima","Ingenieria Civil",13,"Si",9,"Nintendo","MOBA","2000-5000",80,30,60,2
"Femenino",18,"ULima","Ingenieria Industrial",17,"Si",13,"Nintendo","Deportivo","2000-5000",90,30,50,1
"Masculino",18,"UPC","Ingenieria Ambiental",16.8,"No",11,"Playstation","Estrategia","100-1000",50,6,40,1
"Masculino",19,"UPC","Administracion",18.79,"No",18,"Playstation","Casino","10000+",30,10,40,1
"Femenino",18,"UTEC","Ingenieria Biomedica",15.06,"No",12,"Playstation","Carreras","100-1000",40,7,70,1
"Femenino",17,"UPC","Medicina",18,"No",10,"Playstation","Carreras","0-100",60,30,60,1
"Femenino",19,"ULima","Derecho",14.45,"No",10,"Playstation","Carreras","0-100",15,3,50,1
"Femenino",21,"UPCH","Negocios Internacionales",17.46,"No",16,"Playstation","Deportivo","100-1000",35,14,37,3
"Femenino",21,"UPC","Ingenieria Civil",14.6,"Si",7,"Nintendo","Estrategia","100-1000",30,7,40,1
"Otro",20,"UPC","Medicina",13.68,"No",13,"PC","Survival","2000-5000",45,10,60,4
"Femenino",23,"UPC","Ingenieria Ambiental",13.8,"No",9,"Playstation","Roguelike","1000-2000",60,20,50,2
"Femenino",20,"UPC","Ingenieria Industrial",12.8,"No",7,"Dispositivo movil","Deportivo","1000-2000",20,6,70,2
"Masculino",19,"UPC","Arte",16.45,"No",16,"Dispositivo movil","Estrategia","0-100",20,2,6,1
"Masculino",22,"UPC","Ciencias De La Computacion",16,"No",6,"Xbox","Platformer","1000-2000",70,6,80,2
"Masculino",19,"ULima","Economia",15.08,"No",13,"Playstation","Platformer","1000-2000",60,10,90,3
"Masculino",19,"UTEC","Ingenieria Mecanica",14.21,"No",7,"Playstation","MMO RPG","0-100",4,0,17,5
"Masculino",19,"UTP","Derecho",NA,"Si",5,"PC","MMO RPG","100-1000",18,16,35,1
"Masculino",20,"UTEC","Ingenieria Mecanica",14.44,"Si",10,"Playstation","Deportivo","1000-2000",10,5,10,2
"Masculino",19,"UTEC","Ingenieria De La Energia",13,"Si",12,"PC","Deportivo","0-100",40,20,15,3
"Masculino",20,"UTEC","Ciencias De La Computacion",15.1,"Si",10,"PC","Survival","1000-2000",8,8,10,2
"Masculino",21,"UTEC","Ciencias De La Computacion",14.8,"Si",10,"PC","MOBA","5000-10000",6,15,5,4
"Masculino",21,"UTEC","Bioingenieria",14,"Si",9,"PC","MOBA","1000-2000",28,36,30,5
"Femenino",22,"ULima","Marketing",17.6,"No",17,"Dispositivo movil","Casino","0",2,1,20,1
"Femenino",19,"UTEC","Ingenieria Mecatronica",11,"Si",16,"PC","MOBA","0",20,1,10,3
"Masculino",19,"ULima","Economia",13.5,"Si",14,"PC","MOBA","10000+",30,20,5,3
"Masculino",23,"ULima","Marketing",17.38,"No",15,"Nintendo","Deportivo","0",30,10,50,2
"Masculino",20,"UTEC","Ciencias De La Computacion",14.74,"No",8,"PC","Roguelike","5000-10000",25,20,7,3
"Masculino",17,"UPCH","Medicina",14.7,"No",13,"Playstation","MOBA","0-100",20,2,40,1
"Masculino",25,"UTEC","Ingenieria Civil",15.34,"Si",13,"PC","Survival","5000-10000",70,40,60,4
"Femenino",20,"Otra","Derecho",15,"No",11,"Dispositivo movil","Ninguno","1000-2000",9,4,13,2
"Masculino",21,"UTEC","Ingenieria Electronica",13.45,"Si",8,"PC","Estrategia","5000-10000",95,30,70,4
"Femenino",18,"UTEC","Ingenieria Mecatronica",12,"Si",10,"PC","MOBA","1000-2000",23,13,12,4
"Femenino",18,"UTEC","Bioingenieria",17.69,"Si",14,"PC","Estrategia","10000+",80,50,65,2
"Masculino",22,"UTEC","Ingenieria Mecanica",13.4,"Si",9,"PC","MMO RPG","5000-10000",30,4,40,4
"Masculino",18,"UTEC","Ciencias De La Computacion",16,"Si",7,"PC","Roguelike","10000+",20,8,30,2
"Masculino",22,"UTEC","Ingenieria Mecatronica",13.46,"Si",7,"PC","MOBA","5000-10000",36,28,4,3
"Femenino",19,"UTEC","Ingenieria Ambiental",14,"No",8,"Dispositivo movil","Survival","1000-2000",12,10,15,2
"Femenino",18,"UTEC","Ingenieria Quimica",15,"No",8,"Playstation","MOBA","100-1000",20,7,30,1
"Masculino",19,"UTEC","Ingenieria Electronica",13.5,"Si",16,"Playstation","MMO RPG","5000-10000",100,45,60,4
"Masculino",23,"UTEC","Ingenieria De La Energia",14.7,"No",8,"PC","Estrategia","100-1000",30,3,40,1
"Femenino",24,"UTEC","Ingenieria Electronica",14.3,"No",12,"PC","Roguelike","100-1000",12,7,40,1
"Femenino",22,"UTEC","Ingenieria Industrial",15.4,"No",13,"PC","MMO RPG","0-100",12,3,30,1
"Masculino",20,"UTEC","Ingenieria Mecanica",15.4,"Si",9,"PC","Estrategia","10000+",18,3,30,1
"Femenino",19,"UTEC","Administracion",17.78,"No",12,"PC","Shooters","1000-2000",70,20,70,3
"Masculino",20,"UTEC","Ingenieria Civil",14.66,"Si",10,"Nintendo","Platformer","5000-10000",40,15,10,4
"Femenino",17,"UTEC","Ingenieria Electronica",14.45,"No",9,"Nintendo","Carreras","0-100",14,4,30,1
"Femenino",21,"UTEC","Ingenieria Ambiental",16,"Si",8,"PC","Survival","5000-10000",40,20,11,4
"Masculino",21,"UTEC","Ciencias De La Computacion",15.4,"Si",12,"Xbox","MMO RPG","10000+",30,9,40,1
"Masculino",18,"UTEC","Ingenieria Ambiental",14.7,"Si",12,"Dispositivo movil","Roguelike","5000-10000",19,8,29,1
"Masculino",18,"UTEC","Ingenieria Mecatronica",17.04,"Si",9,"Playstation","MMO RPG","10000+",20,4,30,1
"Femenino",24,"UPN","Ingenieria Mecatronica",12,"Si",10,"PC","MOBA","2000-5000",22,10,12,4
"Masculino",17,"UTEC","Ingenieria Mecatronica",14.7,"Si",9,"PC","Shooters","2000-5000",30,10,14,4
"Masculino",19,"UTEC","Bioingenieria",16.3,"Si",12,"Nintendo","Roguelike","10000+",20,3,10,1
"Masculino",20,"UTP","Ingenieria Electronica",16,"Si",13,"Playstation","Deportivo","1000-2000",17,8,8,4
"Masculino",22,"UTEC","Ingenieria Industrial",14.45,"Si",13,"Xbox","MOBA","5000-10000",13,5,18,2
"Femenino",18,"UTEC","Ingenieria Ambiental",15,"No",12,"Dispositivo movil","Platformer","100-1000",10,4,15,1
"Femenino",23,"UTEC","Ingenieria Mecatronica",14.45,"Si",12,"Playstation","Estrategia","10000+",13,11,20,2
"Masculino",20,"UTEC","Ingenieria Ambiental",14.57,"Si",15,"PC","Roguelike","100-1000",65,34,76,3
"Femenino",17,"UTEC","Ingenieria De La Energia",14.45,"Si",11,"PC","MMO RPG","10000+",14,5,20,2
