Nombre de la evaluación,Componente ambiental,Matriz,Submatriz,Nombre del punto,Este,Norte,Zona,Datum,Altitud,Descripción de ubicación,Tipo de muestra,Fecha,Acidez,Aceites y grasas,Alcalinidad Total,Aluminio,Aluminio disuelto,Amoniaco,Antimonio,Antimonio disuelto,Arsénico,Arsénico disuelto,Bario,Bario disuelto,Berilio,Berilio disuelto,Bicarbonatos,Bismuto,Bismuto disuelto,Boro,Boro disuelto,Cadmio,Cadmio disuelto,Calcio,Calcio disuelto,Carbonatos,Carbono Orgánico Total,Caudal,Cianuro libre,Cianuro Total,Cianuro Wad,Cerio,Cerio disuelto,Cianuro Total,Cianuro Wad,Clorofila,Cloruros,Cobalto,Cobalto disuelto,Cobre,Cobre disuelto,Conductividad,Cromo,Cromo disuelto,Cromo Hexavalente,Cromo Hexavalente Total,Cromo Total,Demanda Bioquímica de Oxígeno,Demanda Química de Oxígeno (DQO),Estaño,Estaño disuelto,Estroncio,Estroncio disuelto,Fluoruros,Fosfato como P,Fosfatos,Fósforo,Fósforo disuelto,Fósforo Total,Hidrocarburos totales de petróleo (C10-C40),Hidrocarburos totales de petróleo (C6-C10),Hidrocarburos totales de petróleo (C6-C40),Hidrocarburos totales de petroleo (C8-C40),Hidrocarburos totales de petróleo,Hierro,Hierro disuelto,Litio,Litio disuelto,Magnesio,Magnesio disuelto,Manganeso,Manganeso disuelto,Material Particulado PM10,Mercurio,Mercurio disuelto,Mercurio Total,Molibdeno,Molibdeno disuelto,Níquel,Níquel disuelto,Nitratos (NO3-N),Nitratos(como N),Nitratos (NO3-N) + Nitritos (NO2-N),Nitritos (como N),Nitritos (NO2-N),Nitrógeno Amoniacal,Nitrógeno Total,Oxígeno Disuelto,PCB,pH,Plata,Plata disuelto,Plomo,Plomo disuelto,Potasio,Potasio disuelto,Potencial de hidrógeno,Potencial de Neutralización Sobek,Potencial redox,Potencial de óxido reducción (ORP),Selenio,Selenio disuelto,Silicatos,Silicio,Silicio disuelto,Sodio,Sodio disuelto,Sólidos Disueltos Totales (SDT),Sólidos Suspendidos Totales,Sólidos Totales Disueltos,Sulfato Total,Sulfatos,Sulfuro Total,Sulfuros,Talio,Talio disuelto,Temperatura,Titanio,Titanio disuelto,Torio,Torio disuelto,Turbidez,Uranio,Uranio disuelto,Vanadio,Vanadio disuelto,Wolframio disuelto,Wolframio,Zinc,Zinc disuelto,4-4῾DDD,4-4῾DDE,4-4῾DDT,4-4῾DDD2,4-4῾DDE3,4-4῾DDT4,Albicarb (parental),Albicarb sulfona,Albicarb sulfóxido,Aldrín,Alfa-BHC (Hexacloruro de Benceno),Beta-BHC (Hexacloruro de Benceno),Chlordane,Coliformes termotolerantes,Delta-BHC (Hexacloruro de Benceno),Dieldrin,Dimethoate,Disulfoton,Endosulfan I,Endosulfan Ii,Endosulfan Sulfate,Endrin,Endrin Aldehyde,Endrin Ketone,EPN (Ethyl p-nitrophenyl),Famphur (Famophos),Gamma-BHC (Lindano),Heptaclor,Heptaclor Epoxide,Malathion,Methoxychlor,Methyl Parathion,"O,O,O-Triethyphosphoticate",Parathion,Phorate,Sulfotep,Thionazin
Chancas,Agua,Agua superficial,Agua subterránea de afloramiento,MCHa-01,703759,8434556,18L,WGS 84,3915,"Afloramiento Condor Hapina, ubicado en el anexo Choccemarca",Simple,43383,,,,0.25 mg/L,0.047 mg/L,,<0.00004 mg/L,<0.00004 mg/L,<0.00003 mg/L,<0.00003 mg/L,0.0167 mg/L,0.0112 mg/L,<0.00002 mg/L,<0.00002 mg/L,5 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.46 mg/L,0.46 mg/L,<0.6 mg CO3-2/L,,,,,,,,,,,0.066 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.00089 mg/L,0.00089 mg/L,4.51 uS/cm,,<0.0001 mg/L,,,<0.0001 mg/L,,,<0.00003 mg/L,<0.00003 mg/L,0.0042 mg/L,0.0042 mg/L,,,,0.037 mg/L,<0.015 mg/L,,,,,,,0.149 mg/L,0.0495 mg/L,<0.0001 mg/L,<0.0001 mg/L,0.125 mg/L,0.121 mg/L,0.00532 mg/L,0.0049 mg/L,,<0.00003 mg/L,<0.00003 mg/L,,<0.00002 mg/L,<0.00002 mg/L,<0.0002 mg/L,<0.0002 mg/L,,,,,,,,5.42 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,<0.0002 mg/L,<0.0002 mg/L,0.27 mg/L,0.27 mg/L,6.59 Unidad de Ph,,193.1 mV,,<0.0004 mg/L,<0.0004 mg/L,,2.6 mg/L,2.1 mg/L,0.363 mg/L,0.363 mg/L,,7 mg/L,3 mg/L,,0.447 mg/L,,,<0.00002 mg/L,<0.00002 mg/L,24.5 °C,0.0051 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chancas,Agua,Agua superficial,Agua subterránea de afloramiento,MCHa-02,703742,8434552,18L,WGS 84,3907,"Afloramiento Condor Hapina, ubicado en el anexo Choccemarca",Simple,43383,,,,0.28 mg/L,0.11 mg/L,,<0.00004 mg/L,<0.00004 mg/L,0.00062 mg/L,<0.00003 mg/L,0.0198 mg/L,0.0117 mg/L,<0.00002 mg/L,<0.00002 mg/L,4.3 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.4 mg/L,0.4 mg/L,<0.6 mg CO3-2/L,,,,,,,,,,,0.107 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.00102 mg/L,0.00099 mg/L,7.32 uS/cm,,<0.0001 mg/L,,,<0.0001 mg/L,,,<0.00003 mg/L,<0.00003 mg/L,0.0039 mg/L,0.0035 mg/L,,,,0.05 mg/L,<0.015 mg/L,,,,,,,0.286 mg/L,0.1117 mg/L,<0.0001 mg/L,<0.0001 mg/L,0.12 mg/L,0.103 mg/L,0.00958 mg/L,0.00866 mg/L,,<0.00003 mg/L,<0.00003 mg/L,,<0.00002 mg/L,<0.00002 mg/L,<0.0002 mg/L,<0.0002 mg/L,,,,,,,,5.04 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,<0.0002 mg/L,<0.0002 mg/L,0.38 mg/L,0.31 mg/L,6.18 Unidad de Ph,,222.8 mV,,<0.0004 mg/L,<0.0004 mg/L,,2.8 mg/L,2.4 mg/L,0.312 mg/L,0.312 mg/L,,19 mg/L,4 mg/L,,0.339 mg/L,,,<0.00002 mg/L,<0.00002 mg/L,19.4 °C,0.0059 mg/L,0.0013 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,0.0154 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chancas,Agua,Agua superficial,Agua subterránea de afloramiento,MChel-01,702142,8432895,18L,WGS 84,3295,"Afloramiento Chellacahuayco, ubicado en el anexo de Quishque",Simple,43383,,,,0.111 mg/L,0.103 mg/L,,<0.00004 mg/L,<0.00004 mg/L,0.00361 mg/L,0.00361 mg/L,0.1598 mg/L,0.1585 mg/L,<0.00002 mg/L,<0.00002 mg/L,2.3 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,0.007 mg/L,0.004 mg/L,<0.00001 mg/L,<0.00001 mg/L,2.09 mg/L,2.09 mg/L,<0.6 mg CO3-2/L,,,,,,,,,,,<0.061 mg/L,0.00117 mg/L,0.00114 mg/L,1.979 mg/L,1.863 mg/L,114.7 uS/cm,,<0.0001 mg/L,,,<0.0001 mg/L,,,<0.00003 mg/L,<0.00003 mg/L,0.0204 mg/L,0.0204 mg/L,,,,0.036 mg/L,<0.015 mg/L,,,,,,,0.0107 mg/L,0.0107 mg/L,<0.0001 mg/L,<0.0001 mg/L,0.482 mg/L,0.476 mg/L,0.02237 mg/L,0.02237 mg/L,,<0.00003 mg/L,<0.00003 mg/L,,0.03436 mg/L,0.03112 mg/L,0.0016 mg/L,0.0016 mg/L,,,,,,,,6.12 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,<0.0002 mg/L,<0.0002 mg/L,2.81 mg/L,2.73 mg/L,5.57 Unidad de Ph,,210.3 mV,,0.0078 mg/L,0.0071 mg/L,,9.1 mg/L,8.1 mg/L,1.335 mg/L,1.335 mg/L,,<2 mg/L,31 mg/L,,15.71 mg/L,,,<0.00002 mg/L,<0.00002 mg/L,16.2 °C,<0.0002 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,0.0414 mg/L,0.0369 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chancas,Agua,Agua superficial,Agua subterránea de afloramiento,MIMa-01,703440,8433653,18L,WGS 84,3887,"Afloramiento Ichu Marka, ubicado en el anexo de Choccemarca",Simple,43383,,,,5.213 mg/L,0.336 mg/L,,<0.00004 mg/L,<0.00004 mg/L,0.00537 mg/L,0.002 mg/L,0.1041 mg/L,0.0479 mg/L,<0.00002 mg/L,<0.00002 mg/L,48.8 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,0.003 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,10.52 mg/L,9.6 mg/L,<0.6 mg CO3-2/L,,,,,,,,,,,0.629 mg/L,0.00386 mg/L,0.00075 mg/L,0.02051 mg/L,0.00364 mg/L,86.7 uS/cm,,<0.0001 mg/L,,,0.0068 mg/L,,,<0.00003 mg/L,<0.00003 mg/L,0.0478 mg/L,0.0427 mg/L,,,,0.204 mg/L,<0.015 mg/L,,,,,,,5.322 mg/L,0.5202 mg/L,0.0039 mg/L,<0.0001 mg/L,6.237 mg/L,3.096 mg/L,0.35947 mg/L,0.16627 mg/L,,<0.00003 mg/L,<0.00003 mg/L,,0.00066 mg/L,0.00043 mg/L,0.0059 mg/L,0.001 mg/L,,,,,,,,4.25 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0067 mg/L,0.0026 mg/L,2.57 mg/L,2.57 mg/L,6.95 Unidad de Ph,,95 mV,,<0.0004 mg/L,<0.0004 mg/L,,14 mg/L,7.6 mg/L,2.179 mg/L,2.179 mg/L,,257 mg/L,52 mg/L,,6.175 mg/L,,,<0.00002 mg/L,<0.00002 mg/L,19.1 °C,0.2123 mg/L,0.0123 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,0.0135 mg/L,0.0022 mg/L,,,0.0321 mg/L,0.0321 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chancas,Agua,Agua superficial,Agua subterránea de afloramiento,MIPa-01,703637,8434503,18L,WGS 84,3852,"Afloramiento Ichu Marka, ubicado en el anexo de Choccemarca",Simple,43383,,,,0.404 mg/L,0.177 mg/L,,<0.00004 mg/L,<0.00004 mg/L,<0.00003 mg/L,<0.00003 mg/L,0.0936 mg/L,0.0829 mg/L,<0.00002 mg/L,<0.00002 mg/L,4.8 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,2.35 mg/L,1.91 mg/L,<0.6 mg CO3-2/L,,,,,,,,,,,<0.061 mg/L,0.00106 mg/L,0.00063 mg/L,0.00437 mg/L,0.00241 mg/L,32.7 uS/cm,,<0.0001 mg/L,,,0.0006 mg/L,,,<0.00003 mg/L,<0.00003 mg/L,0.028 mg/L,0.0256 mg/L,,,,0.04 mg/L,<0.015 mg/L,,,,,,,0.3266 mg/L,0.0357 mg/L,<0.0001 mg/L,<0.0001 mg/L,0.619 mg/L,0.556 mg/L,0.01675 mg/L,0.01629 mg/L,,<0.00003 mg/L,<0.00003 mg/L,,<0.00002 mg/L,<0.00002 mg/L,0.0017 mg/L,0.0017 mg/L,,,,,,,,6.2 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0021 mg/L,0.0005 mg/L,0.46 mg/L,0.46 mg/L,5.11 Unidad de Ph,,306.3 mV,,<0.0004 mg/L,<0.0004 mg/L,,3.5 mg/L,3.1 mg/L,0.43 mg/L,0.384 mg/L,,10 mg/L,27 mg/L,,10.19 mg/L,,,<0.00002 mg/L,<0.00002 mg/L,17.3 °C,0.004 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,<0.0001 mg/L,<0.0001 mg/L,,,0.0262 mg/L,0.0262 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chancas,Agua,Agua superficial,Agua subterránea de afloramiento,MLHu-01,703815,8434289,18L,WGS 84,3895,"Afloramiento Luchuyani Huayco, ubicado en el anexo de Choccemarca",Simple,43383,,,,0.068 mg/L,<0.002 mg/L,,<0.00004 mg/L,<0.00004 mg/L,0.00053 mg/L,0.00046 mg/L,0.0169 mg/L,0.0156 mg/L,<0.00002 mg/L,<0.00002 mg/L,46.7 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,11.64 mg/L,11.64 mg/L,<0.6 mg CO3-2/L,,,,,,,,,,,<0.061 mg/L,<0.00001 mg/L,<0.00001 mg/L,<0.00003 mg/L,<0.00003 mg/L,80.4 uS/cm,,<0.0001 mg/L,,,<0.0001 mg/L,,,<0.00003 mg/L,<0.00003 mg/L,0.0994 mg/L,0.0978 mg/L,,,,0.045 mg/L,<0.015 mg/L,,,,,,,0.0727 mg/L,<0.0004 mg/L,<0.0001 mg/L,<0.0001 mg/L,1.364 mg/L,1.329 mg/L,0.00275 mg/L,0.00275 mg/L,,<0.00003 mg/L,<0.00003 mg/L,,<0.00002 mg/L,<0.00002 mg/L,<0.0002 mg/L,<0.0002 mg/L,,,,,,,,6.21 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,<0.0002 mg/L,<0.0002 mg/L,0.95 mg/L,0.95 mg/L,7.24 Unidad de Ph,,147 mV,,<0.0004 mg/L,<0.0004 mg/L,,5.5 mg/L,5.1 mg/L,1.393 mg/L,1.393 mg/L,,5 mg/L,62 mg/L,,7.877 mg/L,,,<0.00002 mg/L,<0.00002 mg/L,16.5 °C,0.0024 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,0.0012 mg/L,0.001 mg/L,,,0.0144 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chancas,Agua,Agua superficial,Agua subterránea de afloramiento,MLPa-01,703765,8434243,18L,WGS 84,3904,"Afloramiento Luichani Pampa, ubicado en el anexo de Choccemarca",Simple,43383,,,,0.691 mg/L,0.036 mg/L,,0.0008 mg/L,<0.00004 mg/L,0.00058 mg/L,0.00047 mg/L,0.0175 mg/L,0.0127 mg/L,<0.00002 mg/L,<0.00002 mg/L,34.2 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,0.01 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,6.67 mg/L,6.04 mg/L,<0.6 mg CO3-2/L,,,,,,,,,,,0.383 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.0019 mg/L,0.00177 mg/L,51.2 uS/cm,,<0.0001 mg/L,,,0.0013 mg/L,,,<0.00003 mg/L,<0.00003 mg/L,0.0346 mg/L,0.0311 mg/L,,,,0.16 mg/L,<0.015 mg/L,,,,,,,0.573 mg/L,0.0806 mg/L,<0.0001 mg/L,<0.0001 mg/L,0.743 mg/L,0.565 mg/L,0.02568 mg/L,0.01696 mg/L,,<0.00003 mg/L,<0.00003 mg/L,,0.00054 mg/L,0.00038 mg/L,0.0008 mg/L,0.0005 mg/L,,,,,,,,3.39 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0009 mg/L,0.0004 mg/L,2.02 mg/L,2.02 mg/L,6.61 Unidad de Ph,,219.3 mV,,<0.0004 mg/L,<0.0004 mg/L,,6.7 mg/L,5.1 mg/L,2.163 mg/L,2.163 mg/L,,47 mg/L,41 mg/L,,1.308 mg/L,,,<0.00002 mg/L,<0.00002 mg/L,28.1 °C,0.0146 mg/L,0.0013 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,0.0026 mg/L,0.0014 mg/L,,,0.0176 mg/L,0.0176 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chancas,Agua,Agua superficial,Agua subterránea de afloramiento,MLPa-02,703789,8434191,18L,WGS 84,3916,"Afloramiento Luichani Pampa, ubicado en el anexo de Choccemarca",Simple,43383,,,,2.401 mg/L,0.113 mg/L,,<0.00004 mg/L,<0.00004 mg/L,0.0049 mg/L,0.00251 mg/L,0.0258 mg/L,0.0115 mg/L,<0.00002 mg/L,<0.00002 mg/L,24.4 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,3.91 mg/L,3.66 mg/L,<0.6 mg CO3-2/L,,,,,,,,,,,<0.061 mg/L,0.00191 mg/L,0.00079 mg/L,0.00457 mg/L,0.00172 mg/L,38.7 uS/cm,,<0.0001 mg/L,,,0.0015 mg/L,,,<0.00003 mg/L,<0.00003 mg/L,0.0235 mg/L,0.0218 mg/L,,,,0.205 mg/L,<0.015 mg/L,,,,,,,3.773 mg/L,0.7207 mg/L,<0.0001 mg/L,<0.0001 mg/L,0.936 mg/L,0.649 mg/L,0.8389 mg/L,0.5818 mg/L,,<0.00003 mg/L,<0.00003 mg/L,,0.0006 mg/L,<0.00002 mg/L,0.0012 mg/L,0.0005 mg/L,,,,,,,,4.1 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0028 mg/L,0.0007 mg/L,1.89 mg/L,1.89 mg/L,6.3 Unidad de Ph,,216.3 mV,,<0.0004 mg/L,<0.0004 mg/L,,6.2 mg/L,4.3 mg/L,1.985 mg/L,1.985 mg/L,,54 mg/L,29 mg/L,,<0.05 mg/L,,,<0.00002 mg/L,<0.00002 mg/L,21.5 °C,0.0589 mg/L,0.0017 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,0.0037 mg/L,0.0005 mg/L,,,<0.01 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chancas,Agua,Agua superficial,Agua subterránea de afloramiento,MLYa-01,703736,8434097,18L,WGS 84,3901,"Afloramiento Luichani Yacuwisina, ubicado en el anexo Choccemarca",Simple,43383,,,,0.339 mg/L,0.018 mg/L,,<0.00004 mg/L,<0.00004 mg/L,0.00065 mg/L,0.00059 mg/L,0.0176 mg/L,0.0138 mg/L,<0.00002 mg/L,<0.00002 mg/L,40.7 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,8.82 mg/L,8.54 mg/L,<0.6 mg CO3-2/L,,,,,,,,,,,<0.061 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.00086 mg/L,0.00076 mg/L,56.3 uS/cm,,<0.0001 mg/L,,,0.0009 mg/L,,,<0.00003 mg/L,<0.00003 mg/L,0.0477 mg/L,0.0455 mg/L,,,,0.085 mg/L,<0.015 mg/L,,,,,,,0.2743 mg/L,0.0165 mg/L,<0.0001 mg/L,<0.0001 mg/L,1.026 mg/L,0.922 mg/L,0.00932 mg/L,0.00354 mg/L,,<0.00003 mg/L,<0.00003 mg/L,,<0.00002 mg/L,<0.00002 mg/L,<0.0002 mg/L,<0.0002 mg/L,,,,,,,,4.69 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0006 mg/L,0.0006 mg/L,1.08 mg/L,1.08 mg/L,6.79 Unidad de Ph,,226.4 mV,,<0.0004 mg/L,<0.0004 mg/L,,6.4 mg/L,5.9 mg/L,2.042 mg/L,2.042 mg/L,,<2 mg/L,48 mg/L,,1.341 mg/L,,,<0.00002 mg/L,<0.00002 mg/L,17.6 °C,0.0077 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,0.0015 mg/L,0.0007 mg/L,,,0.0138 mg/L,0.0138 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chancas,Agua,Agua superficial,Agua subterránea de afloramiento,MLYa-02,703729,8434092,18L,WGS 84,3901,"Afloramiento Luichani Yacuwisina, ubicado en el anexo Choccemarca",Simple,43383,,,,0.265 mg/L,0.013 mg/L,,<0.00004 mg/L,<0.00004 mg/L,0.00083 mg/L,0.00055 mg/L,0.0202 mg/L,0.0156 mg/L,<0.00002 mg/L,<0.00002 mg/L,39.5 mg HCO3-/L,<0.00002 mg/L,<0.00002 mg/L,<0.002 mg/L,<0.002 mg/L,<0.00001 mg/L,<0.00001 mg/L,8.36 mg/L,7.62 mg/L,<0.6 mg CO3-2/L,,,,,,,,,,,<0.061 mg/L,<0.00001 mg/L,<0.00001 mg/L,0.00062 mg/L,<0.00003 mg/L,61.6 uS/cm,,<0.0001 mg/L,,,0.0007 mg/L,,,<0.00003 mg/L,<0.00003 mg/L,0.0445 mg/L,0.0416 mg/L,,,,0.096 mg/L,<0.015 mg/L,,,,,,,0.3359 mg/L,0.1157 mg/L,<0.0001 mg/L,<0.0001 mg/L,1.03 mg/L,0.882 mg/L,0.03711 mg/L,0.02788 mg/L,,<0.00003 mg/L,<0.00003 mg/L,,<0.00002 mg/L,<0.00002 mg/L,<0.0002 mg/L,<0.0002 mg/L,,,,,,,,4.21 mg/L,,,<0.000003 mg/L,<0.000003 mg/L,0.0007 mg/L,<0.0002 mg/L,1.13 mg/L,0.99 mg/L,6.77 Unidad de Ph,,158.1 mV,,<0.0004 mg/L,<0.0004 mg/L,,6.8 mg/L,5.5 mg/L,2.009 mg/L,1.842 mg/L,,6 mg/L,50 mg/L,,1.34 mg/L,,,<0.00002 mg/L,<0.00002 mg/L,15.8 °C,0.0061 mg/L,<0.0002 mg/L,,,,<0.000003 mg/L,<0.000003 mg/L,0.0014 mg/L,0.0008 mg/L,,,0.0125 mg/L,<0.01 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
