"","HORA","DEPARTAMENTO","CODE_VIA","KILOMETRO","MODALIDAD","FALLECIDOS","HERIDOS","LATITUD","LONGITUD","ANNO","MES","DIA"
"1",5.67,"LIMA","PE-1S",24,"DESPISTE",0,0,-11.96,-76.96,"2020","ENERO","01"
"2",16.5,"CAJAMARCA","PE-3N",74,"DESPISTE",0,0,-70.39,-77.49,"2020","ENERO","01"
"3",7.75,"PASCO","PE-3N",103,"DESPISTE",0,1,-9.33,-75.74,"2020","ENERO","01"
"4",18.5,"CAJAMARCA","PE-08",111,"DESPISTE",0,2,-70.39,-77.49,"2020","ENERO","01"
"5",18.67,"LIMA","PE-1N",174,"DESPISTE",0,5,-11.96,-76.96,"2020","ENERO","01"
"6",16.5,"ICA","PE-1S",199,"CHOQUE",0,1,-13.93,-74.27,"2020","ENERO","01"
"7",16.58,"ICA","PE-1S",201,"CHOQUE",1,1,-13.93,-74.27,"2020","ENERO","01"
"8",21.75,"HUANUCO","PE-3N",226,"ATROPELLO",0,1,-98.8,-75.76,"2020","ENERO","01"
"9",23.83,"PIURA","PE-1N",232,"CHOQUE",0,6,-50.22,-79.35,"2020","ENERO","01"
"10",2.5,"AMAZONAS","PE-5N",263,"DESPISTE",0,2,-50.85,-77.89,"2020","ENERO","01"
"11",23.67,"AREQUIPA","PE-1S",521,"CHOQUE",0,0,-15.6,-70.47,"2020","ENERO","01"
"12",17.75,"LA LIBERTAD","PE-1N",732,"DESPISTE",0,5,-80.57,-77.53,"2020","ENERO","01"
"13",10.5,"LA LIBERTAD","PE-1N",734,"DESPISTE",0,2,-80.57,-77.53,"2020","ENERO","01"
"14",20.83,"MOQUEGUA","PE-1S",1166,"CHOQUE",0,0,-16.81,-69.07,"2020","ENERO","01"
"15",16.83,"TACNA","PE-1S",1245,"DESPISTE",1,0,-18,-69.76,"2020","ENERO","01"
"16",18.25,"PUNO","PE-1S",1351,"CHOQUE",0,0,-14.16,-69.98,"2020","ENERO","01"
"17",12.83,"AREQUIPA","PE-1SJ",6,"DESPISTE",2,16,-15.6,-70.47,"2020","ENERO","02"
"18",5.75,"TACNA","PE-1SD",8,"DESPISTE",2,1,-18,-69.76,"2020","ENERO","02"
"19",16.5,"AREQUIPA","PE-34J",14,"CHOQUE",0,0,-15.6,-70.47,"2020","ENERO","02"
"20",16.5,"AREQUIPA","PE-34E",18,"CHOQUE",0,3,-15.6,-70.47,"2020","ENERO","02"
"21",11,"AREQUIPA","PE-34A",34,"ESPECIAL",0,0,-15.6,-70.47,"2020","ENERO","02"
"22",10.17,"LIMA","PE-1N",39,"ATROPELLO",1,0,-11.96,-76.96,"2020","ENERO","02"
"23",8,"CAJAMARCA","PE-3N",43,"CHOQUE",0,0,-70.39,-77.49,"2020","ENERO","02"
"24",0.67,"LIMA","PE-22",81,"CHOQUE",0,1,-11.96,-76.96,"2020","ENERO","02"
"25",8.42,"LIMA","PE-1S",81,"DESPISTE",0,0,-11.96,-76.96,"2020","ENERO","02"
"26",11.33,"LIMA","PE-1S",91,"DESPISTE",0,1,-11.96,-76.96,"2020","ENERO","02"
"27",16,"AREQUIPA","PE-34A",131,"CHOQUE",4,3,-15.6,-70.47,"2020","ENERO","02"
"28",13,"JUNIN","PE-22",148,"CHOQUE",0,3,-10.85,-74.01,"2020","ENERO","02"
"29",21.87,"ANCASH","PE-16",162,"CHOQUE",0,0,-92.75,-76.44,"2020","ENERO","02"
"30",17.75,"LIMA","PE-1N",191,"DESPISTE",0,0,-11.96,-76.96,"2020","ENERO","02"
"31",23.83,"PUNO","PE-34H",226,"DESPISTE",3,41,-14.16,-69.98,"2020","ENERO","02"
"32",0.67,"ANCASH","PE-1N",276,"CHOQUE",2,6,-92.75,-76.44,"2020","ENERO","02"
"33",15.75,"AMAZONAS","PE-08B",294,"DESPISTE",0,1,-50.85,-77.89,"2020","ENERO","02"
"34",6,"APURIMAC","PE-3S",370,"DESPISTE",0,2,-13.95,NA,"2020","ENERO","02"
"35",9.5,"SAN MARTIN","PE-5N",579,"DESPISTE",0,2,-71.56,-75.18,"2020","ENERO","02"
"36",16.75,"MADRE DE DIOS","PE-30C",587,"DESPISTE",0,4,-10.24,-69.19,"2020","ENERO","02"
"37",21.33,"AREQUIPA","PE-1S",951,"CHOQUE",0,0,-15.6,-70.47,"2020","ENERO","02"
"38",20.25,"TACNA","PE-34B",1018,"DESPISTE",0,6,-18,-69.76,"2020","ENERO","02"
"39",18.5,"LIMA","LM-108",2,"DESPISTE",0,2,-11.96,-76.96,"2020","ENERO","03"
"40",6.83,"LIMA","PE-1S",71,"CHOQUE",0,2,-11.96,-76.96,"2020","ENERO","03"
"41",2.42,"LIMA","PE-1S",81,"CHOQUE",0,4,-11.96,-76.96,"2020","ENERO","03"
"42",11.67,"LIMA","PE-1S",81,"CHOQUE",0,0,-11.96,-76.96,"2020","ENERO","03"
"43",19,"LAMBAYEQUE","PE-1N",105,"CHOQUE",0,3,-66.81,-78.1,"2020","ENERO","03"
"44",23.75,"LIMA","PE-1N",123,"CHOQUE",0,1,-11.96,-76.96,"2020","ENERO","03"
"45",11.48,"JUNIN","PE-22",141,"CHOQUE",0,0,-10.85,-74.01,"2020","ENERO","03"
"46",16,"LIMA","PE-1N",158,"CHOQUE",0,2,-11.96,-76.96,"2020","ENERO","03"
"47",7.5,"ICA","PE-1S",192,"DESPISTE",0,2,-13.93,-74.27,"2020","ENERO","03"
"48",1,"AYACUCHO","PE-28A",233,"DESPISTE",0,0,-12.84,-73.78,"2020","ENERO","03"
"49",6.83,"PUNO","PE-34A",244,"CHOQUE",0,1,-14.16,-69.98,"2020","ENERO","03"
"50",10.17,"ANCASH","PE-3N",388,"DESPISTE",0,1,-92.75,-76.44,"2020","ENERO","03"
"51",1.33,"AREQUIPA","PE-1S",953,"CHOQUE",0,2,-15.6,-70.47,"2020","ENERO","03"
"52",23.83,"PIURA","PE-1N",1009,"DESPISTE",1,0,-50.22,-79.35,"2020","ENERO","03"
"53",21.5,"PUNO","PE-3S",1207,"CHOQUE",0,4,-14.16,-69.98,"2020","ENERO","03"
"54",11.17,"ANCASH","PE-16",2,"DESPISTE",0,0,-92.75,-76.44,"2020","ENERO","04"
"55",12.5,"AREQUIPA","PE-34",32,"CHOQUE",0,0,-15.6,-70.47,"2020","ENERO","04"
"56",21.67,"LIMA","PE-1S",34,"DESPISTE",0,2,-11.96,-76.96,"2020","ENERO","04"
"57",21,"TACNA","PE-1SD",34,"CHOQUE",2,0,-18,-69.76,"2020","ENERO","04"
"58",23.83,"JUNIN","PE-3S",37,"DESPISTE",0,4,-10.85,-74.01,"2020","ENERO","04"
"59",17.5,"UCAYALI","PE-5N",41,"CHOQUE",0,2,-97.75,NA,"2020","ENERO","04"
"60",16.83,"CAJAMARCA","PE-08B",45,"CHOQUE",0,2,-70.39,-77.49,"2020","ENERO","04"
"61",1.83,"JUNIN","PE-22",54,"CHOQUE",0,0,-10.85,-74.01,"2020","ENERO","04"
"62",16.5,"CAJAMARCA","PE-08A",62,"DESPISTE",0,1,-70.39,-77.49,"2020","ENERO","04"
"63",11.42,"LIMA","PE-1N",111,"DESPISTE",0,0,-11.96,-76.96,"2020","ENERO","04"
"64",9.5,"LIMA","PE-1N",117,"DESPISTE",0,1,-11.96,-76.96,"2020","ENERO","04"
"65",12.75,"LIMA","PE-1S",120,"DESPISTE",0,2,-11.96,-76.96,"2020","ENERO","04"
"66",12.08,"HUANUCO","PE-3N",207,"CHOQUE",0,1,-98.8,-75.76,"2020","ENERO","04"
"67",16,"LAMBAYEQUE","PE-1N",829,"DESPISTE",0,2,-66.81,-78.1,"2020","ENERO","04"
"68",19.83,"ICA","PE-28A",4,"CHOQUE",0,6,-13.93,-74.27,"2020","ENERO","05"
"69",19.83,"LIMA","PE-1S",21,"CHOQUE",0,2,-11.96,-76.96,"2020","ENERO","05"
"70",13.5,"LIMA","PE-20A",25,"CHOQUE",0,2,-11.96,-76.96,"2020","ENERO","05"
"71",13.67,"JUNIN","PE-5S",45,"CHOQUE",0,0,-10.85,-74.01,"2020","ENERO","05"
"72",10.9,"LIMA","PE-1S",54,"DESPISTE",0,2,-11.96,-76.96,"2020","ENERO","05"
"73",14.5,"LIMA","PE-1N",83,"CHOQUE",0,5,-11.96,-76.96,"2020","ENERO","05"
"74",16.83,"LAMBAYEQUE","PE-1N",91,"CHOQUE",0,1,-66.81,-78.1,"2020","ENERO","05"
"75",4.92,"LIMA","PE-22",96,"CHOQUE",0,3,-11.96,-76.96,"2020","ENERO","05"
"76",14.17,"LIMA","PE-1N",106,"CHOQUE",0,2,-11.96,-76.96,"2020","ENERO","05"
"77",7.33,"LIMA","PE-22",129,"CHOQUE",0,0,-11.96,-76.96,"2020","ENERO","05"
"78",15.75,"PASCO","PE-3N",137,"CHOQUE",0,2,-9.33,-75.74,"2020","ENERO","05"
"79",23.5,"AREQUIPA","PE-34A",158,"DESPISTE",0,0,-15.6,-70.47,"2020","ENERO","05"
"80",13.67,"ANCASH","PE-1N",309,"CHOQUE",3,4,-92.75,-76.44,"2020","ENERO","05"
