FECHA_CORTE;FECHA;HORA;DEPARTAMENTO;CODIGO_VÍA;KILOMETRO;MODALIDAD;FALLECIDOS;HERIDOS;LATITUD;LONGITUD
20211222;20200101;05:40;LIMA;PE-1S;24;DESPISTE;0;0;-12.0464;-77.0427
20211222;20200101;16:30;CAJAMARCA;PE-3N;74;DESPISTE;0;0;-7.1618;-78.5128
20211222;20200101;07:45;PASCO;PE-3N;103;DESPISTE;0;1;-10.6777;-76.2613
20211222;20200101;18:30;CAJAMARCA;PE-08;111;DESPISTE;0;2;-7.1618;-78.5128
20211222;20200101;18:40;LIMA;PE-1N;174;DESPISTE;0;5;-12.0464;-77.0427
20211222;20200101;16:30;ICA;PE-1S;199;CHOQUE;0;1;-14.0755;-75.7342
20211222;20200101;16:35;ICA;PE-1S;201;CHOQUE;1;1;-14.0755;-75.7342
20211222;20200101;21:45;HUANUCO;PE-3N;226;ATROPELLO;0;1;-9.9208;-76.2411
20211222;20200101;23:50;PIURA;PE-1N;232;CHOQUE;0;6;-5.1783;-80.6549
20211222;20200101;02:30;AMAZONAS;PE-5N;263;DESPISTE;0;2;-5.1152;-78.1109
20211222;20200101;23:40;AREQUIPA;PE-1S;521;CHOQUE;0;0;-16.4091;-71.5375
20211222;20200101;17:45;LA LIBERTAD;PE-1N;732;DESPISTE;0;5;-8.1436;-78.4752
20211222;20200101;10:30;LA LIBERTAD;PE-1N;734;DESPISTE;0;2;-8.1436;-78.4752
20211222;20200101;20:50;MOQUEGUA;PE-1S;1166;CHOQUE;0;0;-17.1928;-70.9329
20211222;20200101;16:50;TACNA;PE-1S;1245;DESPISTE;1;0;-18.0066;-70.2463
20211222;20200101;18:15;PUNO;PE-1S;1351;CHOQUE;0;0;-15.8403;-70.0219
20211222;20200102;12:50;AREQUIPA;PE-1SJ;6;DESPISTE;2;16;-16.4091;-71.5375
20211222;20200102;05:45;TACNA;PE-1SD;8;DESPISTE;2;1;-18.0066;-70.2463
20211222;20200102;16:30;AREQUIPA;PE-34J;14;CHOQUE;0;0;-16.4091;-71.5375
20211222;20200102;16:30;AREQUIPA;PE-34E;18;CHOQUE;0;3;-16.4091;-71.5375
20211222;20200102;11:00;AREQUIPA;PE-34A;34;ESPECIAL;0;0;-16.4091;-71.5375
20211222;20200102;10:10;LIMA;PE-1N;39;ATROPELLO;1;0;-12.0464;-77.0427
20211222;20200102;08:00;CAJAMARCA;PE-3N;43;CHOQUE;0;0;-7.1618;-78.5128
20211222;20200102;00:40;LIMA;PE-22;81;CHOQUE;0;1;-12.0464;-77.0427
20211222;20200102;08:25;LIMA;PE-1S;81;DESPISTE;0;0;-12.0464;-77.0427
20211222;20200102;11:20;LIMA;PE-1S;91;DESPISTE;0;1;-12.0464;-77.0427
20211222;20200102;16:00;AREQUIPA;PE-34A;131;CHOQUE;4;3;-16.4091;-71.5375
20211222;20200102;13:00;JUNIN;PE-22;148;CHOQUE;0;3;-11.1582;-75.9926
20211222;20200102;21:52;ANCASH;PE-16;162;CHOQUE;0;0;-9.3251;-77.562
20211222;20200102;17:45;LIMA;PE-1N;191;DESPISTE;0;0;-12.0464;-77.0427
20211222;20200102;23:50;PUNO;PE-34H;226;DESPISTE;3;41;-15.8403;-70.0219
20211222;20200102;00:40;ANCASH;PE-1N;276;CHOQUE;2;6;-9.3251;-77.562
20211222;20200102;15:45;AMAZONAS;PE-08B;294;DESPISTE;0;1;-5.1152;-78.1109
20211222;20200102;06:00;APURIMAC;PE-3S;370;DESPISTE;0;2;-14.0505;-73.0878
20211222;20200102;09:30;SAN MARTIN;PE-5N;579;DESPISTE;0;2;-7.2445;-76.826
20211222;20200102;16:45;MADRE DE DIOS;PE-30C;587;DESPISTE;0;4;-11.7669;-70.812
20211222;20200102;21:20;AREQUIPA;PE-1S;951;CHOQUE;0;0;-16.4091;-71.5375
20211222;20200102;20:15;TACNA;PE-34B;1018;DESPISTE;0;6;-18.0066;-70.2463
20211222;20200103;18:30;LIMA;LM-108;2;DESPISTE;0;2;-12.0464;-77.0427
20211222;20200103;06:50;LIMA;PE-1S;71;CHOQUE;0;2;-12.0464;-77.0427
20211222;20200103;02:25;LIMA;PE-1S;81;CHOQUE;0;4;-12.0464;-77.0427
20211222;20200103;11:40;LIMA;PE-1S;81;CHOQUE;0;0;-12.0464;-77.0427
20211222;20200103;19:00;LAMBAYEQUE;PE-1N;105;CHOQUE;0;3;-6.7198;-79.9081
20211222;20200103;23:45;LIMA;PE-1N;123;CHOQUE;0;1;-12.0464;-77.0427
20211222;20200103;11:29;JUNIN;PE-22;141;CHOQUE;0;0;-11.1582;-75.9926
20211222;20200103;16:00;LIMA;PE-1N;158;CHOQUE;0;2;-12.0464;-77.0427
20211222;20200103;07:30;ICA;PE-1S;192;DESPISTE;0;2;-14.0755;-75.7342
20211222;20200103;01:00;AYACUCHO;PE-28A;233;DESPISTE;0;0;-13.1639;-74.2236
20211222;20200103;06:50;PUNO;PE-34A;244;CHOQUE;0;1;-15.8403;-70.0219
20211222;20200103;10:10;ANCASH;PE-3N;388;DESPISTE;0;1;-9.3251;-77.562
20211222;20200103;01:20;AREQUIPA;PE-1S;953;CHOQUE;0;2;-16.4091;-71.5375
20211222;20200103;23:50;PIURA;PE-1N;1009;DESPISTE;1;0;-5.1783;-80.6549
20211222;20200103;21:30;PUNO;PE-3S;1207;CHOQUE;0;4;-15.8403;-70.0219
20211222;20200104;11:10;ANCASH;PE-16;2;DESPISTE;0;0;-9.3251;-77.562
20211222;20200104;12:30;AREQUIPA;PE-34;32;CHOQUE;0;0;-16.4091;-71.5375
