Código Geografico,REGION,PROVINCIA,DISTRITO,Cobertura IE,Cobertura Estudiantes,Medida Promedio en Lectura,Medida Promedio en Matemática
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,100.0,97.7,628,696
010103,AMAZONAS,CHACHAPOYAS,BALSAS,100.0,87.0,585,683
010104,AMAZONAS,CHACHAPOYAS,CHETO,100.0,92.9,622,727
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,100.0,94.3,545,567
010107,AMAZONAS,CHACHAPOYAS,GRANADA,100.0,100.0,574,653
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,100.0,100.0,521,563
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,100.0,94.2,541,571
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,100.0,93.7,591,669
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,100.0,100.0,645,733
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,100.0,100.0,598,640
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,100.0,83.3,589,631
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,100.0,97.9,587,640
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,100.0,100.0,573,628
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,100.0,100.0,523,538
010201,AMAZONAS,BAGUA,BAGUA,100.0,97.3,584,599
010202,AMAZONAS,BAGUA,ARAMANGO,100.0,98.5,564,562
010203,AMAZONAS,BAGUA,COPALLIN,100.0,98.2,544,582
010204,AMAZONAS,BAGUA,EL PARCO,100.0,100.0,539,539
010205,AMAZONAS,BAGUA,IMAZA,93.3,92.3,498,476
010206,AMAZONAS,BAGUA,LA PECA,100.0,97.7,565,604
010301,AMAZONAS,BONGARÁ,JUMBILLA,100.0,100.0,587,620
010303,AMAZONAS,BONGARÁ,CHURUJA,100.0,100.0,558,526
010304,AMAZONAS,BONGARÁ,COROSHA,100.0,100.0,537,597
010305,AMAZONAS,BONGARÁ,CUISPES,100.0,90.9,542,547
010306,AMAZONAS,BONGARÁ,FLORIDA,100.0,99.3,572,614
010307,AMAZONAS,BONGARÁ,JAZAN,100.0,97.9,608,655
010310,AMAZONAS,BONGARÁ,SHIPASBAMBA,100.0,92.0,607,706
010312,AMAZONAS,BONGARÁ,YAMBRASBAMBA,100.0,96.6,566,605
010401,AMAZONAS,CONDORCANQUI,NIEVA,100.0,87.6,522,520
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,100.0,97.1,487,480
010501,AMAZONAS,LUYA,LAMUD,100.0,100.0,630,667
010502,AMAZONAS,LUYA,CAMPORREDONDO,100.0,97.7,557,593
010503,AMAZONAS,LUYA,COCABAMBA,100.0,83.3,531,536
010504,AMAZONAS,LUYA,COLCAMAR,100.0,93.5,544,576
010505,AMAZONAS,LUYA,CONILA,100.0,100.0,538,539
010507,AMAZONAS,LUYA,LONGUITA,100.0,85.7,557,647
010508,AMAZONAS,LUYA,LONYA CHICO,100.0,100.0,544,516
010509,AMAZONAS,LUYA,LUYA,100.0,98.5,622,706
010511,AMAZONAS,LUYA,MARIA,100.0,100.0,570,612
010512,AMAZONAS,LUYA,OCALLI,100.0,89.9,582,625
010513,AMAZONAS,LUYA,OCUMAL,100.0,98.7,565,595
010514,AMAZONAS,LUYA,PISUQUIA,100.0,99.2,549,596
010515,AMAZONAS,LUYA,PROVIDENCIA,100.0,100.0,544,544
010516,AMAZONAS,LUYA,SAN CRISTOBAL,100.0,100.0,571,593
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,100.0,100.0,583,596
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,100.0,87.5,497,539
010520,AMAZONAS,LUYA,SANTA CATALINA,100.0,98.1,532,565
010521,AMAZONAS,LUYA,SANTO TOMAS,100.0,96.4,542,558
010522,AMAZONAS,LUYA,TINGO,100.0,100.0,576,643
010523,AMAZONAS,LUYA,TRITA,100.0,93.3,551,575
010601,AMAZONAS,RODRÍGUEZ DE MENDOZA,SAN NICOLAS,100.0,98.1,622,694
010602,AMAZONAS,RODRÍGUEZ DE MENDOZA,CHIRIMOTO,100.0,98.3,535,554
010603,AMAZONAS,RODRÍGUEZ DE MENDOZA,COCHAMAL,100.0,100.0,675,803
010604,AMAZONAS,RODRÍGUEZ DE MENDOZA,HUAMBO,100.0,100.0,595,640
010605,AMAZONAS,RODRÍGUEZ DE MENDOZA,LIMABAMBA,100.0,100.0,602,622
010606,AMAZONAS,RODRÍGUEZ DE MENDOZA,LONGAR,100.0,96.6,632,670
010607,AMAZONAS,RODRÍGUEZ DE MENDOZA,MARISCAL BENAVIDES,100.0,100.0,626,669
010609,AMAZONAS,RODRÍGUEZ DE MENDOZA,OMIA,100.0,96.5,558,595
