"DIA            AGUAYTIA
Lote 31-C",,"CNPC PERU
Lote X","MONTERRICO
Lote II","OLYMPIC
Lote XIII","PETROPERÚ
Lote I(T)","PLUSPETROL
Lote 56","PLUSPETROL
Lote 88","REPSOL
Lote 57","SAPET
Lote VII_VI","SAVIA
Lote Z-2B",UNNA ENERGIA,UNNA ENERGIA,TOTAL
1,73558,404365,41453,568959,80439,7087197,21983929,6794148,112475,209706,Lote I      0,"Lote IV7.,026",37363255
2,0,406630,27046,582051,79876,11864746,17270597,6803767,108878,259710,0,7073,37410374
3,0,405837,39261,517681,79235,12346851,14279550,6794638,109020,281896,0,17662,34871631
4,0,403288,5266,344455,80428,12402908,16579065,6805567,108538,225539,0,57914,37012968
5,1048,405554,17371,380598,78617,12376978,13805771,6850819,104517,95013,0,49712,34165998
6,2973,410594,26615,532544,80292,12497990,16144580,7044916,110945,256569,0,63480,37171498
7,127238,410311,36417,559076,80103,12353523,17613915,6981161,114485,294577,0,62846,38633652
8,442580,410877,47035,587166,77657,11760285,18386820,6868432,107293,259338,0,64816,39012299
9,259,413143,33170,572428,76966,12349432,18244379,6832911,101997,280857,0,62166,38967708
10,125735,411784,28249,475741,77381,12274275,18074223,6843136,101969,277282,0,58993,38748768
11,430478,408697,10085,453972,78640,12171450,16520581,6735744,107632,287777,0,59155,37264211
12,0,408669,24818,516371,78550,12077583,15450646,6764962,102111,292520,0,52671,35768901
13,126442,412123,16785,560362,76349,11330084,15636639,6730212,106245,204190,0,54596,35254027
14,446746,415550,20774,548563,78576,6271035,13717778,6813129,112616,267920,0,59919,28752606
15,123662,413086,19297,521697,76762,7685099,13161219,6869558,121451,240351,0,62113,29294295
16,559689,419372,8,523848,78246,11096668,14693968,6800140,123093,278949,0,66734,34640715
17,444394,411104,0,526442,77620,11350284,16271882,6739859,122584,232978,0,60291,36237438
18,310095,420194,19661,560919,79087,10899581,17689167,6745197,122952,285242,0,42993,37175088
19,430039,403883,16902,521881,79212,10619653,19706108,6786636,125642,302000,0,41964,39033920
20,0,395275,30395,529310,79469,12554323,21633850,3089283,125274,311797,0,42378,38791354
21,0,406375,50143,472046,80210,13666444,20479197,2656969,124651,323592,0,36754,38296381
22,0,408584,41177,499185,73636,14146967,17495532,3751784,104772,318941,0,40360,36880938
23,1218,414644,59260,490911,75615,13961631,18082055,3799693,121139,334665,0,39932,37380763
24,2718,415833,31016,435093,77998,13791397,19779347,3778894,120856,337809,0,42941,38813902
25,2435,416286,18,496373,79540,13919372,18635940,3683140,118591,332549,0,42880,37727124
26,0,412945,49937,504203,78482,14104676,18122278,3688973,122895,336265,0,40322,37460976
27,495750,404931,50837,532978,78083,15151333,17344377,3701931,111455,334766,0,40558,38246999
28,122831,417673,44654,506979,78400,15004911,16864279,3733340,114853,313968,0,51999,37253887
29,0,420080,59367,513208,78146,16037785,16257766,2113671,119809,313080,0,70748,35983660
30,0,419457,67977,499152,79438,17248323,14426325,0,116524,315030,0,69021,33241247
TOTAL,4269888,12327144,914994,15334192,2353053,370402784,514351763,163602610,3425262,8404876,0,1470017,1096856583
