Año,País,Equipo,Vía de Clasificación,Valor de mercado (millones de Euros),Partidos Jugados,Partidos Ganados,Partidos Empatados,Partidos Perdidos,Fase Final,Edad Promedio
2016,Argentina,River Plate,Campeón de la Copa Libertadores 2015,105.03,8,4,2,2,2,23.17
2016,Argentina,Boca Juniors,Campeón del Campeonato de Primera División 2015 y de la Copa Argentina 2014-15,80.93,12,5,5,2,4,23.92
2016,Argentina,San Lorenzo,Subcampeón del Campeonato de Primera División 2015,39.73,6,0,4,2,1,25.63
2016,Argentina,Rosario Central,Subcampeón de la Copa Argentina 2014-15,18.35,10,6,2,2,3,24.61
2016,Argentina,Racing Club,Ganador de la Liguilla pre-Libertadores 2015,29.08,8,2,3,3,2,25.14
2016,Argentina,Huracán,Mejor equipo ubicado  en la Copa Sudamericana 2015,13.78,8,2,3,3,2,26.63
2016,Bolivia,Bolívar ,Campeón del Torneo Apertura 2014 y del Torneo Clausura 2015,6.33,6,1,3,2,1,25.15
2016,Bolivia,The Strongest,Mejor equipo ubicado en la tabla acumulada del Campeonato de Primera División 2014-15,2.48,6,2,2,2,1,27.23
2016,Bolivia,Oriente Petrolero,2.º mejor equipo ubicado en la tabla acumulada del Campeonato de Primera División 2014-15,4.10,,,,,,26.45
2016,Brasil,Corinthians,Campeón del Campeonato Brasileño de 2015,80.90,8,4,3,1,2,23.91
2016,Brasil,Palmeiras,Campeón de la Copa de Brasil 2015,85.60,6,2,2,2,1,24.06
2016,Brasil,Atlético Mineiro,Subcampeón del Campeonato Brasileño de 2015,72.85,10,6,2,2,3,25.07
2016,Brasil,Gremio,3.º puesto del Campeonato Brasileño de 2015,58.43,8,3,2,3,2,22.4
2016,Brasil,Sao Paulo,4.º puesto del Campeonato Brasileño de 2015,112.05,12,4,3,5,4,24.12
2016,Chile,Cobresal,Campeón del Torneo Clausura 2015,3.73,6,1,0,5,1,25.03
2016,Chile,Colo-Colo,Campeón del Torneo Apertura 2015,14.95,6,2,3,1,1,24.03
2016,Chile,Universidad de Chile,Campeón de la Copa Chile 2015,20.63,,,,,,24.92
2016,Colombia ,Deportivo Cali,Campeón de Torneo Apertura 2015,14.73,6,0,3,3,1,23.1
2016,Colombia ,Atlético Nacional,Campeón del Torneo Finalización 2015,26.60,14,10,3,1,6,25.41
2016,Colombia ,Santa Fe,Campeón de la Copa Sudamericana 2015,18.28,6,2,2,2,1,24.4
2016,Ecuador,Emelec,Campeón del Campeonato Ecuatoriano de 2015,25.20,6,1,1,4,1,24.03
2016,Ecuador,Liga de Quito,Subcampeón del Campeonato Ecuatoriano de 2015,22.50,6,1,1,4,1,23.53
2016,Ecuador,Independiente del Valle,Mejor equipo ubicado en la tabla acumulada del Campeonato Ecuatoriano de 2015,23.40,14,7,3,4,5,22.17
2016,Paraguay,Cerro Porteño,Campeón en la temporada 2015 con mayor puntaje acumulado,10.50,8,3,1,3,2,25.45
2016,Paraguay,Olimpia,Campeón en la temporada 2015 con menor puntaje acumulado,14.00,6,2,1,3,1,26.78
2016,Paraguay,Guaraní,Mejor equipo ubicado en la tabla acumulada de la temporada 2015,5.98,,,,,,26.93
2016,Perú,Melgar,Campeón del Campeonato Descentralizado 2015,6.70,6,0,0,6,1,24.03
2016,Perú,Sporting Cristal,Subcampeón del Campeonato Descentralizado 2015,10.50,6,1,1,4,1,24.33
2016,Perú,Universidad César Vallejo,3.º puesto del Campeonato Descentralizado 2015,10.58,,,,,,25.70
2016,Uruguay,Nacional (Uru),Campeón del Campeonato Uruguayo 2014-15,24.00,10,2,7,1,3,24.92
2016,Uruguay,Peñarol,Subcampeón del Campeonato Uruguayo 2014-15,16.63,6,1,2,3,1,26.51
