articulo,fecha1,fecha,entrega,TEstimado,TProduccion
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,16-ene-20,20-dic-19,36,63
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,16-ene-20,20-dic-19,36,63
CHOMPA,14-nov-19,16-ene-20,20-dic-19,36,63
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,16-ene-20,20-dic-19,36,63
CHOMPA,14-nov-19,29-nov-19,20-dic-19,36,15
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,16-ene-20,20-dic-19,36,63
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,16-ene-20,20-dic-19,36,63
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,29-nov-19,20-dic-19,36,15
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,16-ene-20,20-dic-19,36,63
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,16-ene-20,20-dic-19,36,63
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,16-ene-20,20-dic-19,36,63
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,16-ene-20,20-dic-19,36,63
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,14-ene-20,20-dic-19,36,61
CHOMPA,14-nov-19,15-ene-20,20-dic-19,36,62
