Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,4,7,5,5,Bandeja,10.00,20.25,21.25,19.75
Aguaymanto,1,1,2,,Kilogramo,1.00,4.15,4.00,4.18
Albaricoque,6,5,6,6,Kilogramo,1.00,3.23,3.38,3.19
Arándano,2,6,4,4,Kilogramo,1.00,6.13,6.75,6.09
Caimito (Selva),3,5,4,,Cajon,10.00,46.50,46.75,46.29
Camu Camu,1,1,1,1,Bolsa,1.00,6.75,8.25,6.52
Carambola,6,10,9,9,Cajon,10.00,20.25,21.25,19.82
Chirimoya Criolla O Huayco,3,3,3,3,Kilogramo,1.00,4.95,4.88,5.01
Chirimoya Cumbe,18,15,16,15,Kilogramo,1.00,4.98,4.93,5.06
Ciruela Nectarina (Importada),10,8,7,6,Cajon,10.00,58.50,58.50,58.82
Ciruela Roja/Criolla,25,20,18,15,Bandeja,15.00,31.75,31.75,32.89
Ciruela Santa Rosa/Nacional,5,5,6,6,Cajon,10.00,33.25,32.75,33.54
Coco,18,7,12,,Unidad,1.50,1.55,1.55,1.59
Cocona,9,16,11,11,Bandeja,15.00,30.50,31.75,28.50
Fresa Sabrina,40,32,34,36,Kilogramo,1.00,3.08,3.00,3.11
Fresa San Andreas,71,62,47,41,Kilogramo,1.00,2.88,2.88,3.00
Granada,14,7,10,,Jaba,16.00,64.25,60.75,65.71
Granadilla (Costa),6,6,7,6,Ciento,8.00,25.75,25.75,26.25
Granadilla (Selva),43,44,32,38,Cajon,13.00,43.75,44.75,42.79
Guanabana (Costa),7,5,6,4,Kilogramo,1.00,5.78,5.88,5.59
Guanabana (Selva),4,5,4,4,Kilogramo,1.00,5.88,6.08,5.72
Higo Maduro,6,8,6,5,Cajon,7.00,47.25,47.75,46.61
Kiwi Importado Chileno,10,6,6,6,Caja,12.00,137.75,138.25,137.54
Lima Dulce,8,3,4,4,Kilogramo,1.00,3.53,3.57,3.53
Limon Dulce - Selva,8,8,7,9,Jaba,20.00,35.25,34.75,34.96
Lucuma Beltran,4,4,4,3,Kilogramo,1.00,4.48,4.38,4.43
Lucuma De Seda,3,3,3,3,Kilogramo,1.00,4.35,4.33,4.33
Mamey,7,5,7,6,Kilogramo,1.00,2.55,2.48,2.60
Mandarina Malvacea,14,14,16,19,Kilogramo,1.00,3.18,3.18,3.17
Mandarina Murcott,21,11,11,10,Kilogramo,1.00,3.15,3.08,3.14
Mandarina Satsuma,65,46,50,40,Kilogramo,1.00,2.15,2.18,2.19
Mandarina Tangerina,17,19,19,19,Jaba,16.00,21.50,21.75,21.36
Mango Criollo,20,17,19,20,Kilogramo,1.00,3.05,2.98,3.10
Mango Edward,70,80,62,57,Kilogramo,1.00,1.55,1.55,1.61
Mango Haden /Hayde,43,39,30,24,Kilogramo,1.00,2.08,2.05,2.10
Mango Kafro,45,40,33,,Kilogramo,1.00,3.00,2.95,3.04
Mango Kent,38,30,23,14,Kilogramo,1.00,2.85,2.83,2.90
Mango Pico De Loro,8,12,13,,Kilogramo,1.00,2.18,2.23,2.15
Manzana Cte/Para Agua,36,24,34,30,Cajon,24.00,23.50,23.50,24.07
Manzana Delicia,101,93,78,81,Cajon,24.00,52.25,51.50,51.86
Manzana Golden,11,13,10,8,Kilogramo,1.00,2.15,2.18,2.13
Manzana Importada,15,11,13,13,Caja,20.00,96.50,96.50,95.46
Manzana Israel,68,56,41,35,Kilogramo,1.00,0.83,0.83,0.81
Manzana Winter,14,9,11,9,Cajon,24.00,44.75,45.25,44.36
Maracuya,17,13,11,8,Kilogramo,1.00,2.58,2.58,2.65
Melocoton Blanquillo,26,29,18,24,Cajon,12.00,34.75,34.25,35.21
Melocoton Durazno Huayco,56,54,32,34,Cajon,12.00,35.25,34.50,36.29
Melon Coquito,50,39,46,40,Bandeja,12.00,11.00,11.75,11.14
Melon Esmeralda,5,4,5,7,Cajon,10.00,16.25,16.25,16.25
Membrillo Criollo,17,6,13,15,Kilogramo,1.00,3.18,3.18,3.20
Membrillo Serrano,22,13,23,17,Cajon,24.00,62.50,63.25,63.43
Naranja Primavera,37,27,24,24,Kilogramo,1.00,1.38,1.38,1.34
Naranja Tangelo Selva,37,42,36,41,Jaba,22.00,49.75,49.75,49.39
Naranja Valencia,137,142,145,139,Jaba,24.00,22.75,22.75,22.39
Naranja Washington Naval,28,20,29,20,Kilogramo,1.00,4.90,4.83,4.93
Noni,3,4,5,5,Kilogramo,1.00,1.75,1.75,1.77
Pacae Criollo,5,3,4,,Kilogramo,1.00,4.88,4.90,4.90
Pacae De Seda,5,2,4,5,Kilogramo,1.00,4.48,4.55,4.45
Palta Choquete,6,8,8,7,Cajon,12.00,25.50,25.50,24.68
Palta Collin Red,7,6,7,7,Cajon,12.00,27.75,27.75,26.89
Palta Criolla,9,10,14,13,Cajon,12.00,22.75,23.25,22.39
Palta Dedo,3,3,3,2,Kilogramo,1.00,5.45,5.45,5.49
Palta Fuerte,45,69,34,55,Kilogramo,1.00,7.00,7.08,6.95
Palta Hall,11,9,13,12,Cajon,12.00,24.50,24.25,23.61
Palta Hass,10,6,,11,Kilogramo,1.00,5.33,5.33,5.16
Palta Linda,6,5,8,8,Cajon,12.00,34.50,34.25,33.46
Palta Naval,4,4,6,,Kilogramo,1.00,5.93,5.93,5.92
Papaya (Costa),14,12,13,,Cajon,12.00,16.75,17.75,16.93
Papaya (Selva),164,176,161,164,Cajon,12.00,18.75,20.25,18.11
Pepino Rayado O Melon,37,31,35,32,Kilogramo,1.00,2.08,2.08,2.09
Pera Agua Criolla,11,11,,8,Jaba,16.00,30.75,30.75,31.18
Pera Agua Italiana,8,9,,7,Jaba,16.00,32.25,32.25,31.89
Pera Agua Packam Importado,14,12,12,13,Caja,20.00,97.00,96.50,95.96
Piña Criolla (Selva),48,45,48,47,Cajon,12.00,14.75,15.50,14.46
Piña Golden,49,54,59,63,Bandeja,12.00,32.50,36.50,30.46
Piña Hawaiana,46,40,46,48,Kilogramo,1.00,1.58,1.65,1.53
Pitahaya,6,5,6,7,Kilogramo,1.00,10.75,10.75,8.75
Platano Bellaco,73,103,63,47,Ciento,35.00,52.75,54.00,52.89
Platano Bizcocho,63,66,69,64,Bandeja,14.00,18.75,19.25,18.32
Platano Isla,81,101,91,84,Ciento,25.00,43.75,43.75,42.79
Platano Manzano,27,26,21,19,Jaba,16.00,20.75,20.75,20.79
Platano Morado,16,14,13,10,Cajon,12.00,29.25,28.75,29.11
Platano Palillo,67,74,48,46,Ciento,35.00,53.25,52.50,52.07
Platano Seda Congo,101,61,58,52,Ciento,20.00,36.75,36.75,38.04
Platano Seda (Selva),20,16,,23,Ciento,25.00,35.75,35.75,36.68
Sandia,86,75,71,75,Kilogramo,1.00,0.80,0.80,0.84
Sanki,,6,,5,Kilogramo,1.00,7.50,7.38,6.75
Tamarindo (Con Cascara),1,1,1,1,Kilogramo,1.00,4.75,4.60,4.79
Tamarindo (Sin Cascara),,,,,Kilogramo,1.00,5.65,5.65,5.77
Toronja Costa,20,17,14,12,Jaba,22.00,43.50,43.75,43.71
Toronja Selva,9,12,11,10,Cajon,12.00,24.75,25.25,24.64
Tumbo,3,5,4,5,Kilogramo,1.00,2.38,2.35,2.39
Tuna Amarilla,10,11,13,14,Kilogramo,1.00,2.05,2.03,2.10
Tuna Blanca,13,12,12,12,Kilogramo,1.00,2.05,2.08,2.07
Tuna Morada/Rosada,8,8,10,12,Kilogramo,1.00,2.08,2.03,2.10
Uva Alfonso Lavalett,16,16,26,30,Jaba,12.00,28.75,28.75,28.50
Uva Arra,15,11,,,Jaba,12.00,37.25,36.75,37.25
Uva Borgoña,6,5,5,4,Jaba,12.00,28.75,28.75,28.50
Uva Flame,12,8,11,9,Jaba,12.00,20.75,20.75,21.36
Uva Fley,12,10,11,8,Jaba,12.00,25.25,25.25,26.71
Uva Italia,19,19,22,15,Jaba,12.00,28.75,28.50,28.71
Uva Palestina,9,10,11,9,Jaba,12.00,31.00,30.75,31.79
Uva Pirovano,8,7,11,7,Jaba,12.00,32.25,32.25,31.46
Uva Quebranta/Moscatel,8,7,7,,Jaba,12.00,27.75,27.75,28.25
Uva Red Globe,55,58,52,60,Jaba,12.00,25.50,25.75,25.25
Uva Rosada,9,5,10,8,Jaba,12.00,31.25,30.75,32.79
Uva Superior,10,8,9,10,Jaba,12.00,41.50,41.50,43.36
Uva Zafiro,8,8,8,7,Jaba,12.00,25.25,25.50,25.04
Yacon (Llacon),3,3,3,2,Kilogramo,1.00,4.28,4.08,4.49
