Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,7,4,6,,Bandeja,10,34.75,34.75,33.14,Abril,MMF2,16
Aguaymanto,3,1,2,,Kilogramo,1,4.58,4.58,4.61,Abril,MMF2,
Anona,5,9,4,,Cajon,10,29.25,28.75,30.57,Abril,MMF2,
Arándano,4,1,,3,Kilogramo,1,22.25,21.75,20.89,Abril,MMF2,
Camu Camu,1,1,1,,Bolsa,1,5.5,5.5,5.71,Abril,MMF2,
Carambola,14,9,11,9,Cajon,10,18.75,18.75,19.29,Abril,MMF2,
Chirimoya Criolla O Huayco,4,3,,3,Kilogramo,1,4.38,4.38,4.44,Abril,MMF2,
Chirimoya Cumbe,16,16,15,11,Kilogramo,1,4.43,4.35,4.46,Abril,MMF2,
Ciruela Nectarina (Importada),10,9,,7,Cajon,10,63.5,63.25,63.51,Abril,MMF2,
Ciruela Roja/Criolla,13,15,14,11,Bandeja,15,38.75,38.75,37.36,Abril,MMF2,
Coco,16,12,13,,Unidad,1.5,1.65,1.63,1.61,Abril,MMF2,
Cocona,12,12,13,9,Bandeja,15,26.25,26.25,27.79,Abril,MMF2,
Fresa Sabrina,6,7,6,5,Kilogramo,1,5.85,5.85,5.85,Abril,MMF2,
Fresa San Andreas,35,33,33,22,Kilogramo,1,5.65,5.73,5.66,Abril,MMF2,
Granada,32,46,36,24,Jaba,16,18.75,18.75,20.18,Abril,MMF2,
Granadilla (Costa),6,11,5,,Ciento,8,19.25,19.5,18.79,Abril,MMF2,
Granadilla (Selva),59,48,48,,Cajon,13,33.25,32.25,32.39,Abril,MMF2,
Guanabana (Costa),10,6,7,,Kilogramo,1,3.28,3.33,3.43,Abril,MMF2,
Guanabana (Selva),7,5,6,,Kilogramo,1,3.38,3.38,3.6,Abril,MMF2,
Guayaba,4,5,5,,Cajon,10,36.25,36.5,36.04,Abril,MMF2,
Higo Maduro,10,6,8,6,Cajon,7,45.5,45.25,46.18,Abril,MMF2,
Kake/Kaki,4,6,4,,Cajon,10,71.25,70.75,74.25,Abril,MMF2,
Kiwi Importado Chileno,10,13,7,8,Caja,12,105.75,105.75,110.14,Abril,MMF2,
Lima Dulce,7,4,5,,Kilogramo,1,3.13,3.08,3.16,Abril,MMF2,
Limon Dulce - Selva,10,11,9,,Jaba,20,27.5,27.25,29.32,Abril,MMF2,
Lucuma Beltran,5,4,4,,Kilogramo,1,3.73,3.68,3.62,Abril,MMF2,
Lucuma De Seda,4,2,3,,Kilogramo,1,3.88,3.88,3.72,Abril,MMF2,
Lulo,4,5,4,,Cajon,10,26.75,26.75,26.96,Abril,MMF2,
Mamey,7,5,5,,Kilogramo,1,2.83,2.78,2.88,Abril,MMF2,
Mandarina Primosole,59,46,33,,Kilogramo,1,1.43,1.28,1.62,Abril,MMF2,
Mandarina Satsuma,94,83,95,84,Kilogramo,1,1.43,1.43,1.47,Abril,MMF2,
Mandarina Tangerina,14,24,18,,Jaba,16,15.5,15.5,15.64,Abril,MMF2,
Mango Criollo,16,21,17,25,Kilogramo,1,2.73,2.83,2.63,Abril,MMF2,
Mango Edward,8,5,8,,Kilogramo,1,4.88,4.95,4.67,Abril,MMF2,
Mango Haden /Hayde,4,3,6,6,Kilogramo,1,3.68,3.85,3.49,Abril,MMF2,
Mango Kafro,14,17,8,7,Kilogramo,1,2.33,2.35,2.27,Abril,MMF2,
Mango Kent,32,44,44,37,Kilogramo,1,2.83,2.85,2.74,Abril,MMF2,
Mango Rosado,15,10,14,11,Kilogramo,1,2.13,2.15,2,Abril,MMF2,
Manzana Cte/Para Agua,33,23,29,18,Cajon,24,21.75,22.5,21.39,Abril,MMF2,
Manzana Delicia,102,70,87,69,Cajon,24,58.5,58.75,57.5,Abril,MMF2,
Manzana Golden,9,8,7,7,Kilogramo,1,1.78,1.88,1.72,Abril,MMF2,
Manzana Importada,15,14,14,14,Caja,20,87.5,87.5,89.93,Abril,MMF2,
Manzana Israel,23,27,39,31,Kilogramo,1,1.58,1.65,1.38,Abril,MMF2,
Manzana Winter,10,14,11,9,Cajon,24,45.5,46.25,45.89,Abril,MMF2,
Maracuya,17,18,16,11,Kilogramo,1,1.23,1.13,1.22,Abril,MMF2,
Melocoton Blanquillo,18,21,15,16,Cajon,12,33.5,33.25,32.36,Abril,MMF2,
Melocoton Durazno Huayco,48,46,36,26,Cajon,12,33.75,33.75,32.54,Abril,MMF2,
Melon Coquito,59,61,41,33,Bandeja,12,13.5,14.75,14,Abril,MMF2,
Membrillo Criollo,16,11,13,8,Kilogramo,1,2.33,2.28,2.26,Abril,MMF2,
Membrillo Serrano,9,22,19,,Cajon,24,56.5,56.25,55.93,Abril,MMF2,
Naranja Primavera,23,12,15,13,Kilogramo,1,1.65,1.63,1.69,Abril,MMF2,
Naranja Tangelo Selva,45,76,59,,Jaba,22,37.5,37.25,38.36,Abril,MMF2,
Naranja Valencia,142,163,153,,Jaba,24,23.5,23.75,24.82,Abril,MMF2,
Naranja Washington Naval,15,17,13,11,Kilogramo,1,3.93,3.83,4.12,Abril,MMF2,
Noni,6,7,6,,Kilogramo,1,1.53,1.48,1.44,Abril,MMF2,
Pacae Criollo,4,6,6,,Kilogramo,1,3.93,3.93,4.09,Abril,MMF2,
Pacae De Seda,4,7,6,,Kilogramo,1,3.78,3.78,3.89,Abril,MMF2,
Palta Antillana,9,8,7,,Cajon,12,23.25,23.5,22.89,Abril,MMF2,
Palta Choquete,7,10,,,Cajon,12,22.5,22.5,22.36,Abril,MMF2,
Palta Criolla,13,16,12,,Cajon,12,21.5,21.25,21.36,Abril,MMF2,
Palta Dedo,3,3,3,,Kilogramo,1,4.45,4.38,4.45,Abril,MMF2,
Palta Fuerte,62,55,57,38,Kilogramo,1,4.73,4.63,4.83,Abril,MMF2,
Palta Hall,11,15,13,,Cajon,12,22.75,22.75,22.32,Abril,MMF2,
Palta Hass,4,9,10,8,Kilogramo,1,4.2,4.2,4.16,Abril,MMF2,
Palta Linda,8,6,12,8,Cajon,12,33.75,33.75,33.25,Abril,MMF2,
Papaya (Costa),17,12,12,,Cajon,12,17.75,18.75,17.64,Abril,MMF2,
Papaya (Selva),184,200,184,124,Cajon,12,19.5,19.5,18.61,Abril,MMF2,
Pepino Rayado O Melon,9,12,12,16,Kilogramo,1,3.45,3.45,3.44,Abril,MMF2,
Pera Agua Packam Importado,16,17,13,13,Caja,20,90.75,90.75,91.71,Abril,MMF2,
Pina Criolla (Selva),52,48,46,,Cajon,12,14.75,14.5,15.14,Abril,MMF2,
Pina Golden,70,70,70,,Bandeja,12,24.25,23.75,25.46,Abril,MMF2,
Pina Hawaiana,50,49,46,,Kilogramo,1,1.1,1.05,1.09,Abril,MMF2,
Pitahaya,6,11,5,,Kilogramo,1,9.75,8.75,7.95,Abril,MMF2,
Platano Bellaco,93,101,89,61,Ciento,35,63.75,63.75,63.96,Abril,MMF2,
Platano Bizcocho,81,97,84,64,Bandeja,14,16,16,16.57,Abril,MMF2,
Platano Isla,118,105,93,,Ciento,25,52.25,52.25,53.96,Abril,MMF2,
Platano Manzano,32,27,21,16,Jaba,16,20.75,20.75,19.57,Abril,MMF2,
Platano Morado,10,17,10,7,Cajon,12,35.25,34.75,34.07,Abril,MMF2,
Platano Palillo,81,94,61,41,Ciento,35,61.25,61.5,61.29,Abril,MMF2,
Platano Seda Congo,79,94,89,,Ciento,20,36,35.75,36.71,Abril,MMF2,
Platano Seda (Selva),34,17,20,,Ciento,25,35.25,35.25,36.04,Abril,MMF2,
Rambután,5,4,,,Kilogramo,1,13.5,13.25,13.75,Abril,MMF2,
Sandia,129,99,94,75,Kilogramo,1,0.88,0.88,0.87,Abril,MMF2,
Sanki,7,4,,,Kilogramo,1,5.53,5.48,5.72,Abril,MMF2,
Tamarindo (Con Cascara),1,1,,,Kilogramo,1,4.6,4.6,4.66,Abril,MMF2,
Tamarindo (Sin Cascara),,,,,Kilogramo,1,6.1,6.15,6.11,Abril,MMF2,
Toronja Costa,15,12,16,,Kilogramo,1,2.55,2.53,2.52,Abril,MMF2,
Toronja Selva,11,24,11,9,Cajon,12,23.5,23.25,23.18,Abril,MMF2,
Tumbo,4,5,3,,Kilogramo,1,2.48,2.48,2.51,Abril,MMF2,
Tuna Amarilla,16,15,12,9,Kilogramo,1,2.23,2.23,2.12,Abril,MMF2,
Tuna Blanca,12,10,10,8,Kilogramo,1,2.43,2.43,2.38,Abril,MMF2,
Tuna Morada/Rosada,13,13,12,8,Kilogramo,1,2.23,2.23,2.07,Abril,MMF2,
Uva Alfonso Lavalett,9,11,10,11,Jaba,12,27.75,26.75,29.36,Abril,MMF2,
Uva Borgoña,4,,4,3,Jaba,12,28.5,29.25,28.46,Abril,MMF2,
Uva Italia,10,24,12,18,Jaba,12,23.75,23.5,22.11,Abril,MMF2,
Uva Palestina,6,6,8,,Jaba,12,32.75,33.75,32.96,Abril,MMF2,
Uva Pirovano,11,14,9,8,Jaba,12,36.25,36.75,35.64,Abril,MMF2,
Uva Quebranta/Moscatel,6,6,5,4,Jaba,12,28.25,,28.71,Abril,MMF2,
Uva Red Globe,32,65,35,36,Jaba,12,23.75,23,24.82,Abril,MMF2,
Uva Rosada,8,6,7,7,Jaba,12,28.75,29.25,29.82,Abril,MMF2,
Uva Sultanina,5,,6,5,Cajon,12,35.25,,35.14,Abril,MMF2,
Uva Superior,12,9,9,7,Jaba,12,45.75,45.5,46.07,Abril,MMF2,
Yacon (Llacon),2,2,2,,Kilogramo,1,3.15,3.13,3.34,Abril,MMF2,
Zapote,8,6,6,,Cajon,10,24.75,24.75,25.07,Abril,MMF2,
