Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,6,4,5,4,Bandeja,10.00,31.50,32.25,30.79
Aguaymanto,2,3,2,2,Kilogramo,1.00,3.65,3.58,3.72
Albaricoque,4,5,5,7,Kilogramo,1.00,3.08,3.15,2.99
Arándano,1,2,3,4,Kilogramo,1.00,8.25,8.50,6.50
Caimito (Selva),7,2,4,,Cajon,10.00,32.25,32.50,31.86
Camu Camu,1,1,1,1,Bolsa,1.00,4.70,5.38,5.24
Carambola,14,6,11,12,Cajon,10.00,15.75,16.75,15.96
Chirimoya Criolla O Huayco,2,3,3,4,Kilogramo,1.00,3.93,3.98,3.64
Chirimoya Cumbe,10,9,13,16,Kilogramo,1.00,4.08,4.18,3.77
Ciruela Nectarina (Importada),7,8,7,8,Cajon,10.00,56.50,55.75,56.39
Ciruela Santa Rosa/Nacional,7,5,6,7,Cajon,10.00,32.25,32.75,31.79
Coco,15,12,14,14,Unidad,1.50,1.53,1.58,1.54
Cocona,10,10,11,16,Bandeja,15.00,24.75,24.25,23.86
Fresa Cama Rosa,13,8,11,11,Kilogramo,1.00,3.43,3.35,3.57
Fresa Sabrina,28,25,18,,Kilogramo,1.00,3.48,3.48,3.64
Fresa San Andreas,29,42,34,40,Kilogramo,1.00,3.10,3.08,3.23
Granadilla (Costa),6,13,7,9,Ciento,8.00,22.25,22.25,22.21
Granadilla (Selva),50,45,40,49,Cajon,13.00,34.50,34.25,33.89
Guanabana (Costa),4,5,5,5,Kilogramo,1.00,3.83,3.75,3.82
Guanabana (Selva),8,4,5,4,Kilogramo,1.00,4.18,4.25,4.17
Guayaba,,5,,,Cajon,10.00,43.75,43.75,43.75
Higo Maduro,2,3,3,,Cajon,7.00,50.75,52.25,50.25
Kiwi Importado Chileno,8,7,7,7,Caja,12.00,80.75,80.75,84.39
Lima Dulce,6,4,6,7,Kilogramo,1.00,2.38,2.45,2.36
Limon Dulce - Selva,12,10,8,10,Jaba,20.00,24.50,23.75,24.00
Lucuma Beltran,2,4,3,3,Kilogramo,1.00,4.48,4.55,4.52
Lucuma De Seda,2,4,3,4,Kilogramo,1.00,4.58,4.73,4.57
Mamey,10,6,,,Kilogramo,1.00,4.88,4.93,4.88
Mandarina Clementina,9,7,8,13,Kilogramo,1.00,1.55,1.53,1.54
Mandarina Dancy,7,7,16,22,Kilogramo,1.00,1.48,1.48,1.47
Mandarina Fortuna,17,16,,,Kilogramo,1.00,1.55,1.53,1.55
Mandarina Invicta,36,8,15,,Kilogramo,1.00,1.53,1.48,1.49
Mandarina Malvacea,43,57,45,39,Kilogramo,1.00,1.58,1.55,1.53
Mandarina Murcott,32,43,40,45,Kilogramo,1.00,1.48,1.50,1.46
Mandarina Nova,31,30,42,33,Kilogramo,1.00,1.53,1.48,1.45
Mandarina Pixie,19,26,13,,Kilogramo,1.00,1.48,1.53,1.47
Mandarina Rio De Oro,31,41,17,,Kilogramo,1.00,1.95,1.90,1.99
Mandarina Satsuma,10,10,10,31,Kilogramo,1.00,1.78,1.78,1.67
Mandarina Tangerina,21,18,19,19,Jaba,16.00,10.25,10.25,9.82
Mango Criollo,30,26,21,23,Kilogramo,1.00,3.43,3.45,3.51
Mango Edward,37,24,25,14,Kilogramo,1.00,4.70,4.63,5.08
Mango Haden /Hayde,27,11,16,9,Kilogramo,1.00,4.93,4.88,5.24
Mango Kafro,13,11,10,7,Kilogramo,1.00,5.93,5.88,6.07
Mango Kent,12,14,,9,Kilogramo,1.00,5.73,5.68,5.81
