Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,3,7,7,7,Bandeja,10.00,17.75,17.75,18.18
Aguaymanto,1,2,2,2,Kilogramo,1.00,5.15,5.08,5.26
Albaricoque,7,10,7,7,Kilogramo,1.00,3.28,3.28,3.20
Arándano,3,3,3,2,Kilogramo,1.00,5.38,5.50,5.84
Camu Camu,1,1,,1,Bolsa,1.00,9.75,9.63,10.21
Carambola,16,14,10,10,Cajon,10.00,14.75,14.75,14.96
Chirimoya Criolla O Huayco,,4,,4,Kilogramo,1.00,6.03,6.00,5.93
Chirimoya Cumbe,14,13,14,14,Kilogramo,1.00,6.18,6.18,6.07
Ciruela Nectarina (Importada),9,11,8,8,Cajon,10.00,56.75,56.75,56.25
Ciruela Roja/Criolla,8,6,8,,Bandeja,15.00,35.00,34.75,35.57
Coco,13,20,12,13,Unidad,1.50,1.58,1.58,1.53
Cocona,11,16,14,16,Bandeja,15.00,16.75,17.25,16.54
Fresa Sabrina,20,43,39,39,Kilogramo,1.00,2.75,2.73,2.74
Fresa San Andreas,45,49,46,54,Kilogramo,1.00,2.85,2.88,2.78
Granadilla (Costa),7,3,8,7,Ciento,8.00,21.25,21.50,21.64
Granadilla (Selva),47,52,47,49,Cajon,13.00,27.75,28.50,27.43
Guanabana (Costa),2,5,,5,Kilogramo,1.00,4.85,4.88,4.86
Guanabana (Selva),5,5,4,5,Kilogramo,1.00,5.13,5.13,5.12
Higo Maduro,3,4,2,2,Cajon,7.00,52.75,53.25,52.50
Kiwi Importado Chileno,,8,,6,Caja,12.00,118.00,118.25,116.89
Lima Dulce,,6,,6,Kilogramo,1.00,2.95,2.88,2.94
Limon Dulce - Selva,10,10,11,11,Jaba,20.00,31.75,32.50,31.64
Lucuma Beltran,5,3,,3,Kilogramo,1.00,4.58,4.63,4.56
Lucuma De Seda,4,4,4,3,Kilogramo,1.00,4.68,4.68,4.70
Mamey,8,10,7,7,Kilogramo,1.00,3.50,3.48,3.67
Mandarina Fortuna,3,14,8,9,Kilogramo,1.00,1.88,1.93,1.77
Mandarina Invicta,5,9,9,18,Kilogramo,1.00,2.03,2.00,1.89
Mandarina Kara,12,15,11,,Kilogramo,1.00,1.65,1.73,1.62
Mandarina Kori,14,14,13,16,Kilogramo,1.00,1.68,1.73,1.63
Mandarina Malvacea,39,36,34,42,Kilogramo,1.00,1.93,1.95,1.85
Mandarina Murcott,10,31,17,20,Kilogramo,1.00,2.13,2.08,2.10
Mandarina Rio De Oro,43,33,35,36,Kilogramo,1.00,2.08,2.08,1.96
Mandarina Satsuma,34,42,25,,Kilogramo,1.00,1.90,1.88,2.01
Mandarina Tangerina,14,18,15,19,Jaba,16.00,18.25,17.75,17.93
Mango Criollo,6,11,10,11,Kilogramo,1.00,3.95,4.08,3.90
Mango Edward,70,66,57,57,Kilogramo,1.00,2.05,2.03,2.12
Mango Haden /Hayde,44,46,44,43,Kilogramo,1.00,2.68,2.55,2.78
Mango Kafro,6,10,9,9,Kilogramo,1.00,3.75,3.68,3.85
Mango Kent,25,25,25,18,Kilogramo,1.00,3.68,3.53,3.83
Mango Pico De Loro,22,20,14,9,Kilogramo,1.00,3.28,3.23,3.35
Manzana Cte/Para Agua,25,28,26,36,Cajon,24.00,29.00,29.00,29.11
Manzana Delicia,89,104,87,92,Cajon,24.00,55.75,55.75,57.57
Manzana Golden,8,10,8,8,Kilogramo,1.00,2.53,2.53,2.51
Manzana Importada,11,16,14,16,Caja,20.00,91.50,90.75,92.29
Manzana Israel,49,47,41,34,Kilogramo,1.00,1.13,1.13,1.15
Manzana Winter,9,10,11,12,Cajon,24.00,46.25,45.50,46.21
Maracuya,11,12,10,11,Kilogramo,1.00,2.75,2.85,2.69
Melocoton Blanquillo,11,22,19,18,Cajon,12.00,43.25,42.75,41.75
Melocoton Durazno Huayco,31,29,28,33,Cajon,12.00,44.50,44.00,43.82
Melon Coquito,42,20,44,35,Bandeja,12.00,13.75,13.75,13.04
Membrillo Criollo,14,18,14,14,Kilogramo,1.00,2.18,2.18,2.15
Membrillo Serrano,20,18,20,18,Cajon,24.00,53.25,52.75,52.54
Naranja Primavera,31,30,43,41,Kilogramo,1.00,1.28,1.25,1.33
Naranja Tangelo Selva,55,64,49,57,Jaba,22.00,44.75,45.50,44.57
Naranja Valencia,148,170,142,160,Jaba,24.00,21.00,20.75,21.04
Naranja Washington Naval,12,7,12,15,Kilogramo,1.00,5.25,5.28,5.17
Nispero De Agua,16,15,20,36,Cajon,12.00,26.50,26.25,25.61
Noni,3,5,,6,Kilogramo,1.00,1.53,1.55,1.56
Pacae De Seda,1,3,2,3,Kilogramo,1.00,4.85,4.93,4.84
