Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,7,7,7,4,Bandeja,10.00,23.50,23.50,23.21
Aguaymanto,2,2,2,2,Kilogramo,1.00,4.50,4.48,4.56
Albaricoque,4,6,5,5,Kilogramo,1.00,3.30,3.35,3.19
Arándano,2,2,2,2,Kilogramo,1.00,5.25,4.75,5.93
Camu Camu,2,2,2,1,Bolsa,1.00,5.50,5.50,5.93
Carambola,7,7,7,7,Cajon,10.00,21.00,20.75,22.46
Chirimoya Criolla O Huayco,3,3,3,,Kilogramo,1.00,4.30,4.33,4.26
Chirimoya Cumbe,13,7,13,13,Kilogramo,1.00,4.45,4.48,4.51
Ciruela Nectarina (Importada),7,6,7,6,Cajon,10.00,55.50,55.50,55.71
Ciruela Roja/Criolla,23,14,28,11,Bandeja,15.00,27.00,26.75,28.21
Ciruela Santa Rosa/Nacional,,3,,5,Cajon,10.00,35.00,35.25,33.68
Coco,6,5,9,10,Unidad,1.50,1.63,1.58,1.59
Cocona,11,8,9,8,Bandeja,15.00,29.00,28.75,29.43
Fresa Aroma,12,5,8,12,Kilogramo,1.00,2.75,2.80,2.65
Fresa San Andreas,57,16,47,59,Kilogramo,1.00,2.98,3.00,2.76
Granada,7,10,8,,Jaba,16.00,72.67,71.50,79.35
Granadilla (Costa),9,4,9,6,Ciento,8.00,24.00,23.75,23.93
Granadilla (Selva),43,35,33,28,Cajon,13.00,28.75,28.75,28.50
Guanabana (Costa),3,3,4,4,Kilogramo,1.00,4.70,4.68,4.71
Guanabana (Selva),3,2,3,3,Kilogramo,1.00,5.15,5.15,5.10
Higo Maduro,2,1,,3,Cajon,7.00,37.00,37.25,36.50
Kiwi Importado Chileno,9,6,7,6,Caja,12.00,86.25,86.25,83.86
Lima Dulce,4,4,5,4,Kilogramo,1.00,3.20,3.23,3.22
Limon Dulce - Selva,8,4,7,6,Jaba,20.00,34.00,34.25,34.04
Lucuma Beltran,2,2,3,4,Kilogramo,1.00,4.50,4.48,4.61
Lucuma De Seda,3,3,3,4,Kilogramo,1.00,4.40,4.35,4.43
Mamey,12,6,8,7,Kilogramo,1.00,3.20,3.18,3.13
Mandarina Malvacea,27,17,29,13,Kilogramo,1.00,2.13,2.15,2.08
Mandarina Murcott,8,8,9,8,Kilogramo,1.00,2.20,2.18,2.08
Mandarina Rio De Oro,14,12,18,26,Kilogramo,1.00,2.35,2.38,2.30
Mandarina Satsuma,50,43,52,23,Kilogramo,1.00,2.80,2.78,2.81
Mandarina Tangerina,8,7,8,16,Jaba,16.00,17.00,17.25,17.14
Mango Criollo,61,40,41,15,Kilogramo,1.00,1.85,1.83,1.85
Mango Edward,112,49,94,52,Bandeja,17.00,15.50,15.50,15.64
Mango Haden /Hayde,26,17,35,36,Kilogramo,1.00,1.03,1.03,1.05
Mango Kafro,8,11,14,13,Bandeja,17.00,17.00,16.75,17.64
Mango Kent,9,9,16,17,Kilogramo,1.00,1.30,1.28,1.30
Mango Pico De Loro,14,11,11,10,Jaba,16.00,21.00,20.75,22.36
Manzana Cte/Para Agua,43,22,33,21,Cajon,24.00,21.25,21.50,21.04
Manzana Delicia,53,43,72,60,Cajon,24.00,47.50,46.25,49.21
Manzana Golden,7,5,7,7,Kilogramo,1.00,2.15,2.18,2.10
Manzana Importada,14,11,15,13,Caja,20.00,96.50,96.50,96.93
Manzana Israel,34,52,60,43,Kilogramo,1.00,0.78,0.78,0.78
Manzana Winter,13,8,9,10,Cajon,24.00,45.00,44.75,45.93
Maracuya,11,13,9,10,Kilogramo,1.00,2.20,2.18,2.26
Melocoton Blanquillo,19,9,17,13,Cajon,12.00,42.00,41.75,41.46
Melocoton Durazno Huayco,39,28,25,23,Cajon,12.00,44.00,43.75,43.86
Melon Coquito,48,20,29,27,Bandeja,12.00,9.50,9.25,10.14
Melon Esmeralda,6,11,8,,Cajon,10.00,17.00,16.75,17.21
Membrillo Criollo,13,5,15,9,Kilogramo,1.00,2.30,2.33,2.31
Membrillo Serrano,24,20,23,18,Cajon,24.00,56.50,56.50,56.32
Naranja Primavera,30,17,26,23,Kilogramo,1.00,1.40,1.43,1.38
Naranja Tangelo Selva,56,16,45,24,Jaba,22.00,35.25,35.50,35.32
Naranja Valencia,171,44,138,73,Jaba,24.00,20.75,20.75,20.43
Naranja Washington Naval,22,13,21,17,Kilogramo,1.00,2.65,2.63,2.67
Noni,6,5,5,5,Kilogramo,1.00,1.60,1.58,1.56
Pacae De Seda,,6,,3,Kilogramo,1.00,4.40,4.43,4.39
Palta Criolla,20,29,,10,Cajon,12.00,19.25,19.50,19.25
Palta Fuerte,45,18,45,38,Kilogramo,1.00,4.75,4.55,5.03
Palta Hall,13,12,,11,Cajon,12.00,22.00,22.50,21.57
Palta Hass,6,6,10,10,Kilogramo,1.00,4.70,4.68,4.78
Palta Linda,10,8,,6,Cajon,12.00,26.50,27.50,27.54
Palta Naval,6,6,8,9,Kilogramo,1.00,5.50,5.53,5.53
Palta Queen,5,5,6,5,Kilogramo,1.00,5.40,5.35,5.41
Papaya (Costa),10,10,13,11,Cajon,12.00,16.50,18.50,13.93
Papaya (Selva),160,119,169,141,Cajon,12.00,17.50,21.25,14.68
Pepino Rayado O Melon,28,56,46,23,Kilogramo,1.00,1.35,1.38,1.36
Pera Agua Italiana,4,11,8,,Jaba,16.00,44.00,43.75,45.50
Pera Agua Packam Importado,15,12,14,11,Caja,20.00,84.00,83.75,82.39
Piña Criolla (Selva),47,39,49,39,Cajon,12.00,13.75,14.00,13.82
Piña Golden,77,69,65,54,Bandeja,12.00,22.50,22.50,22.07
Piña Hawaiana,50,38,45,40,Kilogramo,1.00,1.63,1.63,1.60
Pitahaya,6,5,5,4,Kilogramo,1.00,18.00,18.25,18.14
Platano Bellaco,100,89,81,64,Ciento,35.00,55.75,56.50,56.07
Platano Bizcocho,101,80,90,61,Bandeja,14.00,13.50,14.00,13.64
Platano Isla,104,78,103,80,Ciento,25.00,36.50,36.75,37.04
Platano Manzano,14,14,19,16,Jaba,16.00,17.00,16.75,16.75
Platano Morado,11,8,10,10,Cajon,12.00,25.50,26.25,24.54
Platano Palillo,56,33,42,44,Ciento,35.00,56.50,56.00,56.14
Platano Seda Congo,30,45,54,51,Ciento,20.00,25.75,26.50,25.71
Platano Seda (Selva),27,16,26,26,Ciento,25.00,24.75,25.75,24.86
Sandia,67,36,81,87,Kilogramo,1.00,0.83,0.83,0.83
Tamarindo (Con Cascara),,2,,1,Kilogramo,1.00,4.65,4.65,4.63
Tamarindo (Sin Cascara),,,,,Kilogramo,1.00,5.65,5.65,5.66
Toronja Costa,14,11,16,12,Jaba,22.00,27.00,26.75,27.64
Toronja Selva,5,6,9,10,Cajon,12.00,17.00,16.75,17.96
Tumbo,3,4,,,Kilogramo,1.00,2.45,2.48,2.40
Tuna Amarilla,13,13,14,7,Kilogramo,1.00,2.30,2.28,2.35
Tuna Blanca,16,8,15,8,Kilogramo,1.00,2.28,2.25,2.31
Tuna Morada/Rosada,8,8,12,7,Kilogramo,1.00,2.30,2.28,2.34
Uva Alfonso Lavalett,30,36,18,13,Jaba,12.00,21.75,22.75,21.32
Uva Borgoña,8,7,7,4,Jaba,12.00,24.50,24.50,24.75
Uva Flame,16,12,14,12,Jaba,12.00,19.00,18.75,18.93
Uva Fley,13,11,13,11,Jaba,12.00,20.00,19.75,21.25
Uva Italia,19,32,13,10,Jaba,12.00,23.50,23.75,23.54
Uva Palestina,7,10,8,8,Jaba,12.00,27.00,26.75,27.75
Uva Pirovano,14,11,12,10,Jaba,12.00,37.50,37.25,38.50
Uva Red Globe,49,57,37,22,Jaba,12.00,23.75,23.75,23.46
Uva Rosada,14,10,10,7,Jaba,12.00,29.00,29.25,29.04
Uva Superior,14,10,9,6,Jaba,12.00,29.00,28.75,29.36
Yacon (Llacon),3,4,3,3,Kilogramo,1.00,1.60,1.58,1.66
