Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,7,7,5,6,Bandeja,10.00,18.50,18.50,19.36
Aguaymanto,1,2,2,2,Kilogramo,1.00,5.43,5.38,5.20
Albaricoque,7,6,5,6,Kilogramo,1.00,3.15,3.15,3.01
Arándano,3,2,3,3,Kilogramo,1.00,6.13,5.75,6.75
Camu Camu,1,1,1,1,Bolsa,1.00,11.00,10.75,11.89
Carambola,13,5,11,10,Cajon,10.00,14.75,14.75,14.64
Chirimoya Criolla O Huayco,4,2,4,3,Kilogramo,1.00,5.93,5.88,5.86
Chirimoya Cumbe,15,14,15,12,Kilogramo,1.00,6.08,6.08,5.99
Ciruela Nectarina (Importada),8,7,7,6,Cajon,10.00,55.75,55.50,56.21
Ciruela Roja/Criolla,6,9,5,,Bandeja,15.00,36.25,35.75,37.00
Coco,21,9,15,9,Unidad,1.50,1.50,1.48,1.57
Cocona,18,10,14,14,Bandeja,15.00,16.25,15.75,17.46
Fresa Sabrina,45,40,39,28,Kilogramo,1.00,2.73,2.73,2.71
Fresa San Andreas,41,39,43,41,Kilogramo,1.00,2.73,2.73,2.69
Granadilla (Costa),6,10,5,6,Ciento,8.00,22.25,21.75,21.36
Granadilla (Selva),50,48,40,36,Cajon,13.00,27.75,27.25,27.32
Guanabana (Costa),5,4,4,3,Kilogramo,1.00,4.93,4.88,4.86
Guanabana (Selva),6,3,5,4,Kilogramo,1.00,5.13,5.13,5.06
Higo Maduro,3,2,3,2,Cajon,7.00,52.25,52.25,51.32
Kiwi Importado Chileno,6,7,5,6,Caja,12.00,110.75,118.25,109.25
Lima Dulce,5,3,4,4,Kilogramo,1.00,3.00,2.95,2.88
Limon Dulce - Selva,14,11,10,9,Jaba,20.00,31.25,31.25,30.57
Lucuma Beltran,3,2,3,3,Kilogramo,1.00,4.58,4.58,4.58
Lucuma De Seda,3,2,,3,Kilogramo,1.00,4.75,4.75,4.75
Mamey,6,4,4,4,Kilogramo,1.00,3.93,3.88,4.06
Mandarina Fortuna,10,5,12,11,Kilogramo,1.00,1.75,1.73,1.75
Mandarina Invicta,14,8,15,12,Kilogramo,1.00,1.85,1.88,1.81
Mandarina Kara,11,10,12,,Kilogramo,1.00,1.63,1.60,1.60
Mandarina Kori,17,14,15,16,Kilogramo,1.00,1.63,1.60,1.63
Mandarina Malvacea,31,32,41,39,Kilogramo,1.00,1.80,1.83,1.77
Mandarina Murcott,21,14,23,15,Kilogramo,1.00,2.08,2.05,2.02
Mandarina Rio De Oro,32,32,31,34,Kilogramo,1.00,1.95,1.95,1.92
Mandarina Satsuma,28,14,18,,Kilogramo,1.00,2.08,2.08,2.12
Mandarina Tangerina,22,10,16,15,Jaba,16.00,17.50,17.50,17.04
Mango Criollo,14,9,11,10,Kilogramo,1.00,3.88,3.88,3.91
Mango Edward,70,52,53,43,Kilogramo,1.00,2.20,2.20,2.28
Mango Haden /Hayde,57,41,36,28,Kilogramo,1.00,2.85,2.83,2.95
Mango Kafro,11,12,11,8,Kilogramo,1.00,3.98,3.93,4.04
Mango Kent,32,33,22,14,Kilogramo,1.00,3.95,3.93,4.05
Mango Pico De Loro,14,11,12,10,Kilogramo,1.00,3.38,3.38,3.45
Manzana Cte/Para Agua,24,30,22,18,Cajon,24.00,29.50,29.25,29.61
Manzana Delicia,103,91,82,64,Cajon,24.00,58.50,58.75,58.43
Manzana Golden,8,10,9,7,Kilogramo,1.00,2.55,2.48,2.53
Manzana Importada,17,12,14,13,Caja,20.00,92.25,93.25,91.46
Manzana Israel,43,38,43,38,Kilogramo,1.00,1.23,1.15,1.28
Manzana Winter,12,12,10,9,Cajon,24.00,45.75,46.25,46.07
Maracuya,11,15,10,8,Kilogramo,1.00,2.58,2.65,2.42
Melocoton Blanquillo,24,21,17,18,Cajon,12.00,40.75,40.75,40.96
Melocoton Durazno Huayco,29,26,26,25,Cajon,12.00,43.25,43.50,43.11
Melon Coquito,33,24,44,29,Bandeja,12.00,12.75,13.00,13.25
Membrillo Criollo,15,13,12,12,Kilogramo,1.00,2.15,2.15,2.10
Membrillo Serrano,18,19,20,17,Cajon,24.00,51.75,51.75,52.18
Naranja Miniola,11,13,16,15,Kilogramo,1.00,2.05,2.05,2.03
Naranja Primavera,40,45,42,30,Kilogramo,1.00,1.38,1.38,1.39
Naranja Tangelo Costa,7,10,9,9,Kilogramo,1.00,2.15,2.15,2.11
Naranja Tangelo Selva,47,41,43,43,Jaba,22.00,44.25,44.25,43.89
Naranja Valencia,148,133,140,121,Jaba,24.00,20.75,21.25,20.46
Naranja Washington Naval,12,14,12,10,Kilogramo,1.00,5.00,5.08,4.89
Nispero De Agua,27,22,30,31,Cajon,12.00,23.75,24.25,22.39
Noni,4,5,6,5,Kilogramo,1.00,1.58,1.63,1.56
Pacae De Seda,3,2,4,3,Kilogramo,1.00,4.88,4.88,4.89
Palta Choquete,5,5,7,6,Cajon,12.00,23.50,23.50,23.07
Palta Collin Red,4,6,,,Cajon,12.00,30.50,30.50,31.17
Palta Criolla,10,8,9,8,Cajon,12.00,23.25,22.75,23.00
Palta Dedo,3,3,3,,Kilogramo,1.00,6.08,6.08,5.78
Palta Fuerte,31,36,36,31,Kilogramo,1.00,6.65,6.65,6.58
Palta Hall,9,9,10,9,Cajon,12.00,24.50,24.50,24.14
Palta Hass,11,11,9,7,Kilogramo,1.00,4.58,4.58,4.48
Palta Linda,15,12,9,9,Cajon,12.00,33.75,33.75,34.36
Palta Naval,13,9,11,10,Kilogramo,1.00,3.88,3.93,3.92
Palta Queen,8,5,6,5,Kilogramo,1.00,4.18,4.18,4.11
Papaya (Costa),14,10,13,14,Cajon,12.00,17.25,17.75,16.93
Papaya (Selva),215,135,176,164,Cajon,12.00,18.75,19.50,18.50
Pepino Rayado O Melon,33,19,30,25,Kilogramo,1.00,1.45,1.48,1.35
