Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,3,3,3,3,Bandeja,10.00,37.50,37.33,38.14
Aguaymanto,1,2,2,2,Kilogramo,1.00,3.33,3.27,3.32
Albaricoque,7,8,7,7,Kilogramo,1.00,3.23,3.23,3.20
Arándano,1,1,,1,Kilogramo,1.00,8.75,8.75,9.14
Camu Camu,1,1,1,1,Bolsa,1.00,5.50,5.50,5.30
Carambola,8,11,10,14,Cajon,10.00,10.75,10.75,11.29
Chirimoya Criolla O Huayco,4,4,4,4,Kilogramo,1.00,3.38,3.60,3.36
Chirimoya Cumbe,24,19,18,19,Kilogramo,1.00,3.80,3.88,3.64
Ciruela Nectarina (Importada),8,11,7,8,Cajon,10.00,56.50,56.50,56.79
Ciruela Santa Rosa/Nacional,12,9,8,9,Cajon,10.00,36.25,36.25,37.21
Coco,17,13,,12,Unidad,1.50,1.70,1.77,1.71
Cocona,11,14,11,15,Bandeja,15.00,15.75,16.50,16.26
Fresa Aroma,14,14,,,Kilogramo,1.00,4.08,4.40,4.24
Fresa San Andreas,44,43,37,48,Kilogramo,1.00,4.15,4.23,4.37
Granada,24,20,16,26,Jaba,16.00,27.75,28.25,27.54
Granadilla (Costa),11,7,8,8,Ciento,8.00,22.25,21.67,21.82
Granadilla (Selva),48,47,42,43,Cajon,13.00,29.25,29.25,29.93
Guanabana (Costa),5,5,,7,Kilogramo,1.00,3.88,3.93,3.80
Guanabana (Selva),4,4,3,4,Kilogramo,1.00,4.23,4.23,4.10
Guayaba,4,4,,5,Cajon,10.00,33.25,33.25,32.25
Higo Maduro,3,2,2,2,Cajon,7.00,58.25,57.50,58.89
Kiwi Importado Chileno,7,5,7,7,Caja,12.00,68.25,67.50,68.64
Lima Dulce,8,5,5,5,Kilogramo,1.00,2.28,2.35,2.28
Limon Dulce  Selva,10,12,9,10,Jaba,20.00,23.50,23.75,23.37
Lucuma Beltran,4,4,,2,Kilogramo,1.00,4.83,4.75,4.89
Lucuma De Seda,4,4,,3,Kilogramo,1.00,4.83,4.78,4.84
Mandarina Clementina,24,18,17,25,Kilogramo,1.00,1.53,1.45,1.53
Mandarina Dancy,50,36,36,,Kilogramo,1.00,1.45,1.38,1.49
Mandarina Malvacea,53,60,47,67,Kilogramo,1.00,1.35,1.38,1.39
Mandarina Murcott,25,28,39,30,Kilogramo,1.00,1.38,1.48,1.34
Mandarina Nova,35,29,31,36,Kilogramo,1.00,1.45,1.45,1.44
Mandarina Satsuma,28,27,27,39,Kilogramo,1.00,1.55,1.55,1.55
Mandarina Tangerina,22,18,21,24,Jaba,16.00,11.00,11.25,11.64
Mango Criollo,34,26,18,19,Kilogramo,1.00,2.78,2.78,2.83
Mango Edward,27,29,18,8,Bandeja,17.00,65.75,64.75,68.43
Mango Haden /Hayde,7,10,12,9,Kilogramo,1.00,3.65,3.65,3.77
Mango Tommy Aki,7,8,8,8,Kilogramo,1.00,4.08,4.05,4.19
Manzana Cte/Para Agua,48,24,29,26,Cajon,24.00,34.25,34.25,34.50
Manzana Delicia,144,91,88,99,Cajon,24.00,55.75,55.25,57.00
Manzana Golden,7,20,7,11,Kilogramo,1.00,2.25,2.33,2.37
Manzana Importada,14,16,14,14,Caja,20.00,80.75,78.33,81.68
Manzana Israel,25,37,25,25,Kilogramo,1.00,2.75,2.73,2.70
Manzana Winter,10,12,10,11,Cajon,24.00,47.75,48.50,47.29
Maracuya,16,8,,16,Kilogramo,1.00,1.63,1.70,1.61
Melocoton Blanquillo,16,23,15,24,Cajon,12.00,51.50,51.00,51.71
Melocoton Durazno Huayco,28,35,20,36,Cajon,12.00,53.75,53.75,53.18
Melon Coquito,31,30,,32,Bandeja,12.00,16.25,16.50,16.29
Melon Esmeralda,18,5,,9,Cajon,10.00,18.75,19.00,18.32
Membrillo Criollo,11,7,12,14,Kilogramo,1.00,2.48,2.48,2.45
