Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,4,3,4,5,Bandeja,10.00,24.50,24.25,23.36
Aguaymanto,2,2,2,2,Kilogramo,1.00,3.15,3.13,3.22
Albaricoque,3,4,4,5,Kilogramo,1.00,3.38,3.38,3.42
Anona,7,3,4,4,Cajon,10.00,30.75,31.50,31.44
Arándano,2,1,,2,Kilogramo,1.00,14.25,14.75,11.36
Camu Camu,1,1,1,1,Bolsa,1.00,5.75,4.50,5.29
Carambola,13,13,8,10,Cajon,10.00,13.25,12.75,13.21
Chirimoya Criolla O Huayco,2,1,2,3,Kilogramo,1.00,4.38,4.38,4.51
Chirimoya Cumbe,20,20,16,14,Kilogramo,1.00,4.73,4.63,4.81
Ciruela Nectarina (Importada),7,6,8,10,Cajon,10.00,52.00,51.75,52.54
Ciruela Roja/Criolla,26,27,12,18,Bandeja,15.00,22.25,21.75,24.68
Ciruela Santa Rosa/Nacional,7,4,5,6,Cajon,10.00,36.50,36.25,36.21
Coco,8,7,10,14,Unidad,1.50,1.65,1.63,1.68
Cocona,16,11,10,10,Bandeja,15.00,23.75,23.75,24.01
Fresa San Andreas,46,46,27,17,Kilogramo,1.00,5.73,5.73,5.62
Granada,46,46,39,50,Jaba,16.00,16.75,16.50,16.96
Granadilla (Costa),6,10,6,6,Ciento,8.00,20.25,20.50,20.64
Granadilla (Selva),45,27,45,49,Cajon,13.00,25.50,29.00,26.43
Guanabana (Costa),2,2,5,7,Kilogramo,1.00,3.63,3.58,3.79
Guanabana (Selva),3,3,3,5,Kilogramo,1.00,4.53,4.60,4.74
Guayaba,4,4,,,Cajon,10.00,33.75,33.50,33.92
Higo Maduro,15,13,7,5,Cajon,7.00,37.50,36.75,38.61
Kake/Kaki,2,3,,,Cajon,10.00,76.50,76.50,77.42
Kiwi Importado Chileno,8,6,8,,Caja,12.00,86.50,86.25,87.25
Lima Dulce,6,3,4,6,Kilogramo,1.00,2.38,2.35,2.36
Limon Dulce  Selva,5,3,7,8,Jaba,20.00,25.75,25.75,26.43
Lucuma Beltran,2,1,2,3,Kilogramo,1.00,4.08,4.18,4.09
Lucuma De Seda,2,2,2,3,Kilogramo,1.00,3.80,3.93,3.87
Mamey,5,5,,6,Kilogramo,1.00,2.88,2.93,2.82
Mandarina Satsuma,150,163,116,137,Kilogramo,1.00,1.65,1.63,1.61
Mandarina Tangerina,27,21,22,18,Jaba,16.00,13.75,15.75,14.11
Mango Criollo,39,26,23,22,Kilogramo,1.00,2.18,2.23,2.18
Mango Edward,14,15,,19,Bandeja,17.00,47.25,47.25,46.14
Mango Haden /Hayde,10,6,9,11,Kilogramo,1.00,2.38,2.35,2.35
Mango Kafro,28,19,12,12,Bandeja,17.00,28.25,28.75,27.75
Mango Kent,50,44,23,30,Kilogramo,1.00,1.88,1.88,1.86
Mango Rosado,46,78,48,56,Jaba,20.00,24.75,26.50,25.23
Manzana Cte/Para Agua,40,28,26,28,Cajon,24.00,21.50,21.25,22.64
Manzana Delicia,159,128,120,102,Cajon,24.00,53.25,53.00,53.68
Manzana Golden,7,5,7,7,Kilogramo,1.00,1.83,1.83,1.90
Manzana Importada,13,10,13,13,Caja,20.00,83.25,83.75,85.89
Manzana Israel,14,40,34,43,Kilogramo,1.00,1.58,1.58,1.48
Manzana Winter,9,10,10,11,Cajon,24.00,45.75,45.50,45.89
Maracuya,12,8,16,18,Kilogramo,1.00,1.48,1.45,1.51
Melocoton Blanquillo,21,18,12,13,Cajon,12.00,40.75,40.75,37.80
Melocoton Durazno Huayco,36,30,30,37,Cajon,12.00,41.75,42.50,39.36
Melon Coquito,38,36,41,55,Bandeja,12.00,15.75,15.75,14.50
Membrillo Criollo,5,9,10,13,Kilogramo,1.00,2.38,2.35,2.35
Membrillo Serrano,19,22,18,22,Cajon,24.00,56.75,56.50,56.68
Naranja Primavera,35,32,25,27,Kilogramo,1.00,1.35,1.35,1.42
Naranja Tangelo Selva,83,47,60,67,Jaba,22.00,29.00,29.75,29.64
Naranja Valencia,178,122,149,165,Jaba,24.00,22.50,23.75,23.93
Naranja Washington Naval,10,14,16,20,Kilogramo,1.00,2.75,2.75,2.81
Noni,5,11,5,6,Kilogramo,1.00,1.75,1.68,1.85
Pacae Criollo,4,3,4,6,Kilogramo,1.00,3.48,3.38,3.69
Pacae De Seda,5,3,5,6,Kilogramo,1.00,2.98,2.88,3.07
Palta Choquete,10,6,12,,Cajon,12.00,16.50,17.50,16.00
Palta Criolla,17,8,13,13,Cajon,12.00,15.50,17.00,15.43
Palta Dedo,2,2,2,3,Kilogramo,1.00,3.08,3.08,3.15
Palta Fuerte,33,69,42,57,Kilogramo,1.00,2.88,2.88,2.79
