Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,4,4,5,4,Bandeja,10.00,36.50,36.75,35.96
Aguaymanto,2,2,2,2,Kilogramo,1.00,4.20,4.20,4.20
Albaricoque,7,6,6,3,Kilogramo,1.00,3.33,3.33,3.43
Anona,5,5,4,4,Cajon,10.00,23.75,24.25,23.46
Arándano,2,1,,1,Kilogramo,1.00,23.75,23.50,24.96
Camu Camu,1,1,1,1,Bolsa,1.00,5.50,6.25,5.75
Carambola,13,10,13,11,Cajon,10.00,13.75,13.75,13.61
Chirimoya Criolla O Huayco,4,4,4,3,Kilogramo,1.00,2.43,2.43,2.40
Chirimoya Cumbe,15,13,13,13,Kilogramo,1.00,2.48,2.40,2.44
Ciruela Nectarina (Importada),10,8,8,7,Cajon,10.00,56.50,55.75,56.04
Ciruela Roja/Criolla,12,11,12,14,Bandeja,15.00,30.75,30.75,29.93
Ciruela Santa Rosa/Nacional,9,7,6,,Cajon,10.00,37.25,37.25,38.07
Coco,8,9,9,9,Unidad,1.50,1.58,1.58,1.61
Cocona,17,16,17,13,Bandeja,15.00,18.75,19.25,21.18
Datil Melado,6,2,,,Cajon,10.00,47.25,47.25,48.14
Fresa San Andreas,31,19,27,28,Kilogramo,1.00,5.65,5.65,5.53
Granada,18,24,23,24,Caja Madera,12.00,20.25,19.75,19.32
Granadilla (Costa),10,5,8,6,Ciento,8.00,19.25,19.50,19.04
Granadilla (Selva),37,27,35,34,Cajon,13.00,27.75,27.75,26.75
Guanabana (Costa),6,3,4,4,Kilogramo,1.00,3.98,4.00,4.08
Guanabana (Selva),4,6,5,4,Kilogramo,1.00,4.08,4.08,4.20
Guayaba,6,7,6,5,Cajon,10.00,23.75,23.50,24.07
Higo Maduro,3,3,3,5,Cajon,7.00,41.25,41.25,40.29
Kake/Kaki,5,4,5,4,Cajon,10.00,49.25,49.25,50.61
