Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaymanto,3,2,3,2,Kilogramo,1.00,4.20,4.20,4.15
Albaricoque,5,7,6,6,Kilogramo,1.00,2.75,2.73,2.54
Arándano,2,3,2,2,Kilogramo,1.00,5.38,5.75,5.72
Camu Camu,1,1,1,,Bolsa,1.00,5.50,5.50,6.07
Carambola,13,9,11,11,Cajon,10.00,12.50,12.50,12.93
Chirimoya Criolla O Huayco,3,3,3,4,Kilogramo,1.00,3.35,3.38,3.28
Chirimoya Cumbe,14,13,13,13,Kilogramo,1.00,3.50,3.50,3.43
Ciruela Nectarina (Importada),9,10,8,7,Cajon,10.00,56.25,56.50,56.54
Ciruela Santa Rosa/Nacional,9,7,8,7,Cajon,10.00,28.50,28.50,29.00
Coco,7,6,10,9,Unidad,1.50,1.58,1.63,1.58
Cocona,18,11,15,12,Bandeja,15.00,21.25,20.75,22.61
Datil Melado,4,2,3,4,Cajon,10.00,53.50,53.75,52.64
Fresa San Andreas,40,42,30,26,Kilogramo,1.00,5.43,5.30,5.81
Granada,10,20,13,12,Caja Madera,12.00,46.75,47.25,46.25
Granadilla (Costa),7,13,7,8,Ciento,8.00,22.50,22.50,22.93
Granadilla (Selva),46,34,39,31,Cajon,13.00,33.00,33.00,34.64
Guanabana (Costa),5,4,4,8,Kilogramo,1.00,2.58,2.58,2.50
Guanabana (Selva),6,4,6,6,Kilogramo,1.00,2.95,2.95,2.90
Guayaba,2,2,2,,Cajon,10.00,29.25,29.50,28.93
Higo Maduro,2,1,3,3,Cajon,7.00,45.50,45.75,43.46
Kake/Kaki,4,5,3,4,Cajon,10.00,50.75,50.75,49.29
Kiwi Importado Chileno,8,10,6,7,Caja,12.00,87.50,93.25,82.18
Lima Dulce,8,5,6,4,Kilogramo,1.00,2.38,2.38,2.40
Limon Dulce - Selva,14,9,10,9,Jaba,20.00,22.75,23.25,23.75
Lucuma Beltran,6,4,4,4,Kilogramo,1.00,4.38,4.38,4.34
Lucuma De Seda,4,2,3,3,Kilogramo,1.00,4.08,4.15,4.12
Mamey,5,4,5,,Kilogramo,1.00,4.38,4.38,4.24
Mandarina Clementina,23,17,20,30,Kilogramo,1.00,1.48,1.45,1.48
Mandarina Malvacea,47,50,43,26,Kilogramo,1.00,1.48,1.48,1.54
Mandarina Murcott,36,32,35,33,Kilogramo,1.00,1.45,1.40,1.46
Mandarina Nova,27,21,25,,Kilogramo,1.00,1.48,1.48,1.49
Mandarina Satsuma,53,30,37,45,Kilogramo,1.00,1.53,1.53,1.55
Mandarina Tangerina,17,11,17,14,Jaba,16.00,10.75,10.75,10.64
Mango Criollo,22,14,13,17,Kilogramo,1.00,4.08,4.13,4.19
Mango Edward,11,7,11,8,Kilogramo,1.00,5.63,5.20,5.77
Mango Haden /Hayde,7,6,6,,Kilogramo,1.00,5.25,5.50,5.38
Mango Kafro,7,9,7,8,Kilogramo,1.00,6.25,6.50,6.34
Mango Kent,4,6,4,9,Kilogramo,1.00,5.85,5.85,5.91
Mango Tommy Aki,7,5,6,9,Kilogramo,1.00,6.50,6.25,5.89
Manzana Cte/Para Agua,26,12,23,35,Cajon,24.00,38.75,38.75,36.86
Manzana Delicia,90,53,79,84,Cajon,24.00,44.25,43.50,45.54
Manzana Golden,9,6,7,9,Kilogramo,1.00,2.38,2.38,2.23
Manzana Importada,17,14,15,13,Caja,20.00,88.50,89.00,87.82
Manzana Israel,25,17,23,21,Kilogramo,1.00,2.45,2.48,2.34
Manzana Winter,9,8,10,9,Cajon,24.00,43.75,43.75,42.96
Maracuya,12,11,13,13,Kilogramo,1.00,1.43,1.43,1.41
Melocoton Blanquillo,19,19,18,22,Cajon,12.00,34.50,34.50,35.54
Melocoton Durazno Huayco,33,39,33,30,Cajon,12.00,34.25,34.75,34.57
Melon Coquito,40,27,32,35,Bandeja,12.00,17.50,17.75,17.50
Membrillo Criollo,16,10,12,14,Kilogramo,1.00,1.88,1.88,1.94
Membrillo Serrano,22,19,22,18,Cajon,24.00,49.25,49.25,49.57
Naranja Miniola,70,47,50,26,Kilogramo,1.00,1.38,1.38,1.40
Naranja Primavera,34,36,21,20,Kilogramo,1.00,1.48,1.45,1.51
Naranja Tangelo Costa,51,22,43,,Kilogramo,1.00,1.50,1.48,1.55
Naranja Tangelo Selva,82,66,59,49,Jaba,22.00,22.00,22.50,22.75
Naranja Valencia,148,151,133,130,Jaba,24.00,14.25,14.25,14.89
Naranja Washington Naval,22,17,21,22,Kilogramo,1.00,2.10,2.10,2.15
Naranjita China Kin Kan,3,3,2,4,Kilogramo,1.00,4.38,4.38,4.61
Noni,5,4,4,,Kilogramo,1.00,1.58,1.58,1.64
Pacae Criollo,3,4,,5,Kilogramo,1.00,3.93,3.88,3.83
Palta Choquete,6,6,7,7,Cajon,12.00,19.25,19.00,18.54
Palta Collin Red,8,6,,,Cajon,12.00,20.00,20.50,20.58
Palta Criolla,11,12,10,9,Cajon,12.00,20.50,20.75,20.68
