Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,3,4,3,4,Bandeja,10.00,39.75,39.75,39.01
Aguaymanto,2,2,2,2,Kilogramo,1.00,3.38,3.40,3.63
Albaricoque,4,4,4,5,Kilogramo,1.00,3.88,3.85,3.86
Anona,4,5,5,6,Cajon,10.00,28.75,28.00,27.86
Arándano,3,9,5,4,Kilogramo,1.00,17.50,18.25,17.21
Camu Camu,1,1,1,1,Bolsa,1.00,4.65,4.65,4.91
Carambola,15,16,14,15,Cajon,10.00,13.25,13.25,13.86
Chirimoya Criolla O Huayco,2,5,4,4,Kilogramo,1.00,3.83,3.83,3.92
Chirimoya Cumbe,13,15,16,15,Kilogramo,1.00,3.75,3.73,3.90
Ciruela Nectarina (Importada),10,10,9,10,Cajon,10.00,58.25,57.75,58.79
Ciruela Roja/Criolla,,11,,15,Bandeja,15.00,46.25,46.25,45.43
Coco,9,12,13,12,Unidad,1.50,1.43,1.50,1.39
Cocona,16,19,16,17,Bandeja,15.00,26.75,26.75,24.79
Datil Melado,4,5,4,,Cajon,10.00,43.25,43.25,43.93
Fresa Sabrina,11,8,9,8,Kilogramo,1.00,5.70,5.88,5.64
Fresa San Andreas,27,35,31,36,Kilogramo,1.00,5.80,5.88,5.65
Granada,15,14,22,23,Jaba,16.00,26.25,26.50,25.18
Granadilla (Costa),4,10,7,8,Ciento,8.00,18.00,18.25,18.18
Granadilla (Selva),48,56,49,47,Cajon,13.00,27.25,27.25,27.86
Guanabana (Costa),4,6,5,8,Kilogramo,1.00,2.85,2.85,2.88
Guanabana (Selva),4,5,6,5,Kilogramo,1.00,3.15,3.15,3.12
Guayaba,5,7,5,5,Cajon,10.00,26.25,25.75,26.39
Higo Maduro,4,6,6,7,Cajon,7.00,48.25,47.50,47.71
Kake/Kaki,3,5,4,4,Cajon,10.00,47.25,46.75,49.14
Kiwi Importado Chileno,8,6,8,7,Caja,12.00,91.50,87.50,92.11
Lima Dulce,3,2,4,5,Kilogramo,1.00,2.58,2.55,2.61
Limon Dulce - Selva,5,8,10,12,Jaba,20.00,21.50,21.50,21.89
