Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,3,7,3,,Bandeja,10.00,37.75,38.25,38.00
Aguaymanto,,2,,,Kilogramo,1.00,4.35,4.28,4.33
Albaricoque,5,7,,,Kilogramo,1.00,3.03,2.78,3.02
Arándano,2,2,,,Kilogramo,1.00,13.75,13.25,13.96
Camu Camu,1,1,1,,Bolsa,1.00,6.25,6.25,6.82
Carambola,10,7,11,,Cajon,10.00,11.75,11.75,13.00
Chirimoya Criolla O Huayco,3,3,3,,Kilogramo,1.00,2.65,2.78,2.62
Chirimoya Cumbe,14,9,14,,Kilogramo,1.00,2.93,3.08,2.84
Ciruela Nectarina (Importada),7,5,7,,Cajon,10.00,55.75,56.50,55.96
Ciruela Roja/Criolla,5,5,,,Bandeja,15.00,35.50,36.25,35.57
Ciruela Santa Rosa/Nacional,4,7,,,Cajon,10.00,36.00,35.25,35.93
Coco,11,7,,,Unidad,1.50,1.58,1.58,1.62
Cocona,8,8,13,,Bandeja,15.00,22.00,21.50,23.57
Datil Melado,5,3,,,Cajon,10.00,48.50,48.25,45.84
Fresa San Andreas,30,21,24,,Kilogramo,1.00,6.85,6.93,6.67
Granada,14,18,14,,Caja Madera,12.00,36.75,37.75,32.54
Granadilla (Costa),5,7,6,,Ciento,8.00,24.00,24.25,24.18
Granadilla (Selva),35,23,42,,Cajon,13.00,34.00,35.75,33.96
Guanabana (Costa),5,7,7,,Kilogramo,1.00,3.85,3.58,4.13
Guanabana (Selva),4,6,4,,Kilogramo,1.00,4.08,3.75,4.19
Guayaba,5,3,5,,Cajon,10.00,25.00,23.50,24.57
Higo Maduro,2,2,,,Cajon,7.00,36.25,37.25,39.36
Kake/Kaki,5,4,4,,Cajon,10.00,46.75,46.75,46.04
Kiwi Importado Chileno,4,5,,,Caja,12.00,77.25,76.75,77.18
Lima Dulce,6,4,6,,Kilogramo,1.00,2.68,2.75,2.67
Limon Dulce - Selva,8,7,10,,Jaba,20.00,23.75,24.75,24.00
Lucuma Beltran,4,4,3,,Kilogramo,1.00,4.43,4.35,4.46
Lucuma De Seda,3,3,3,,Kilogramo,1.00,4.00,3.93,4.03
Mamey,6,4,,,Kilogramo,1.00,3.70,3.68,3.71
Mandarina Clementina,63,13,70,,Kilogramo,1.00,1.63,1.63,1.61
