Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,7,4,4,4,Bandeja,10.00,36.25,36.75,36.71
Aguaymanto,2,2,2,2,Kilogramo,1.00,3.20,3.20,3.19
Albaricoque,8,8,6,8,Kilogramo,1.00,3.38,3.43,3.37
Arándano,1,1,,2,Kilogramo,1.00,15.75,16.75,16.50
Camu Camu,1,1,1,1,Bolsa,1.00,4.75,4.75,5.13
Carambola,9,16,11,14,Cajon,10.00,10.25,9.50,10.69
Chirimoya Criolla O Huayco,2,3,,3,Kilogramo,1.00,3.38,3.38,3.49
Chirimoya Cumbe,16,23,18,17,Kilogramo,1.00,3.55,3.55,3.74
Ciruela Nectarina (Importada),10,8,8,9,Cajon,10.00,58.75,58.75,58.07
Ciruela Santa Rosa/Nacional,7,7,7,7,Cajon,10.00,43.50,42.50,44.25
Coco,14,23,17,18,Unidad,1.50,1.78,1.65,1.78
Cocona,11,19,15,18,Bandeja,15.00,16.75,15.75,16.36
Datil Melado,5,5,4,3,Cajon,10.00,47.25,48.25,46.61
Fresa San Andreas,62,54,39,31,Kilogramo,1.00,5.58,5.53,5.89
Granada,48,47,37,28,Jaba,16.00,23.50,22.50,22.32
Granadilla (Costa),7,5,6,6,Ciento,8.00,23.25,22.75,23.07
Granadilla (Selva),40,39,35,42,Cajon,13.00,35.50,35.75,33.14
Guanabana (Costa),10,5,5,5,Kilogramo,1.00,2.65,2.73,2.57
Guanabana (Selva),5,4,4,5,Kilogramo,1.00,3.08,3.15,3.12
Guayaba,4,5,5,6,Cajon,10.00,26.00,26.75,25.71
Higo Maduro,2,2,2,2,Cajon,7.00,46.75,47.50,46.93
Kake/Kaki,4,9,5,4,Cajon,10.00,63.75,64.75,63.11
Kiwi Importado Chileno,10,8,8,10,Caja,12.00,60.75,60.75,58.54
Lima Dulce,6,6,5,8,Kilogramo,1.00,2.18,2.08,2.27
Limon Dulce  Selva,10,8,8,10,Jaba,20.00,25.25,24.25,25.00
Lucuma Beltran,2,1,2,2,Kilogramo,1.00,4.25,4.38,4.26
Lucuma De Seda,4,4,5,3,Kilogramo,1.00,4.08,4.08,4.12
Mandarina Clementina,43,23,23,74,Kilogramo,1.00,1.13,1.15,1.15
Mandarina Malvacea,40,49,,,Kilogramo,1.00,1.38,1.38,1.38
Mandarina Murcott,34,14,22,,Kilogramo,1.00,1.28,1.30,1.28
Mandarina Nova,44,51,39,,Kilogramo,1.00,1.33,1.33,1.32
Mandarina Satsuma,48,66,75,133,Kilogramo,1.00,1.35,1.38,1.35
Mandarina Tangerina,23,22,20,25,Jaba,16.00,11.75,12.25,11.64
Mango Criollo,19,43,28,25,Kilogramo,1.00,3.18,3.18,3.27
Mango Edward,9,11,6,6,Bandeja,17.00,65.75,66.25,65.29
