Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,7,5,6,5,Bandeja,10.00,29.25,28.75,28.39
Aguaymanto,2,1,2,2,Kilogramo,1.00,4.13,4.08,4.15
Albaricoque,6,6,5,4,Kilogramo,1.00,3.23,3.23,3.25
Anona,4,3,4,,Cajon,10.00,31.25,31.50,31.25
Arándano,2,2,3,2,Kilogramo,1.00,6.25,6.13,5.71
Caimito (Selva),5,4,5,,Cajon,10.00,29.25,29.25,32.96
Camu Camu,1,1,1,1,Bolsa,1.00,7.50,7.25,7.57
Carambola,7,13,10,7,Cajon,10.00,17.50,16.75,18.43
Chirimoya Criolla O Huayco,3,3,,3,Kilogramo,1.00,5.13,5.08,4.96
Chirimoya Cumbe,12,10,11,9,Kilogramo,1.00,5.33,5.33,5.14
Ciruela Nectarina (Importada),7,8,8,7,Cajon,10.00,56.25,55.75,56.36
Ciruela Roja/Criolla,30,16,28,12,Bandeja,15.00,31.25,30.75,28.68
Ciruela Santa Rosa/Nacional,8,6,7,,Cajon,10.00,32.00,32.50,32.96
Coco,13,6,11,9,Unidad,1.50,1.63,1.58,1.62
Cocona,10,18,11,9,Bandeja,15.00,24.25,24.25,25.50
Fresa Aroma,6,7,8,9,Kilogramo,1.00,3.23,3.33,3.09
Fresa San Andreas,26,33,37,32,Kilogramo,1.00,3.33,3.38,3.17
Granada,14,10,15,8,Jaba,16.00,35.25,34.75,36.11
Granadilla (Costa),13,4,9,7,Ciento,8.00,25.50,24.75,25.50
Granadilla (Selva),34,33,32,24,Cajon,13.00,36.75,35.75,37.68
Guanabana (Costa),5,4,4,4,Kilogramo,1.00,4.73,4.68,4.62
Guanabana (Selva),5,4,4,4,Kilogramo,1.00,5.33,5.28,5.12
Higo Maduro,8,6,5,3,Cajon,7.00,37.25,36.50,37.93
Lima Dulce,8,3,6,5,Kilogramo,1.00,2.65,2.58,2.84
Limon Dulce - Selva,9,9,8,7,Jaba,20.00,29.25,28.50,29.43
Lucuma Beltran,3,2,2,3,Kilogramo,1.00,4.33,4.38,4.40
Lucuma De Seda,5,3,5,3,Kilogramo,1.00,4.20,4.23,4.26
Lulo,3,4,4,,Cajon,10.00,25.25,25.25,26.18
Mamey,8,4,6,6,Kilogramo,1.00,3.53,3.48,3.47
Mandarina Satsuma,110,70,102,53,Kilogramo,1.00,2.35,2.38,2.43
