Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaymanto,2,1,,Kilogramo,1.00,4.38,4.33,4.37
Albaricoque,9,8,6,Kilogramo,1.00,2.63,2.60,2.82
Arándano,2,2,2,Kilogramo,1.00,11.25,11.25,12.89
Camu Camu,1,1,1,Bolsa,1.00,5.75,6.00,6.14
Carambola,13,14,12,Cajon,10.00,11.25,11.25,11.61
Chirimoya Criolla O Huayco,3,5,3,Kilogramo,1.00,3.18,3.23,2.85
Chirimoya Cumbe,14,14,13,Kilogramo,1.00,3.28,3.30,3.09
Ciruela Nectarina (Importada),9,5,7,Cajon,10.00,56.50,56.50,56.21
Ciruela Santa Rosa/Nacional,9,9,7,Cajon,10.00,33.50,33.25,34.88
Coco,14,6,12,Unidad,1.50,1.55,1.55,1.58
Cocona,23,20,15,Bandeja,15.00,20.75,21.00,21.75
Datil Melado,5,5,6,Cajon,10.00,49.25,49.25,48.36
Fresa San Andreas,30,31,28,Kilogramo,1.00,6.93,6.93,6.88
Granada,14,16,14,Caja Madera,12.00,40.75,41.50,38.25
Granadilla (Costa),4,7,6,Ciento,8.00,23.75,24.25,24.18
Granadilla (Selva),49,45,37,Cajon,13.00,36.75,36.75,35.29
Guanabana (Costa),6,6,8,Kilogramo,1.00,3.08,3.10,3.56
Guanabana (Selva),6,6,5,Kilogramo,1.00,3.35,3.33,3.79
Guayaba,7,6,5,Cajon,10.00,23.50,23.50,24.18
Higo Maduro,4,3,3,Cajon,7.00,34.50,34.25,36.07
Kake/Kaki,3,4,4,Cajon,10.00,49.50,50.50,47.64
Kiwi Importado Chileno,9,9,7,Caja,12.00,78.25,78.25,77.36
Lima Dulce,5,5,5,Kilogramo,1.00,2.88,2.93,2.78
Limon Dulce - Selva,14,9,10,Jaba,20.00,23.75,24.00,24.07
Lucuma Beltran,5,3,5,Kilogramo,1.00,4.08,4.13,4.28
Lucuma De Seda,4,3,4,Kilogramo,1.00,3.93,3.90,3.96
Mamey,5,6,5,Kilogramo,1.00,3.55,3.53,3.65
Mandarina Clementina,43,21,49,Kilogramo,1.00,1.55,1.55,1.60
Mandarina Malvacea,12,25,,Kilogramo,1.00,1.48,1.53,1.48
Mandarina Murcott,30,21,,Kilogramo,1.00,1.55,1.55,1.55
Mandarina Satsuma,76,70,82,Kilogramo,1.00,1.40,1.38,1.44
Mandarina Tangerina,15,20,,Jaba,16.00,14.00,13.50,14.05
Mango Criollo,18,23,18,Kilogramo,1.00,4.23,4.25,4.09
Mango Edward,11,12,,Kilogramo,1.00,7.25,7.25,6.92
Mango Kafro,8,10,,Kilogramo,1.00,6.25,6.50,6.00
Mango Kent,11,13,12,Kilogramo,1.00,4.45,4.48,4.22
Mango Tommy Aki,7,10,,Kilogramo,1.00,5.25,5.50,5.50
Manzana Cte/Para Agua,38,26,30,Cajon,24.00,31.25,31.25,31.50
Manzana Delicia,109,100,85,Cajon,24.00,55.75,55.50,55.89
Manzana Golden,7,17,10,Kilogramo,1.00,2.38,2.40,2.44
Manzana Importada,17,19,13,Caja,20.00,80.75,81.50,78.29
Manzana Israel,24,41,27,Kilogramo,1.00,2.58,2.55,2.90
Manzana Winter,10,15,10,Cajon,24.00,43.50,43.25,43.86
Maracuya,13,15,11,Kilogramo,1.00,1.60,1.63,1.58
Melocoton Blanquillo,28,20,21,Cajon,12.00,41.75,42.25,37.68
Melocoton Durazno Huayco,35,25,31,Cajon,12.00,46.50,46.25,45.71
Melon Coquito,56,44,52,Bandeja,12.00,15.50,15.75,15.00
Melon Honey Dew,8,13,,Bandeja,12.00,16.75,17.50,16.92
Membrillo Criollo,17,15,14,Kilogramo,1.00,1.68,1.73,1.70
Membrillo Serrano,22,24,19,Cajon,24.00,47.25,47.25,46.46
Naranja Miniola,17,19,,Kilogramo,1.00,1.50,1.50,1.56
Naranja Primavera,28,20,18,Kilogramo,1.00,1.45,1.45,1.47
Naranja Tangelo Selva,87,93,54,Jaba,22.00,28.50,28.50,31.68
Naranja Valencia,179,186,146,Jaba,24.00,20.75,20.25,21.96
Naranja Washington Naval,29,17,20,Kilogramo,1.00,2.38,2.38,2.70
Naranjita China Kin Kan,2,3,,Kilogramo,1.00,5.38,5.30,5.38
Noni,4,4,5,Kilogramo,1.00,1.68,1.75,1.62
Pacae Criollo,6,8,6,Kilogramo,1.00,3.55,3.55,3.29
Pacae De Seda,5,3,5,Kilogramo,1.00,3.55,3.48,3.57
Palta Antillana,7,7,,Cajon,12.00,19.25,18.50,17.82
Palta Choquete,6,9,8,Cajon,12.00,16.50,16.75,16.89
Palta Criolla,11,12,11,Cajon,12.00,20.25,20.50,20.14
Palta Dedo,2,2,2,Kilogramo,1.00,3.75,3.73,3.91
Palta Fuerte,45,63,46,Kilogramo,1.00,3.50,3.50,3.59
Palta Hall,11,12,12,Cajon,12.00,16.50,16.75,16.36
Palta Hass,9,13,10,Kilogramo,1.00,2.85,2.85,2.88
Palta Linda,9,10,8,Cajon,12.00,26.75,27.25,26.32
Palta Naval,11,10,,Kilogramo,1.00,3.05,3.08,3.11
Papaya (Costa),12,12,12,Cajon,12.00,18.75,18.75,20.89
Papaya (Selva),205,215,171,Cajon,12.00,21.25,20.75,24.29
Pepino Rayado O Melon,22,25,24,Kilogramo,1.00,2.43,2.40,2.42
Pera Agua Packam Importado,15,18,12,Caja,20.00,80.75,80.75,77.64
Piña Criolla (Selva),57,51,51,Cajon,12.00,14.75,14.75,14.46
Piña Golden,67,63,59,Bandeja,12.00,28.25,27.75,26.93
Piña Hawaiana,59,53,51,Kilogramo,1.00,0.98,0.98,0.97
Pitahaya,7,5,,Kilogramo,1.00,15.25,15.25,15.50
Platano Bellaco,119,103,88,Ciento,35.00,47.50,47.75,47.64
Platano Bizcocho,125,124,84,Bandeja,14.00,17.50,17.25,18.43
Platano Isla,109,134,93,Ciento,25.00,42.75,42.75,42.14
Platano Manzano,22,41,22,Jaba,16.00,18.25,17.75,19.00
Platano Morado,11,11,11,Cajon,12.00,27.25,26.75,27.82
Platano Palillo,47,78,54,Ciento,35.00,57.50,57.50,59.89
Platano Seda Congo,104,71,85,Ciento,20.00,35.75,35.75,37.29
Platano Seda (Selva),28,31,26,Ciento,25.00,34.75,34.75,36.00
Sandia,94,95,89,Kilogramo,1.00,1.03,1.05,0.99
Tamarindo (Con Cascara),1,1,,Kilogramo,1.00,4.25,4.25,4.40
Tamarindo (Sin Cascara),,,,Kilogramo,1.00,5.25,5.25,5.55
Toronja Costa,24,21,,Jaba,22.00,26.75,26.75,28.25
Toronja Selva,11,17,9,Cajon,12.00,21.50,21.50,22.11
Tumbo,5,4,4,Kilogramo,1.00,2.18,2.23,2.21
Tuna Amarilla,6,7,7,Kilogramo,1.00,3.38,3.35,3.57
Tuna Blanca,6,7,8,Kilogramo,1.00,2.98,3.00,2.95
Tuna Morada/Rosada,7,7,7,Kilogramo,1.00,3.08,3.13,2.88
Uva Alfonso Lavalett,16,11,18,Jaba,12.00,18.50,18.50,19.18
Uva Borgoña,6,4,,Jaba,12.00,26.75,27.50,26.75
Uva Fley,9,9,,Jaba,12.00,26.75,26.75,25.89
Uva Italia,20,11,11,Jaba,12.00,30.50,23.25,29.54
Uva Palestina,7,16,9,Jaba,12.00,37.50,37.50,36.64
Uva Pirovano,7,9,,Jaba,12.00,30.75,30.75,31.00
Uva Red Globe,34,27,32,Jaba,12.00,25.75,25.75,26.71
Uva Rosada,,17,,Jaba,12.00,36.75,37.50,35.89
Uva Superior,8,15,,Jaba,12.00,42.75,42.50,42.61
Yacon (Llacon),3,7,4,Kilogramo,1.00,1.63,1.63,1.60
