Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaymanto,1,1,2,2,Kilogramo,1.00,4.15,4.15,4.22
Albaricoque,7,7,6,,Kilogramo,1.00,2.38,2.43,2.38
Arándano,2,1,,,Kilogramo,1.00,6.75,6.75,7.68
Camu Camu,1,1,,,Bolsa,1.00,5.50,6.25,5.46
Carambola,13,9,11,10,Cajon,10.00,13.25,13.25,14.14
Chirimoya Criolla O Huayco,3,5,4,4,Kilogramo,1.00,3.23,3.18,3.16
Chirimoya Cumbe,13,12,13,14,Kilogramo,1.00,3.38,3.38,3.25
Ciruela Nectarina (Importada),9,9,8,6,Cajon,10.00,55.50,56.50,56.07
Ciruela Santa Rosa/Nacional,10,8,8,6,Cajon,10.00,28.75,29.25,28.75
Coco,15,9,11,,Unidad,1.50,1.58,1.58,1.57
Cocona,22,11,18,12,Bandeja,15.00,23.75,23.75,24.11
Datil Melado,3,4,3,4,Cajon,10.00,53.25,53.25,51.64
Fresa San Andreas,33,35,27,20,Kilogramo,1.00,6.30,6.15,6.53
Granada,12,13,15,14,Caja Madera,12.00,45.25,45.75,44.96
Granadilla (Costa),11,7,8,8,Ciento,8.00,23.50,23.25,23.61
Granadilla (Selva),36,33,36,32,Cajon,13.00,35.75,35.75,35.75
Guanabana (Costa),5,3,6,9,Kilogramo,1.00,2.45,2.45,2.56
Guanabana (Selva),5,8,6,5,Kilogramo,1.00,2.95,2.95,3.06
Guayaba,,2,,,Cajon,10.00,28.50,28.50,27.00
Higo Maduro,3,4,2,,Cajon,7.00,40.75,40.75,37.89
Kake/Kaki,3,3,4,4,Cajon,10.00,48.25,47.75,51.25
Kiwi Importado Chileno,7,6,7,7,Caja,12.00,76.50,79.25,77.86
Lima Dulce,4,3,5,5,Kilogramo,1.00,2.38,2.43,2.47
Limon Dulce - Selva,13,9,10,11,Jaba,20.00,24.25,23.75,24.21
Lucuma Beltran,2,4,3,4,Kilogramo,1.00,4.38,4.38,4.20
Lucuma De Seda,4,1,4,4,Kilogramo,1.00,4.08,4.13,3.95
Mamey,4,5,,,Kilogramo,1.00,4.08,4.08,3.78
Mandarina Clementina,22,22,25,36,Kilogramo,1.00,1.45,1.48,1.49
Mandarina Malvacea,36,38,35,,Kilogramo,1.00,1.58,1.60,1.52
Mandarina Murcott,45,41,36,,Kilogramo,1.00,1.45,1.48,1.45
Mandarina Nova,22,28,18,,Kilogramo,1.00,1.50,1.48,1.53
Mandarina Satsuma,42,41,40,60,Kilogramo,1.00,1.55,1.55,1.52
Mandarina Tangerina,15,18,17,13,Jaba,16.00,10.75,11.25,11.11
Mango Criollo,11,7,15,18,Kilogramo,1.00,4.30,4.38,4.35
Mango Edward,9,11,9,,Kilogramo,1.00,7.50,6.25,7.32
Mango Haden /Hayde,5,7,,,Kilogramo,1.00,5.25,5.25,5.43
Mango Kafro,7,7,7,,Kilogramo,1.00,6.75,6.50,6.93
Mango Kent,5,6,8,10,Kilogramo,1.00,5.93,5.93,5.84
Mango Tommy Aki,7,6,8,,Kilogramo,1.00,5.25,5.25,5.59
Manzana Cte/Para Agua,33,32,28,33,Cajon,24.00,35.25,35.75,34.36
Manzana Delicia,94,75,93,86,Cajon,24.00,46.50,46.00,48.32
Manzana Golden,9,13,10,9,Kilogramo,1.00,2.28,2.28,2.36
Manzana Importada,18,15,14,12,Caja,20.00,85.75,87.50,86.39
Manzana Israel,22,27,26,24,Kilogramo,1.00,2.25,2.25,2.22
Manzana Winter,12,12,10,8,Cajon,24.00,42.25,42.50,42.00
Maracuya,13,18,12,10,Kilogramo,1.00,1.55,1.43,1.53
Melocoton Blanquillo,22,28,21,20,Cajon,12.00,37.25,36.50,39.54
Melocoton Durazno Huayco,48,33,30,29,Cajon,12.00,35.75,35.00,37.54
Melon Coquito,48,30,37,40,Bandeja,12.00,17.50,17.75,15.93
Membrillo Criollo,11,15,,13,Kilogramo,1.00,1.93,1.95,1.84
Membrillo Serrano,25,22,20,18,Cajon,24.00,49.50,49.50,48.29
Naranja Miniola,46,35,34,,Kilogramo,1.00,1.43,1.45,1.40
Naranja Primavera,21,17,21,20,Kilogramo,1.00,1.53,1.53,1.48
Naranja Tangelo Costa,51,15,37,,Kilogramo,1.00,1.65,1.63,1.71
Naranja Tangelo Selva,92,45,61,50,Jaba,22.00,23.75,23.75,25.04
Naranja Valencia,171,133,139,132,Jaba,24.00,15.75,15.75,16.43
Naranja Washington Naval,17,21,17,22,Kilogramo,1.00,2.25,2.25,2.34
Naranjita China Kin Kan,2,3,,,Kilogramo,1.00,4.78,4.78,4.97
Noni,5,4,,,Kilogramo,1.00,1.75,1.75,1.64
Pacae Criollo,8,6,6,5,Kilogramo,1.00,3.88,3.93,3.86
Pacae De Seda,3,3,3,4,Kilogramo,1.00,3.65,3.65,3.66
Palta Choquete,7,6,7,7,Cajon,12.00,19.25,18.75,19.89
Palta Criolla,14,9,11,10,Cajon,12.00,20.25,19.75,20.50
Palta Dedo,2,3,2,3,Kilogramo,1.00,3.28,3.28,3.29
Palta Fuerte,62,46,42,37,Kilogramo,1.00,3.65,3.58,3.64
Palta Hall,22,10,12,,Cajon,12.00,21.50,21.25,21.32
Palta Hass,12,9,6,6,Kilogramo,1.00,2.78,2.83,2.76
Palta Linda,10,7,8,6,Cajon,12.00,27.50,27.50,28.21
Palta Naval,12,12,10,,Kilogramo,1.00,2.78,2.73,2.83
Palta Villa Campa,9,14,9,,Kilogramo,1.00,2.85,2.85,2.81
Papaya (Costa),11,12,12,12,Cajon,12.00,17.00,16.50,17.14
