Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,6,5,5,4,Bandeja,10.00,35.75,35.75,35.46
Aguaymanto,3,2,2,2,Kilogramo,1.00,4.30,4.23,4.19
Albaricoque,6,4,4,3,Kilogramo,1.00,3.48,3.48,3.55
Anona,5,4,4,4,Cajon,10.00,24.25,24.25,25.04
Arándano,2,1,1,2,Kilogramo,1.00,26.75,26.75,26.00
Camu Camu,1,1,1,1,Bolsa,1.00,6.25,6.50,5.71
Carambola,14,16,10,10,Cajon,10.00,14.50,14.50,15.11
Chirimoya Criolla O Huayco,3,4,3,3,Kilogramo,1.00,2.53,2.48,2.61
Chirimoya Cumbe,18,13,13,14,Kilogramo,1.00,2.55,2.53,2.63
Ciruela Nectarina (Importada),8,7,7,6,Cajon,10.00,55.75,55.75,55.93
Ciruela Roja/Criolla,9,11,10,17,Bandeja,15.00,29.25,29.50,28.68
Ciruela Santa Rosa/Nacional,8,6,6,,Cajon,10.00,38.50,38.50,39.00
Coco,13,8,12,8,Unidad,1.50,1.58,1.63,1.62
Cocona,15,20,13,12,Bandeja,15.00,24.50,22.75,24.64
Datil Melado,6,5,,,Cajon,10.00,48.75,48.75,49.00
Fresa San Andreas,17,24,22,28,Kilogramo,1.00,5.05,5.15,4.84
Granada,32,28,33,26,Caja Madera,12.00,18.75,19.25,17.68
Granadilla (Costa),7,6,7,7,Ciento,8.00,19.50,18.75,19.36
Granadilla (Selva),42,35,36,34,Cajon,13.00,26.75,26.25,26.07
Guanabana (Costa),5,4,4,5,Kilogramo,1.00,4.28,4.08,4.36
Guanabana (Selva),3,4,3,5,Kilogramo,1.00,4.45,4.25,4.52
Guayaba,7,7,6,4,Cajon,10.00,26.75,25.25,28.50
Higo Maduro,3,2,3,6,Cajon,7.00,39.75,40.25,39.14
Kake/Kaki,4,4,4,4,Cajon,10.00,50.75,50.75,51.93
Kiwi Importado Chileno,7,7,6,6,Caja,12.00,81.50,82.25,82.46
Lima Dulce,4,5,4,3,Kilogramo,1.00,2.48,2.40,2.51
Limon Dulce - Selva,11,8,8,10,Jaba,20.00,24.75,24.50,25.32
Lucuma Beltran,2,3,2,3,Kilogramo,1.00,4.68,4.73,4.59
Lucuma De Seda,1,3,2,3,Kilogramo,1.00,4.58,4.58,4.50
Mamey,6,5,6,6,Kilogramo,1.00,3.05,3.08,3.10
Mandarina Clementina,26,34,,,Kilogramo,1.00,1.88,1.88,1.88
Mandarina Satsuma,143,94,124,122,Kilogramo,1.00,1.58,1.58,1.63
Mandarina Tangerina,26,22,23,16,Jaba,16.00,15.75,15.75,16.32
Mango Edward,8,5,6,18,Bandeja,17.00,32.25,33.75,30.25
Mango Haden /Hayde,5,3,5,11,Kilogramo,1.00,1.83,1.85,1.64
Mango Kafro,29,23,25,15,Bandeja,17.00,18.75,19.75,19.07
Mango Kent,16,14,23,59,Kilogramo,1.00,1.75,1.78,1.66
Manzana Cte/Para Agua,26,26,26,20,Cajon,24.00,23.50,23.50,23.57
Manzana Delicia,91,82,92,77,Cajon,24.00,56.50,56.50,55.75
Manzana Golden,10,7,9,9,Kilogramo,1.00,1.85,1.88,1.82
Manzana Importada,16,10,14,14,Caja,20.00,81.50,84.50,81.25
Manzana Israel,39,30,36,37,Kilogramo,1.00,2.03,2.05,2.02
Manzana Winter,11,12,11,12,Cajon,24.00,43.25,43.75,42.54
Maracuya,15,18,13,15,Kilogramo,1.00,1.55,1.55,1.60
Melocoton Blanquillo,31,13,24,18,Cajon,12.00,34.25,33.75,34.68
Melocoton Durazno Huayco,34,49,32,36,Cajon,12.00,32.50,32.50,35.14
Melon Coquito,68,31,50,38,Bandeja,12.00,9.00,9.50,9.29
Membrillo Criollo,11,14,9,9,Kilogramo,1.00,1.60,1.55,1.56
Membrillo Serrano,31,19,19,19,Cajon,24.00,49.75,49.50,50.43
Naranja Primavera,28,21,20,14,Kilogramo,1.00,1.63,1.58,1.65
Naranja Tangelo Selva,64,49,63,51,Jaba,22.00,39.50,38.25,41.18
Naranja Valencia,146,139,135,139,Jaba,24.00,31.50,30.75,35.14
Naranja Washington Naval,15,17,17,14,Kilogramo,1.00,4.28,4.23,4.34
Noni,8,6,6,6,Kilogramo,1.00,1.65,1.68,1.69
Pacae Criollo,8,6,8,6,Kilogramo,1.00,3.48,3.48,3.68
