Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,4,4,5,5,Bandeja,10.00,21.50,21.50,22.63
Aguaymanto,2,1,2,2,Kilogramo,1.00,4.33,4.20,4.60
Albaricoque,7,8,,7,Kilogramo,1.00,3.28,3.33,3.31
Arándano,2,2,2,2,Kilogramo,1.00,6.25,6.25,6.81
Camu Camu,1,1,1,1,Bolsa,1.00,5.75,5.75,5.39
Carambola,8,9,8,13,Cajon,10.00,13.75,13.75,13.65
Chirimoya Criolla O Huayco,3,4,,3,Kilogramo,1.00,4.38,4.38,4.41
Chirimoya Cumbe,9,15,13,16,Kilogramo,1.00,4.55,4.55,4.59
Ciruela Nectarina (Importada),8,10,7,8,Cajon,10.00,58.75,58.50,58.08
Coco,8,17,12,17,Unidad,1.50,1.65,1.63,1.68
Cocona,13,12,11,17,Bandeja,15.00,27.75,27.50,26.83
Fresa Aroma,19,11,17,21,Kilogramo,1.00,2.18,2.18,2.24
Fresa San Andreas,57,84,75,85,Kilogramo,1.00,2.28,2.28,2.31
Granadilla (Costa),8,7,8,8,Ciento,8.00,22.75,22.75,22.96
Granadilla (Selva),22,46,40,44,Cajon,13.00,26.75,26.25,27.18
Guanabana (Costa),5,6,5,,Kilogramo,1.00,5.78,5.78,5.71
Guanabana (Selva),4,4,4,4,Kilogramo,1.00,5.95,5.95,5.95
Guayaba,5,4,4,3,Cajon,10.00,40.75,40.75,40.71
Higo Maduro,3,3,3,3,Cajon,7.00,53.75,53.50,53.68
Kiwi Importado Chileno,7,9,7,8,Caja,12.00,63.25,62.25,63.39
Lima Dulce,5,7,6,6,Kilogramo,1.00,2.58,2.58,2.55
Limon Dulce - Selva,8,10,10,10,Jaba,20.00,27.25,27.50,26.27
Lucuma Beltran,4,4,4,3,Kilogramo,1.00,4.73,4.73,4.73
Lucuma De Seda,4,3,4,3,Kilogramo,1.00,4.83,4.78,4.88
Mandarina Dorina,13,14,12,,Kilogramo,1.00,1.48,1.48,1.41
Mandarina Fortuna,8,8,10,14,Kilogramo,1.00,1.55,1.53,1.52
Mandarina Invicta,22,26,21,23,Kilogramo,1.00,1.53,1.53,1.49
Mandarina Kori,9,13,,,Kilogramo,1.00,1.53,1.50,1.51
Mandarina Malvacea,32,49,44,44,Kilogramo,1.00,1.55,1.55,1.51
Mandarina Murcott,14,32,22,33,Kilogramo,1.00,1.53,1.55,1.48
Mandarina Rio De Oro,20,37,28,46,Kilogramo,1.00,1.65,1.68,1.57
Mandarina Satsuma,10,8,11,20,Kilogramo,1.00,1.88,1.88,1.80
Mandarina Tangerina,7,19,16,16,Jaba,16.00,13.75,13.75,13.60
Mango Criollo,18,9,12,26,Kilogramo,1.00,3.45,3.45,3.39
Mango Edward,30,71,44,49,Bandeja,17.00,28.50,28.00,29.61
Mango Haden /Hayde,16,61,30,26,Kilogramo,1.00,1.95,1.88,2.02
Mango Kent,8,12,9,15,Kilogramo,1.00,2.18,2.33,2.30
Mango Pico De Loro,11,14,11,12,Jaba,16.00,30.75,31.25,31.10
Manzana Cte/Para Agua,20,34,27,34,Cajon,24.00,26.75,26.25,26.57
Manzana Delicia,79,94,93,120,Cajon,24.00,46.75,47.75,46.75
Manzana Golden,5,8,8,7,Kilogramo,1.00,2.33,2.38,2.31
Manzana Importada,9,22,13,16,Caja,20.00,95.25,94.75,92.86
Manzana Israel,41,48,33,28,Kilogramo,1.00,1.78,1.78,1.93
Manzana Winter,10,9,10,10,Cajon,24.00,46.25,46.50,46.04
Maracuya,10,18,11,13,Kilogramo,1.00,2.13,2.08,2.15
Melocoton Blanquillo,9,19,14,23,Cajon,12.00,45.25,44.75,44.04
Melocoton Durazno Huayco,33,29,28,32,Cajon,12.00,47.00,47.25,46.39
Melon Coquito,29,52,31,35,Bandeja,12.00,13.75,13.50,14.29
Melon Esmeralda,8,11,8,,Cajon,10.00,21.75,21.25,23.10
Membrillo Criollo,6,11,12,14,Kilogramo,1.00,2.38,2.38,2.36
Membrillo Serrano,17,21,19,25,Cajon,24.00,57.50,57.50,57.15
Naranja Miniola,8,13,13,33,Kilogramo,1.00,2.13,2.13,2.01
Naranja Primavera,32,38,36,33,Kilogramo,1.00,1.18,1.15,1.19
Naranja Tangelo Costa,7,7,9,18,Kilogramo,1.00,2.25,2.25,2.22
Naranja Tangelo Selva,24,50,45,62,Jaba,22.00,27.75,28.25,27.61
Naranja Valencia,75,170,139,175,Jaba,24.00,16.75,16.75,17.04
Naranja Washington Naval,10,17,21,22,Kilogramo,1.00,3.35,3.38,3.30
Naranjita China Kin Kan,1,2,2,2,Kilogramo,1.00,6.13,6.10,6.07
Nispero De Agua,38,37,41,38,Cajon,24.00,33.50,33.25,34.36
Noni,6,5,6,8,Kilogramo,1.00,1.73,1.68,1.60
Pacae De Seda,4,4,,,Kilogramo,1.00,4.80,4.78,4.85
Palta Choquete,6,7,8,10,Cajon,12.00,26.25,26.75,26.32
Palta Criolla,11,14,13,15,Cajon,12.00,24.50,24.25,25.07
Palta Dedo,3,2,2,2,Kilogramo,1.00,6.18,6.23,6.11
Palta Fuerte,17,49,41,51,Kilogramo,1.00,6.40,6.40,6.34
Palta Hall,6,13,11,12,Cajon,12.00,25.50,25.25,25.71
Palta Hass,8,9,9,10,Kilogramo,1.00,4.93,5.08,4.85
Palta Linda,6,7,9,9,Cajon,12.00,30.25,29.50,30.64
Palta Naval,11,9,11,12,Kilogramo,1.00,4.63,4.88,4.61
Palta Queen,5,5,7,8,Kilogramo,1.00,4.63,4.68,4.52
Palta Villa Campa,6,5,9,9,Kilogramo,1.00,4.68,4.78,4.63
Papaya (Costa),10,8,13,14,Cajon,12.00,12.75,12.25,12.86
Papaya (Selva),143,204,163,208,Cajon,12.00,13.50,13.25,14.07
Pepino Rayado O Melon,32,38,28,34,Kilogramo,1.00,1.53,1.50,1.53
Pera Agua Packam Importado,11,17,13,16,Caja,20.00,95.75,95.75,92.96
Piña Criolla (Selva),45,54,51,51,Cajon,12.00,12.25,11.75,12.46
Piña Golden,73,83,77,80,Bandeja,12.00,23.75,22.75,23.96
Piña Hawaiana,38,53,51,58,Kilogramo,1.00,1.15,1.05,1.10
Pitahaya,5,5,4,7,Kilogramo,1.00,21.50,21.50,19.00
Platano Bellaco,35,74,58,93,Ciento,35.00,54.25,54.00,53.14
Platano Bizcocho,49,95,87,112,Bandeja,14.00,17.75,17.50,17.07
Platano Isla,80,129,104,133,Ciento,25.00,36.25,35.75,36.11
Platano Manzano,12,18,19,22,Jaba,16.00,18.75,18.25,18.08
Platano Morado,7,12,9,11,Cajon,12.00,29.25,28.75,28.68
Platano Palillo,42,70,57,56,Ciento,35.00,53.25,51.50,52.25
Platano Seda Congo,43,82,71,80,Ciento,20.00,26.25,25.75,25.96
Platano Seda (Selva),16,33,30,30,Ciento,25.00,24.75,24.75,24.57
Sandia,80,120,69,90,Kilogramo,1.00,1.05,1.05,1.08
Tamarindo (Con Cascara),1,1,1,,Kilogramo,1.00,4.65,4.65,4.73
Tamarindo (Sin Cascara),,,,,Kilogramo,1.00,5.65,5.65,5.74
Toronja Costa Con Pepa,12,20,,20,Jaba,22.00,27.25,26.75,26.87
Toronja Selva Con Pepa,14,12,11,10,Cajon,12.00,16.75,16.75,16.65
Tumbo,4,4,4,5,Kilogramo,1.00,2.88,2.88,2.91
Tuna Amarilla,8,10,11,10,Kilogramo,1.00,2.63,2.58,2.59
Tuna Blanca,7,10,10,11,Kilogramo,1.00,2.65,2.68,2.61
Tuna Morada/Rosada,6,10,8,11,Kilogramo,1.00,2.63,2.58,2.59
Uva Alfonso Lavalett,17,25,17,29,Jaba,12.00,24.50,24.00,24.79
Uva Borgoña,3,3,3,3,Jaba,12.00,27.25,26.75,27.30
Uva Italia,17,15,12,15,Jaba,12.00,29.25,29.50,28.96
Uva Palestina,6,9,8,9,Jaba,12.00,35.50,35.75,35.61
Uva Red Globe,26,52,26,29,Jaba,12.00,27.75,28.75,27.32
Uva Rosada Sin Pepa,7,9,8,14,Jaba,12.00,35.50,35.75,35.89
Uva Superior,9,7,9,11,Jaba,12.00,42.50,42.25,43.32
Yacon (Llacon),3,4,3,3,Kilogramo,1.00,1.63,1.58,1.59
