Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,8,6,4,6,Bandeja,10.00,30.75,32.25,30.93
Aguaymanto,4,2,2,2,Kilogramo,1.00,3.43,3.20,3.52
Albaricoque,6,4,4,7,Kilogramo,1.00,3.08,3.13,3.15
Anona,4,6,4,5,Cajon,10.00,29.25,28.75,29.43
Arándano,10,3,4,3,Kilogramo,1.00,5.75,6.25,5.74
Camu Camu,1,1,1,1,Bolsa,1.00,6.50,5.75,6.68
Carambola,8,9,9,13,Cajon,10.00,17.25,17.75,16.96
Chirimoya Criolla O Huayco,4,3,3,3,Kilogramo,1.00,4.58,4.55,4.66
Chirimoya Cumbe,12,11,13,14,Kilogramo,1.00,4.68,4.65,4.83
Ciruela Nectarina (Importada),9,8,7,8,Cajon,10.00,55.75,55.75,56.83
Ciruela Roja/Criolla,51,48,22,28,Bandeja,15.00,29.50,30.25,29.21
Ciruela Santa Rosa/Nacional,6,5,6,8,Cajon,10.00,33.50,34.25,33.61
Coco,22,6,13,14,Unidad,1.50,1.58,1.55,1.58
Cocona,11,11,9,12,Bandeja,15.00,32.75,34.25,31.14
Fresa San Andreas,29,26,25,39,Kilogramo,1.00,4.38,4.48,4.24
Granada,61,30,34,13,Jaba,16.00,26.25,26.25,26.57
Granadilla (Costa),5,6,8,12,Ciento,8.00,20.75,21.00,21.04
Granadilla (Selva),41,43,38,44,Cajon,13.00,26.75,26.50,27.82
Guanabana (Costa),3,6,5,5,Kilogramo,1.00,4.60,4.68,4.68
Guanabana (Selva),4,4,4,4,Kilogramo,1.00,5.00,5.08,5.13
Higo Maduro,10,11,7,5,Cajon,7.00,35.25,34.25,35.54
Lima Dulce,5,5,5,6,Kilogramo,1.00,2.58,2.48,2.53
Limon Dulce - Selva,8,8,8,11,Jaba,20.00,25.25,24.75,25.30
Lucuma Beltran,7,4,4,4,Kilogramo,1.00,4.18,4.25,4.28
Lucuma De Seda,6,3,4,4,Kilogramo,1.00,4.08,4.08,4.16
Lulo,4,2,4,5,Cajon,10.00,24.75,26.50,25.18
Mamey,6,4,6,7,Kilogramo,1.00,3.53,3.63,3.45
Mandarina Satsuma,120,143,107,123,Kilogramo,1.00,2.00,1.93,2.10
Mandarina Tangerina,6,7,11,20,Jaba,16.00,17.50,16.75,18.68
Mango Criollo,57,40,32,28,Kilogramo,1.00,1.55,1.53,1.53
Mango Edward,9,16,15,47,Bandeja,17.00,34.50,35.50,32.93
Mango Haden /Hayde,9,13,9,27,Kilogramo,1.00,1.80,1.88,1.74
Mango Kafro,7,14,22,30,Bandeja,17.00,19.75,19.50,19.14
Mango Kent,64,80,59,59,Kilogramo,1.00,1.48,1.48,1.51
Mango Rosado,38,43,29,23,Jaba,20.00,20.75,20.75,20.21
Manzana Cte/Para Agua,38,25,30,33,Cajon,24.00,21.50,21.25,22.50
Manzana Delicia,113,96,83,79,Cajon,24.00,51.25,51.25,54.25
Manzana Golden,6,5,8,9,Kilogramo,1.00,1.85,1.85,1.87
Manzana Importada,17,16,14,15,Caja,20.00,82.25,82.25,86.14
Manzana Israel,16,14,33,48,Kilogramo,1.00,0.88,0.95,0.86
Manzana Winter,10,8,9,11,Cajon,24.00,45.00,44.75,45.37
Maracuya,18,18,11,13,Kilogramo,1.00,1.48,1.48,1.49
Melocoton Blanquillo,18,11,14,18,Cajon,12.00,35.00,34.25,36.93
Melocoton Durazno Huayco,37,39,32,31,Cajon,12.00,34.25,33.50,36.11
Melon Coquito,51,32,48,53,Bandeja,12.00,8.75,9.75,8.96
Membrillo Criollo,7,7,11,15,Kilogramo,1.00,2.50,2.48,2.53
Membrillo Serrano,18,20,19,18,Cajon,24.00,55.75,55.75,56.87
Naranja Primavera,29,20,22,32,Kilogramo,1.00,1.48,1.53,1.50
Naranja Tangelo Selva,54,83,52,69,Jaba,22.00,36.75,37.25,36.71
Naranja Valencia,141,170,133,160,Jaba,24.00,27.50,27.75,28.18
Naranja Washington Naval,29,19,18,24,Kilogramo,1.00,2.35,2.38,2.34
Noni,7,6,5,8,Kilogramo,1.00,1.65,1.55,1.69
Pacae De Seda,5,5,5,5,Kilogramo,1.00,4.13,4.08,4.13
Palta Choquete,10,8,8,,Cajon,12.00,15.75,15.75,16.68
Palta Collin Red,9,7,8,,Cajon,12.00,16.75,16.25,17.06
Palta Criolla,19,14,13,17,Cajon,12.00,14.25,14.25,14.61
Palta Dedo,3,2,2,,Kilogramo,1.00,4.08,4.08,4.01
Palta Fuerte,68,74,43,50,Kilogramo,1.00,3.15,3.08,3.28
Palta Hall,21,13,13,13,Cajon,12.00,15.75,15.75,16.01
Palta Hass,5,6,5,6,Kilogramo,1.00,3.83,3.78,3.89
Palta Linda,10,6,7,9,Cajon,12.00,23.75,23.75,24.10
Papaya (Costa),11,11,12,12,Cajon,12.00,15.75,15.75,17.44
Papaya (Selva),176,173,168,192,Cajon,12.00,16.50,16.25,18.18
Pepino Rayado O Melon,25,15,20,33,Kilogramo,1.00,1.98,2.00,1.86
Pera Agua Criolla,14,13,13,13,Jaba,16.00,27.50,27.25,26.95
Pera Agua Italiana,21,16,13,14,Jaba,16.00,34.25,34.25,32.36
Pera Agua Packam Importado,18,17,14,14,Caja,20.00,81.50,81.50,82.63
Piña Criolla (Selva),50,47,48,42,Cajon,12.00,21.50,21.50,20.96
Piña Golden,86,88,75,73,Bandeja,12.00,29.50,29.50,30.93
Piña Hawaiana,53,52,50,46,Kilogramo,1.00,1.63,1.55,1.75
Pitahaya,11,5,7,5,Kilogramo,1.00,6.75,6.75,6.79
Platano Bellaco,81,86,84,84,Ciento,35.00,51.25,50.75,51.96
Platano Bizcocho,108,94,92,111,Bandeja,14.00,13.75,14.00,13.96
Platano Isla,123,135,101,99,Ciento,25.00,41.50,41.50,41.96
Platano Manzano,17,23,20,17,Jaba,16.00,16.50,16.50,16.57
Platano Morado,12,9,10,9,Cajon,12.00,26.75,26.75,26.89
Platano Palillo,47,46,48,69,Ciento,35.00,50.75,50.75,51.82
Platano Seda Congo,101,66,65,91,Ciento,20.00,30.75,30.75,30.64
Platano Seda (Selva),31,28,27,30,Ciento,25.00,30.00,30.00,30.07
Sandia,124,54,101,106,Kilogramo,1.00,0.90,0.85,0.89
Tamarindo (Con Cascara),1,1,,1,Kilogramo,1.00,4.20,4.15,4.25
Tamarindo (Sin Cascara),,,,,Kilogramo,1.00,5.20,5.15,5.22
Toronja Costa,14,17,12,20,Jaba,22.00,27.75,27.75,28.04
Toronja Selva,13,13,11,11,Cajon,12.00,17.75,17.75,18.00
Tumbo,4,4,4,4,Kilogramo,1.00,2.48,2.38,2.41
Tuna Amarilla,18,23,13,14,Kilogramo,1.00,2.08,2.08,2.16
Tuna Blanca,14,21,15,17,Kilogramo,1.00,2.05,2.00,2.15
Tuna Morada/Rosada,13,19,11,11,Kilogramo,1.00,2.08,2.08,2.17
Uva Alfonso Lavalett,24,15,16,13,Jaba,12.00,25.25,25.75,24.71
Uva Borgoña,4,5,4,4,Jaba,12.00,27.25,27.50,26.73
Uva Italia,21,28,18,15,Jaba,12.00,18.25,17.50,19.18
Uva Palestina,9,10,8,9,Jaba,12.00,23.50,23.25,24.64
Uva Pirovano,10,9,9,8,Jaba,12.00,26.25,25.75,25.86
Uva Quebranta/Moscatel,5,5,5,3,Jaba,12.00,25.75,25.75,25.54
Uva Red Globe,50,72,37,33,Jaba,12.00,15.50,15.50,16.57
Uva Rosada,9,8,7,10,Jaba,12.00,25.25,25.25,26.61
Uva Sultanina,10,9,8,9,Cajon,12.00,26.50,26.25,26.64
Uva Superior,6,9,6,9,Jaba,12.00,26.25,26.25,26.61
Yacon (Llacon),4,3,5,4,Kilogramo,1.00,1.68,1.58,1.64
Zapote,8,7,5,6,Cajon,10.00,25.25,24.75,25.11
