Producto,VolAyer,VolHoy,VolPromSem,VolProm4Sem,Unidad,Equiv.Kg,PrePromAyer,PrePromHoy,PrePromSem
Aguaje,4,5,4,4,Bandeja,10.00,26.33,25.50,27.08
Aguaymanto,2,2,2,2,Kilogramo,1.00,3.77,3.80,3.79
Albaricoque,7,7,8,7,Kilogramo,1.00,3.10,3.08,3.27
Arándano,1,2,2,1,Kilogramo,1.00,7.75,7.75,8.71
Camu Camu,1,1,1,1,Bolsa,1.00,5.33,5.25,5.30
Carambola,9,9,11,16,Cajon,10.00,11.00,12.25,11.11
Chirimoya Criolla O Huayco,3,4,3,4,Kilogramo,1.00,4.10,4.15,4.01
Chirimoya Cumbe,13,13,19,17,Kilogramo,1.00,4.18,4.28,4.19
Ciruela Nectarina (Importada),5,8,6,8,Cajon,10.00,58.50,58.75,58.11
Ciruela Santa Rosa/Nacional,5,5,8,8,Cajon,10.00,36.00,36.50,35.14
Coco,6,15,6,15,Unidad,1.50,1.77,1.85,1.72
Cocona,10,11,14,13,Bandeja,15.00,18.50,18.75,18.25
Fresa Aroma,16,14,17,12,Kilogramo,1.00,3.27,3.25,3.56
Fresa San Andreas,44,69,56,49,Kilogramo,1.00,3.33,3.33,3.54
Granadilla (Costa),7,7,9,11,Ciento,8.00,22.00,21.75,21.68
Granadilla (Selva),38,43,42,43,Cajon,13.00,27.25,27.75,27.71
Guanabana (Costa),5,4,4,5,Kilogramo,1.00,5.10,5.08,4.89
Guanabana (Selva),4,3,3,3,Kilogramo,1.00,5.27,5.25,5.09
Guayaba,4,3,4,4,Cajon,10.00,37.25,36.75,36.46
Higo Maduro,3,3,2,2,Cajon,7.00,53.25,52.50,52.39
Kiwi Importado Chileno,5,7,7,8,Caja,12.00,61.00,61.50,61.43
Lima Dulce,4,10,5,6,Kilogramo,1.00,2.40,2.38,2.41
Limon Dulce - Selva,8,10,7,7,Jaba,20.00,25.00,25.75,25.00
Lucuma Beltran,2,3,2,3,Kilogramo,1.00,4.60,4.68,4.47
Lucuma De Seda,3,3,2,3,Kilogramo,1.00,4.83,4.88,4.80
Mandarina Dancy,12,14,,29,Kilogramo,1.00,1.50,1.48,1.53
Mandarina Fortuna,14,16,,,Kilogramo,1.00,1.50,1.53,1.58
Mandarina Invicta,10,27,,,Kilogramo,1.00,1.55,1.53,1.60
Mandarina Malvacea,31,44,28,61,Kilogramo,1.00,1.53,1.55,1.54
Mandarina Murcott,17,48,50,51,Kilogramo,1.00,1.43,1.45,1.41
Mandarina Nova,14,14,13,32,Kilogramo,1.00,1.53,1.55,1.58
Mandarina Pixie,9,26,,,Kilogramo,1.00,1.63,1.58,1.65
Mandarina Rio De Oro,19,46,30,,Kilogramo,1.00,1.83,1.83,1.88
Mandarina Satsuma,14,12,11,17,Kilogramo,1.00,2.00,1.95,1.88
Mandarina Tangerina,8,18,14,21,Jaba,16.00,13.50,13.50,13.25
Mango Criollo,11,16,16,25,Kilogramo,1.00,2.65,2.63,2.76
Mango Edward,38,41,42,29,Bandeja,17.00,42.00,41.25,43.82
Mango Haden /Hayde,25,39,34,18,Kilogramo,1.00,2.65,2.65,2.69
Mango Kafro,10,14,9,,Bandeja,17.00,42.33,42.50,42.05
Mango Kent,14,12,11,,Kilogramo,1.00,3.13,3.08,3.23
Mango Pico De Loro,12,11,12,,Jaba,16.00,38.50,38.00,38.75
Manzana Cte/Para Agua,17,43,27,33,Cajon,24.00,35.50,34.75,36.00
Manzana Delicia,74,102,90,123,Cajon,24.00,51.00,50.75,51.25
Manzana Golden,6,7,5,8,Kilogramo,1.00,2.53,2.48,2.45
Manzana Importada,10,14,13,16,Caja,20.00,79.00,78.50,77.75
Manzana Israel,22,32,15,32,Kilogramo,1.00,2.85,2.78,2.89
Manzana Winter,7,12,8,10,Cajon,24.00,46.00,45.75,46.71
Maracuya,15,8,13,14,Kilogramo,1.00,1.78,1.78,1.74
Melocoton Blanquillo,22,34,24,24,Cajon,12.00,41.00,39.50,41.79
Melocoton Durazno Huayco,26,35,32,47,Cajon,12.00,41.25,41.00,42.43
Melon Coquito,24,37,26,27,Bandeja,12.00,17.50,17.75,16.64
Membrillo Criollo,13,15,13,12,Kilogramo,1.00,2.40,2.38,2.45
Membrillo Serrano,20,29,21,20,Cajon,24.00,56.25,56.25,57.50
Naranja Miniola,35,60,56,62,Kilogramo,1.00,1.38,1.38,1.38
Naranja Primavera,14,21,21,28,Kilogramo,1.00,1.40,1.38,1.52
Naranja Tangelo Costa,30,77,43,63,Kilogramo,1.00,1.40,1.38,1.42
Naranja Tangelo Selva,40,51,59,73,Jaba,22.00,21.75,22.25,21.07
Naranja Valencia,76,147,133,166,Jaba,24.00,14.50,14.75,14.36
Naranja Washington Naval,13,11,12,22,Kilogramo,1.00,2.38,2.38,2.28
Naranjita China Kin Kan,2,2,,3,Kilogramo,1.00,5.40,5.35,5.23
Nispero De Agua,14,30,21,,Cajon,24.00,45.75,45.00,46.71
Noni,7,7,5,8,Kilogramo,1.00,1.53,1.45,1.46
Pacae De Seda,3,4,4,5,Kilogramo,1.00,2.93,2.88,2.92
Palta Choquete,5,6,7,8,Cajon,12.00,26.00,25.50,25.61
Palta Criolla,8,8,9,10,Cajon,12.00,26.75,27.25,25.93
Palta Dedo,2,3,2,2,Kilogramo,1.00,5.40,5.43,5.41
Palta Fuerte,35,68,53,62,Kilogramo,1.00,5.48,5.58,5.47
Palta Hall,9,9,10,12,Cajon,12.00,25.75,25.75,25.82
Palta Hass,11,18,13,14,Kilogramo,1.00,3.88,3.88,3.89
Palta Linda,6,8,7,8,Cajon,12.00,29.50,29.25,29.46
Palta Naval,8,14,16,14,Kilogramo,1.00,3.50,3.48,3.36
Palta Queen,7,8,7,8,Kilogramo,1.00,3.55,3.58,3.45
Palta Villa Campa,8,8,8,9,Kilogramo,1.00,3.70,3.68,3.64
Papaya (Costa),10,11,11,11,Cajon,12.00,18.00,17.75,18.52
Papaya (Selva),139,218,164,187,Cajon,12.00,19.50,19.25,19.61
Pepino Rayado O Melon,19,36,26,32,Kilogramo,1.00,2.05,2.05,2.17
