Marca temporal,Edad. Ingresar el valor en años cumplidos. Ejemplo: 19,Carrera,Ciclo,Respecto al último ciclo académico ¿Cuál fue tu promedio ponderado? Usar como separador decimal el punto ( . ). Redondear su respuesta a un decimal. Ejemplo: 15.5,Respecto al último ciclo académico (2022-1)  ¿Cuantos cursos llevaste?,Respecto al último ciclo académico ¿Reprobaste algún curso?,Laptop,Celular,Tablet,Tableta grafica,PC,De la siguiente lista de dispositivos electrónicos ¿Cuál utiliza con fines académicos?,Apple,Huawei,HP,Acer,ZTE,Xiaomi,Asus,Lenovo,MSI,Motorola,Omen,Wacom,Dell,LG,XP-Pen,Razer-Blade,HTC,Samsung,Marcas que dispone,Memoria RAM,Aspecto,Tarjeta de video,Otro,Camara,Duracion de bateria,Marca,Tarjeta grafica,Procesador,Precio,¿Cuál fue el principal factor que considero al momento de adquirir este dispositivo?,"¿Cuántas horas usas por lo menos 1 dispositivo con fines académicos? (Al día, poner solo números enteros. Ejemplo: 5)","¿Cuánto invirtió, en soles, para adquirir sus dispositivos? Usar números enteros (Ejemplo: 3000)",Notion,Otros,No utilizo ninguna,Evernote,Good Notes,OneNote,Anki,Google Calendar,¿Cuál/cuales de las siguientes herramientas/aplicaciones utilizas?,¿Qué tan satisfecho te encuentras con tus dispositivos electrónicos?,¿Consideras que tus dispositivos electrónicos influyen en tu desempeño académico? ,¿Qué tan satisfecho estás con el internet de la universidad?
9/22/2022 13:00:36,18,Ingeniería Electrónica,5,"16,40",5,No,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,"Samsung, HP, Apple",Sí,Sí,No,No,No,No,No,No,No,Sí,"Precio, Memoria RAM, Aspecto (Tamaño, peso, color, luces RBG)",6,1900,Sí,No,No,No,No,Sí,Sí,No,"Notion, Anki, OneNote",2,3,3
9/22/2022 13:00:51,17,Ingeniería Mecánica,2,"18,20",7,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,"HP, ZTE",Sí,No,No,No,No,No,No,No,Sí,Sí,"Precio, Memoria RAM, Procesador",8,3000,Sí,No,No,No,No,Sí,No,Sí,"Notion, Google Calendar, OneNote",5,5,3
9/22/2022 13:02:22,20,Ingeniería Industrial,3,"15,70",6,No,Sí,Sí,No,No,No,"Laptop, Celular",No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"HP, Huawei",Sí,Sí,No,No,No,No,No,No,No,Sí,"Precio, Memoria RAM, Aspecto (Tamaño, peso, color, luces RBG)",7,2500,No,No,No,No,No,No,No,Sí,Google Calendar,4,4,2
9/22/2022 13:14:53,21,Ingeniería Civil,5,"16,92",5,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,"Samsung, Acer",Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,"Precio, Memoria RAM, Tarjeta de video, Procesador, Tarjeta gráfica, Cámara",7,2800,No,No,No,No,No,Sí,No,Sí,"Google Calendar, OneNote",4,5,4
9/22/2022 13:15:28,17,Ingeniería Industrial,2,"17,50",7,No,No,No,Sí,No,Sí,"Tablet, PC",Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Apple,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí,"Precio, Memoria RAM, Aspecto (Tamaño, peso, color, luces RBG), Tarjeta de video, Procesador, Tarjeta gráfica",8,3000,No,No,No,No,No,Sí,No,Sí,"Google Calendar, OneNote",5,5,5
9/22/2022 13:27:08,19,Ciencias de la computación,2,"16,50",6,No,Sí,Sí,Sí,No,No,"Laptop, Tablet, Celular",Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,"Apple, Razer-Blade",No,Sí,No,No,No,Sí,No,No,Sí,Sí,"Precio, Aspecto (Tamaño, peso, color, luces RBG), Procesador, Duración de la batería",6,20000,Sí,No,No,No,Sí,No,No,Sí,"Notion, Google Calendar, Good Notes",5,5,4
9/22/2022 13:30:40,18,Ingeniería Mecatrónica,3,"16,80",6,No,Sí,Sí,No,No,No,"Laptop, Celular",No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Motorola,Sí,No,No,No,Sí,Sí,No,No,No,Sí,"Precio, Memoria RAM, Duración de la batería, Cámara",6,2500,No,No,No,No,No,No,No,Sí,Google Calendar,4,2,5
9/22/2022 13:31:16,19,Ingeniería Civil,1,"16,00",7,No,Sí,No,Sí,Sí,No,"Laptop, Tableta gráfica",No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Huawei,No,Sí,No,No,No,Sí,Sí,No,No,Sí,"Precio, Aspecto (Tamaño, peso, color, luces RBG), Marca, Duración de la batería",10,5000,No,No,No,No,No,Sí,Sí,Sí,"Google Calendar, Anki, OneNote",4,5,4
9/22/2022 13:48:47,19,Ingeniería Electrónica,3,"14,00",6,Sí,Sí,Sí,Sí,Sí,No,"Laptop, Tablet, Celular, Tableta gráfica",No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,Sí,"Samsung, Lenovo",Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,"Precio, Memoria RAM, Procesador, Tarjeta gráfica, Duración de la batería, Cámara",4,5000,No,No,No,No,No,No,No,Sí,Google Calendar,5,5,3
9/22/2022 15:04:42,18,Ingeniería Electrónica,4,"13,50",5,No,Sí,No,No,No,No,Laptop,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,HP,No,No,No,Sí,No,No,No,No,No,No,Fue un regalo,6,1000,No,No,No,No,No,Sí,No,No,OneNote,5,3,4
