Marca temporal,Código de alumno:,Carrera:,Ciclo:,Edad:,¿Usas lentes?,¿Juegas videojuegos?,¿Perteneces o perteneciste a algún club de programación?,¿Programas exclusivamente dentro de tu ciclo universitario o lo haces de manera recreativa incluso en vacaciones/tiempo libre?,¿Puedes tipear correctamente sin mirar tu teclado? ,"Por favor, entra a este link y realiza el test de tipeo para luego colocar tu resultado en palabras por minuto(WPM). (Ej. -> 76.8)              ",¿Cuántos años llevas programando? Ingrese su respuesta en años.,¿Cuál sistema operativo usas?,¿Cuál ambiente de programación usas?,¿Cuántos lenguajes de programación dominas?,¿En qué lenguaje te gusta programar más? ,¿Programas en PC o Laptop?,¿Cuánta RAM tiene tu PC/Laptop?,¿Has participado en algo relacionado a programación competitiva?,¿En cuántos proyectos de programación has participado?,¿Te gusta programar en equipo o prefieres en solitario?,¿Cuántas librerías conoces?,¿Cuántas horas al día pasas delante del monitor programando? ,"Por favor, entra al link. Es un test de velocidad de reacción. Solo ingresa el numero que te aparece."
18/05/2021 20:42:29,201910200,Ciencia de la Computación,5,19,No,No,No,En cualquier momento,No,40,2,Linux,Sublime Text,0,C++,Laptop,16 GB,No,9,En equipo,11-15,5,546
18/05/2021 20:49:46,201910023,Ciencia de la Computación,5,19,No,Si,No,En cualquier momento,No,55,2,Windows,Visual Studio,3,C++,Laptop,8 GB,No,3,Solitario,6-10,4,194
18/05/2021 21:19:07,201910347,Ciencia de la Computación,5,19,No,Si,No,Unicamente en mis ciclos universitarios,Si,50,2,Windows,JetBrains,2,C++,Laptop,16 GB,No,2,Solitario,6-10,2,208
19/05/2021 17:59:31,201910015,Ingeniería Mecatrónica,5,20,Si,No,No,Unicamente en mis ciclos universitarios,No,31,2,Windows,JetBrains,2,C++,Laptop,4 GB,No,0,En equipo,0-5,2,284
19/05/2021 18:02:31,201910212,Ingeniería Mecatrónica,5,19,Si,Si,Si,En cualquier momento,No,19,3,Windows,Visual Studio,2,C++,PC,16 GB,No,2,Solitario,6-10,1,300
19/05/2021 18:04:48,201810510,Ingeniería de la Energía,7,19,No,Si,No,Unicamente en mis ciclos universitarios,Si,31,2,Windows,JetBrains,2,Lenguaje de programación R,Laptop,16 GB,No,3,Solitario,6-10,1,182
19/05/2021 18:16:43,202010258,Ingeniería Mecánica,3,18,Si,No,Si,Unicamente en mis ciclos universitarios,Si,22,1,Windows,JetBrains,2,C++,Laptop,8 GB,No,2,Solitario,0-5,1,256
19/05/2021 18:26:35,201910048,Ciencia de la Computación,4,25,Si,Si,Si,En cualquier momento,No,45,2,"Windows, Linux",Visual Studio,2,C++,Laptop,16 GB,Si,4,Solitario,0-5,3,184
19/05/2021 18:27:01,201910194,Ciencia de Datos,5,20,No,Si,No,En cualquier momento,No,40,2,"Windows, Linux",Visual Studio,5,C++,Laptop,16 GB,No,0,En equipo,0-5,4,218
19/05/2021 18:28:35,202110307,Ciencia de la Computación,1,17,Si,Si,Si,En cualquier momento,Si,49,0,Linux,Visual Studio,2,C++,Laptop,8 GB,No,0,En equipo,0-5,3,322
19/05/2021 18:32:45,201910037,Ciencia de la Computación,5,19,No,Si,Si,Unicamente en mis ciclos universitarios,No,31,2,"Windows, Linux",Visual Studio,1,C++,Laptop,16 GB,Si,2,Solitario,16-20,6,229
19/05/2021 18:35:37,201810434,Ciencia de la Computación,7,21,No,Si,No,En cualquier momento,Si,62,3,"Windows, Linux",Visual Studio,4,C++,PC,16 GB,Si,9,En equipo,6-10,6,247
19/05/2021 18:45:54,202010590,Ingeniería Industrial,4,24,Si,Si,No,Unicamente en mis ciclos universitarios,No,54,3,Windows,Visual Studio,4,C++,Laptop,64 GB,No,5,Solitario,25-30,4,1820
19/05/2021 18:53:33,202010054,Ciencia de la Computación,3,18,Si,Si,Si,En cualquier momento,Si,50,1,"Windows, Linux",JetBrains,2,C++,PC,16 GB,Si,4,Solitario,0-5,6,212
19/05/2021 19:04:28,202110139,Ingeniería Mecatrónica,1,17,Si,Si,No,Unicamente en mis ciclos universitarios,No,12,0,Windows,Visual Studio,0,Python,Laptop,8 GB,No,0,Solitario,6-10,1,289
19/05/2021 19:05:53,202110315,Ingeniería Civl,1,17,Si,No,No,Unicamente en mis ciclos universitarios,No,29,0,Windows,JetBrains,0,Python,Laptop,16 GB,No,0,Solitario,0-5,2,200
19/05/2021 19:06:02,201920130,Ingeniería Civl,5,19,Si,Si,Si,En cualquier momento,Si,40,3,Windows,Visual Studio,5,C++,Laptop,64 GB,No,4,Solitario,16-20,6,242
19/05/2021 19:08:34,202010584,Ingeniería Civl,5,21,Si,Si,No,Unicamente en mis ciclos universitarios,Si,27,1,Windows,JetBrains,2,C++,PC,16 GB,No,2,Solitario,0-5,2,253
19/05/2021 19:09:23,202010056,Ingeniería Civl,3,18,Si,Si,No,Unicamente en mis ciclos universitarios,Si,80,1,Windows,Visual Studio,1,Python,Laptop,16 GB,No,0,En equipo,0-5,1,305
19/05/2021 19:10:33,202110183,Ciencia de la Computación,1,17,Si,Si,No,Unicamente en mis ciclos universitarios,No,36,0,Windows,JetBrains,1,Python,PC,8 GB,No,0,Solitario,0-5,1,336
19/05/2021 19:11:34,202110761,Ingeniería Civl,1,18,Si,Si,No,Unicamente en mis ciclos universitarios,No,24,0,Windows,JetBrains,0,Python,Laptop,8 GB,No,0,En equipo,0-5,1,152
19/05/2021 19:12:32,70298519,Ingeniería Mecatrónica,5,19,Si,Si,No,En cualquier momento,Si,48,2,MAC OS,JetBrains,3,Python,Laptop,16 GB,No,4,Solitario,6-10,3,279
19/05/2021 19:12:38,202020075,Bioingeniería,2,19,Si,Si,No,Unicamente en mis ciclos universitarios,No,79,1,Windows,Visual Studio,2,Python,Laptop,8 GB,No,1,Solitario,0-5,2,622
