Edad,Ciclo,Carrera,Sexo,Frecuencia,Razones,TipoComida,Gasto,MPago,Entrada,Postre,Bebida,Tiempo,Satisfaccion
18,3,INGENIERÍA MECATRÓNICA,Masculino,3,No tengo tiempo,Criolla,15,Tarjeta,Sí,Sí,Gaseosas,20,No
19,4,INGENIERÍA CIVIL,Femenino,3,No tengo tiempo,Oriental,17,Efectivo,Sí,No,Agua,40,Sí
17,3,INGENIERÍA MECATRÓNICA,Masculino,4,No tengo tiempo,Criolla,22,Billeteras Digitales,A veces,No,Refrescos,10,Sí
20,7,INGENIERÍA CIVIL,Masculino,1,No quiero llevar mi almuerzo,Criolla,10,Billeteras Digitales,Sí,No,Jugos,25,Sí
18,3,INGENIERÍA MECATRÓNICA,Masculino,4,No quiero llevar mi almuerzo,Criolla,14,Tarjeta,Sí,Sí,Jugos,10,Sí
20,4,INGENIERÍA CIVIL,Femenino,2,No tengo tiempo,Criolla,13,Billeteras Digitales,Sí,No,Jugos,20,Sí
21,4,BIOINGENIERÍA,Femenino,3,No tengo tiempo,Criolla,14,Billeteras Digitales,Sí,A veces,Refrescos,20,Sí
22,5,INGENIERÍA CIVIL,Masculino,2,Otros,Oriental,10,Tarjeta,Sí,A veces,Gaseosas,35,Sí
21,4,INGENIERÍA CIVIL,Femenino,3,No quiero llevar mi almuerzo,Criolla,15,Efectivo,Sí,A veces,Jugos,25,Sí
18,3,INGENIERÍA MECATRÓNICA,Masculino,3,No tengo tiempo,Comida rápida,20,Tarjeta,Sí,A veces,Gaseosas,20,Sí
18,3,INGENIERÍA DE LA ENERGÍA,Masculino,2,No quiero llevar mi almuerzo,Marina,30,Efectivo,Sí,No,Agua,20,No
19,5,INGENIERÍA CIVIL,Masculino,4,No tengo tiempo,Oriental,15,Efectivo,A veces,Sí,Refrescos,25,Sí
17,3,INGENIERÍA MECATRÓNICA,Masculino,4,No quiero llevar mi almuerzo,Criolla,13,Tarjeta,Sí,Sí,Gaseosas,25,Sí
19,3,INGENIERÍA MECATRÓNICA,Masculino,4,No quiero llevar mi almuerzo,Criolla,15,Billeteras Digitales,Sí,No,Refrescos,20,No
18,3,INGENIERÍA MECATRÓNICA,Femenino,1,Para salir con mi familia,Comida rápida,24,Tarjeta,No,A veces,Gaseosas,25,Sí
19,4,INGENIERÍA CIVIL,Femenino,2,No sé cocinar,Criolla,14,Efectivo,Sí,A veces,Refrescos,20,Sí
15,4,INGENIERÍA MECATRÓNICA,Masculino,2,No tengo tiempo,Comidas típicas,13,Efectivo,Sí,No,Refrescos,25,Sí
24,4,INGENIERÍA MECATRÓNICA,Masculino,2,No tengo tiempo,Criolla,10,Efectivo,Sí,No,Refrescos,25,Sí
18,3,CIENCIA DE LA COMPUTACIÓN,Masculino,3,No quiero llevar mi almuerzo,Criolla,12,Efectivo,A veces,Sí,Refrescos,25,Sí
18,3,CIENCIA DE LA COMPUTACIÓN,Masculino,1,No tengo tiempo,Criolla,10,Tarjeta,Sí,No,Refrescos,20,Sí
22,7,CIENCIA DE LA COMPUTACIÓN,Masculino,7,No sé cocinar,Comidas típicas,15,Efectivo,Sí,No,Refrescos,20,Sí
15,6,INGENIERÍA CIVIL,Otros,3,No tengo tiempo,Criolla,15,Efectivo,Sí,No,Refrescos,25,Sí
19,4,INGENIERÍA CIVIL,Masculino,3,No tengo tiempo,Criolla,14,Efectivo,Sí,A veces,Refrescos,35,Sí
20,4,INGENIERÍA MECATRÓNICA,Masculino,5,No tengo tiempo,Criolla,11,Efectivo,A veces,A veces,Jugos,40,Sí
20,4,INGENIERÍA ELECTRÓNICA,Masculino,7,Vivo solo,Comidas típicas,22,Billeteras Digitales,Sí,No,Refrescos,40,Sí
19,4,INGENIERÍA ELECTRÓNICA,Masculino,1,Otros,Criolla,12,Efectivo,Sí,No,Refrescos,20,No
21,4,INGENIERÍA CIVIL,Masculino,4,No tengo tiempo,Comidas típicas,14,Billeteras Digitales,Sí,A veces,Refrescos,25,Sí
20,4,INGENIERÍA INDUSTRIAL,Masculino,5,No tengo tiempo,Criolla,15,Efectivo,A veces,No,Refrescos,25,Sí
17,2,INGENIERÍA CIVIL,Masculino,7,No tengo tiempo,Criolla,15,Efectivo,Sí,No,Jugos,20,No
21,5,CIENCIA DE LA COMPUTACIÓN,Masculino,2,Otros,Comida rápida,25,Tarjeta,A veces,No,Gaseosas,25,Sí
18,4,CIENCIA DE LA COMPUTACIÓN,Femenino,3,No tengo tiempo,Criolla,12,Tarjeta,Sí,No,Refrescos,25,No
20,5,INGENIERÍA CIVIL,Masculino,5,Vivo solo,Criolla,13,Tarjeta,Sí,A veces,Refrescos,10,Sí
19,4,INGENIERÍA MECATRÓNICA,Masculino,1,Vivo solo,Comida rápida,13,Efectivo,A veces,A veces,Jugos,25,No
19,4,INGENIERÍA INDUSTRIAL,Femenino,1,No sé cocinar,Criolla,13,Efectivo,A veces,No,Refrescos,25,Sí
19,4,INGENIERÍA CIVIL,Masculino,4,Vivo solo,Criolla,15,Efectivo,Sí,A veces,Refrescos,25,Sí
18,4,INGENIERÍA CIVIL,Masculino,1,No sé cocinar,Marina,11,Efectivo,A veces,A veces,Jugos,25,Sí
20,4,INGENIERÍA CIVIL,Masculino,4,No tengo tiempo,Criolla,13,Efectivo,Sí,No,Refrescos,40,No
20,4,INGENIERÍA CIVIL,Masculino,7,Vivo solo,Criolla,18,Efectivo,Sí,No,Refrescos,25,Sí
21,8,CIENCIA DE LA COMPUTACIÓN,Masculino,1,Para salir con mi familia,Comida rápida,22,Efectivo,No,No,Gaseosas,25,Sí
19,7,INGENIERÍA CIVIL,Masculino,2,No quiero llevar mi almuerzo,Criolla,15,Billeteras Digitales,Sí,No,Refrescos,20,Sí
18,3,INGENIERÍA AMBIENTAL,Masculino,7,Vivo solo,Criolla,10,Efectivo,Sí,No,Refrescos,25,No
20,4,INGENIERÍA CIVIL,Masculino,3,No tengo tiempo,Criolla,15,Efectivo,Sí,Sí,Jugos,20,Sí
20,2,INGENIERÍA MECÁNICA,Masculino,7,No tengo tiempo,Criolla,25,Efectivo,No,No,Ninguna,20,Sí
18,2,INGENIERÍA MECÁNICA,Masculino,1,No sé cocinar,Marina,26,Tarjeta,Sí,Sí,Gaseosas,25,Sí
20,4,INGENIERÍA CIVIL,Masculino,7,No tengo tiempo,Criolla,11,Efectivo,Sí,No,Refrescos,25,Sí
19,4,INGENIERÍA CIVIL,Femenino,7,Vivo solo,Criolla,15,Efectivo,Sí,No,Refrescos,40,Sí
20,4,INGENIERÍA QUÍMICA,Femenino,2,No tengo tiempo,Comida rápida,13,Efectivo,A veces,A veces,Refrescos,60,Sí
19,4,INGENIERÍA CIVIL,Femenino,1,Vivo solo,Criolla,10,Efectivo,A veces,No,Otros,10,No
23,4,INGENIERÍA CIVIL,Masculino,4,No tengo tiempo,Criolla,16,Tarjeta,Sí,Sí,Refrescos,40,Sí
18,4,INGENIERÍA ELECTRÓNICA,Masculino,7,No tengo tiempo,Criolla,10,Billeteras Digitales,No,No,Refrescos,25,No
19,5,INGENIERÍA AMBIENTAL,Femenino,4,No tengo tiempo,Comida rápida,10,Efectivo,Sí,A veces,Refrescos,20,Sí
19,4,INGENIERÍA CIVIL,Masculino,2,No quiero llevar mi almuerzo,Criolla,15,Efectivo,Sí,No,Refrescos,25,Sí
19,4,BIOINGENIERÍA,Femenino,1,Otros,Comidas típicas,13,Efectivo,No,Sí,Refrescos,25,Sí
19,4,INGENIERÍA MECATRÓNICA,Masculino,4,No tengo tiempo,Oriental,13,Efectivo,Sí,Sí,Jugos,40,Sí
18,3,INGENIERÍA CIVIL,Masculino,3,No quiero llevar mi almuerzo,Criolla,11,Efectivo,Sí,A veces,Refrescos,40,Sí
20,5,INGENIERÍA QUÍMICA,Otros,3,No quiero llevar mi almuerzo,Oriental,17,Efectivo,A veces,A veces,Jugos,20,Sí
19,4,CIENCIA DE LA COMPUTACIÓN,Masculino,3,Otros,Criolla,15,Efectivo,Sí,No,Refrescos,40,Sí
20,4,INGENIERÍA CIVIL,Masculino,3,No quiero llevar mi almuerzo,Comida rápida,16,Billeteras Digitales,Sí,Sí,Refrescos,25,Sí
20,4,CIENCIA DE LA COMPUTACIÓN,Masculino,1,No quiero llevar mi almuerzo,Comida rápida,25,Tarjeta,A veces,A veces,Refrescos,25,Sí
21,6,INGENIERÍA CIVIL,Masculino,5,No tengo tiempo,Criolla,15,Efectivo,Sí,No,Jugos,10,Sí
18,3,INGENIERÍA MECATRÓNICA,Masculino,3,No tengo tiempo,Criolla,10,Efectivo,Sí,No,Refrescos,20,Sí
18,4,INGENIERÍA AMBIENTAL,Femenino,1,No quiero llevar mi almuerzo,Criolla,30,Tarjeta,Sí,Sí,Agua,25,No
18,3,INGENIERÍA MECATRÓNICA,Masculino,5,Otros,Criolla,17,Tarjeta,Sí,No,Refrescos,40,Sí
21,4,INGENIERÍA CIVIL,Masculino,2,No quiero llevar mi almuerzo,Criolla,14,Billeteras Digitales,Sí,A veces,Refrescos,20,Sí
21,4,INGENIERÍA MECÁNICA,Masculino,4,Otros,Comida rápida,12,Efectivo,Sí,Sí,Jugos,10,Sí
19,4,INGENIERÍA CIVIL,Femenino,2,Para salir con mi familia,Criolla,10,Efectivo,Sí,Sí,Jugos,20,Sí
18,4,INGENIERÍA CIVIL,Femenino,3,No tengo tiempo,Comida rápida,13,Tarjeta,A veces,No,Refrescos,10,Sí
19,4,INGENIERÍA CIVIL,Femenino,2,No tengo tiempo,Comida rápida,24,Tarjeta,Sí,A veces,Refrescos,40,Sí
19,4,INGENIERÍA CIVIL,Femenino,3,Vivo solo,Comida rápida,13,Tarjeta,Sí,Sí,Agua,20,Sí
19,4,INGENIERÍA CIVIL,Femenino,3,No tengo tiempo,Criolla,14,Efectivo,Sí,No,Refrescos,25,Sí
19,4,INGENIERÍA MECATRÓNICA,Femenino,6,Vivo solo,Criolla,14,Billeteras Digitales,Sí,No,Refrescos,25,Sí
20,4,INGENIERÍA ELECTRÓNICA,Masculino,6,Vivo solo,Criolla,10,Billeteras Digitales,Sí,Sí,Agua,20,No
20,9,INGENIERÍA MECATRÓNICA,Masculino,7,Vivo solo,Comidas típicas,13,Billeteras Digitales,Sí,No,Refrescos,25,Sí
18,4,INGENIERÍA INDUSTRIAL,Femenino,3,No tengo tiempo,Criolla,10,Efectivo,Sí,No,Agua,10,Sí
19,4,INGENIERÍA CIVIL,Masculino,3,Vivo solo,Criolla,13,Efectivo,Sí,Sí,Refrescos,20,Sí
18,2,INGENIERÍA CIVIL,Masculino,3,No tengo tiempo,Criolla,13,Efectivo,Sí,Sí,Jugos,25,Sí
17,2,INGENIERÍA CIVIL,Masculino,2,Vivo solo,Criolla,14,Efectivo,Sí,No,Refrescos,40,Sí
