"","Edad","Carrera","Ciclo","DProcedencia","CAVerdes","CADiscapacidad","CALugarCentrico","CAMasLugaresEstudio","CADeportivas","Escala","CEconomica","GDiarioTransporte","CantTransportes","TVivienda","TimeTrans","DSede","DResidencia"
"1",17,"Bioingeniería",2,"Provincia",5,5,5,5,5,"E","Con credito (ayuda financiera de UTEC)",18,1,"Alquilado (compartido)",10,"san isidro","barranco"
"2",18,"Ing. Civil",3,"Lima Metropolitana o Callao",4,4,4,5,5,"E","Regular (sin apoyo alguno)",6,3,"Casa propia",60,"pueblo libre","comas"
"3",18,"Bioingeniería",3,"Lima Metropolitana o Callao",4,4,4,5,5,"E","Regular (sin apoyo alguno)",0,1,"Casa propia",100,"san borja","santiago de surco"
"4",19,"Ing. Ambiental",3,"Lima Metropolitana o Callao",5,4,4,5,5,"E","Con credito (ayuda financiera de UTEC)",8,2,"Casa propia",60,"san borja","comas"
"5",19,"Ing. Industrial",4,"Provincia",4,5,5,5,5,"C","Becado (beca 18, beca utec, etc.)",4,2,"Casa propia",120,"san borja","ate"
"6",19,"Ing. Industrial",4,"Provincia",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",100,1,"Casa propia",50,"jesús maría","breña"
"7",21,"Ing. Industrial",3,"Provincia",5,5,5,5,5,"D","Regular (sin apoyo alguno)",6,3,"Casa propia",100,"barranco","el agustino"
"8",19,"Ing. Industrial",3,"Provincia",5,5,5,5,5,"A","Regular (sin apoyo alguno)",0,0,"Casa propia",10,"san borja","barranco"
"9",23,"Ing. Industrial",10,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Regular (sin apoyo alguno)",50,1,"Casa propia",120,"pueblo libre","el agustino"
"10",20,"Ing. Mecánica",3,"Lima Metropolitana o Callao",5,4,4,4,5,"D","Regular (sin apoyo alguno)",10,4,"Casa propia",180,"san isidro","santa anita"
"11",18,"Ing. Industrial",4,"Provincia",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",2,1,"Alquilado (solo)",60,"la molina","chorrillos"
"12",20,"Ing. Industrial",6,"Provincia",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (compartido)",30,"san isidro","barranco"
"13",19,"Ing. Industrial",2,"Lima Metropolitana o Callao",4,4,5,5,5,"E","Regular (sin apoyo alguno)",4,2,"Casa propia",100,"jesús maría","san juan de lurigancho"
"14",18,"Ing. Ambiental",3,"Lima Metropolitana o Callao",5,4,5,5,4,"E","Con credito (ayuda financiera de UTEC)",30,3,"Casa propia",120,"san borja","san juan de miraflores"
"15",21,"Ing. Electrónica",2,"Provincia",5,5,4,5,5,"C","Becado (beca 18, beca utec, etc.)",12,3,"Alquilado (compartido)",150,"la molina","ate"
"16",21,"Ing. Industrial",4,"Lima Metropolitana o Callao",5,5,5,5,5,"E","Becado (beca 18, beca utec, etc.)",10,3,"Casa propia",100,"san isidro","el agustino"
"17",17,"Ing. Mecánica",3,"Lima Metropolitana o Callao",3,4,4,5,5,"D","Regular (sin apoyo alguno)",2.5,1,"Casa propia",90,"barranco","los olivos"
"18",19,"Ing. Mecánica",3,"Lima Metropolitana o Callao",5,5,4,5,4,"A","Regular (sin apoyo alguno)",3,1,"Casa propia",20,"san isidro","miraflores"
"19",18,"Bioingeniería",3,"Lima Metropolitana o Callao",2,3,2,5,4,"B","Regular (sin apoyo alguno)",0,2,"Casa propia",40,"la molina","la molina"
"20",24,"Ing. Industrial",8,"Lima Metropolitana o Callao",5,4,4,5,4,"E","Regular (sin apoyo alguno)",10,3,"Casa propia",60,"jesús maría","carabayllo"
"21",20,"Ing. Industrial",7,"Lima Metropolitana o Callao",4,2,4,4,5,"E","Regular (sin apoyo alguno)",0,0,"Alquilado (solo)",20,"jesús maría","barranco"
"22",19,"Ing. Industrial",3,"Provincia",5,5,5,5,5,"A","Regular (sin apoyo alguno)",0,0,"Alquilado (solo)",15,"san isidro","barranco"
"23",20,"Ing. Industrial",8,"Lima Metropolitana o Callao",4,4,3,5,4,"E","Regular (sin apoyo alguno)",0,0,"Casa propia",60,"san isidro","santiago de surco"
"24",17,"Ing. Industrial",3,"Lima Metropolitana o Callao",3,5,3,5,5,"E","Con credito (ayuda financiera de UTEC)",2.5,1,"Casa propia",100,"comas","comas"
"25",20,"Bioingeniería",3,"Lima Metropolitana o Callao",2,4,3,5,5,"C","Regular (sin apoyo alguno)",50,1,"Casa propia",90,"jesús maría","san isidro"
"26",21,"Ciencias de la computación",4,"Lima Metropolitana o Callao",5,3,4,4,5,"E","Regular (sin apoyo alguno)",7,2,"Alquilado (compartido)",60,"pueblo libre","breña"
"27",23,"Ing. Industrial",10,"Lima Metropolitana o Callao",3,5,2,5,3,"E","Regular (sin apoyo alguno)",3,1,"Alquilado (compartido)",45,"pueblo libre","lince"
"28",23,"Ing. Industrial",10,"Lima Metropolitana o Callao",3,4,3,3,2,"D","Regular (sin apoyo alguno)",3,1,"Casa propia",50,"jesús maría","jesús maría"
"29",17,"Bioingeniería",3,"Provincia",3,5,5,5,5,"D","Regular (sin apoyo alguno)",12,1,"Casa propia",60,"san isidro","lince"
"30",18,"Ing. Mecatrónica",5,"Lima Metropolitana o Callao",4,4,4,5,5,"C","Regular (sin apoyo alguno)",50,1,"Casa propia",120,"san isidro","callao"
"31",20,"Ing. Mecatrónica",7,"Provincia",5,3,5,5,5,"D","Regular (sin apoyo alguno)",0,1,"Casa propia",100,"san isidro","santiago de surco"
"32",21,"Ing. Industrial",7,"Lima Metropolitana o Callao",4,4,4,5,3,"D","Becado (beca 18, beca utec, etc.)",5,1,"Casa propia",50,"jesús maría","san martin de porres"
"33",20,"Ing. Industrial",7,"Lima Metropolitana o Callao",4,4,4,5,2,"A","Regular (sin apoyo alguno)",3,1,"Casa propia",30,"san isidro","chorrillos"
"34",19,"Ing. Industrial",4,"Lima Metropolitana o Callao",4,3,3,5,4,"D","Regular (sin apoyo alguno)",20,2,"Casa propia",180,"san isidro","los olivos"
"35",20,"Ing. Química",4,"Provincia",5,5,1,3,5,"C","Becado (beca 18, beca utec, etc.)",2,1,"Alquilado (solo)",30,"san isidro","chorrillos"
"36",18,"Ing. Mecatrónica",2,"Provincia",4,5,3,4,4,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (solo)",15,"san isidro","barranco"
"37",18,"Ing. Mecatrónica",2,"Lima Metropolitana o Callao",3,3,4,5,3,"E","Regular (sin apoyo alguno)",6,2,"Alquilado (compartido)",50,"san isidro","cercado de lima"
"38",18,"Ing. Mecatrónica",3,"Lima Metropolitana o Callao",3,5,2,4,3,"B","Regular (sin apoyo alguno)",5,2,"Casa propia",100,"san isidro","ate"
"39",19,"Ciencias de datos",1,"Lima Metropolitana o Callao",2,4,3,4,5,"E","Regular (sin apoyo alguno)",21,2,"Casa propia",100,"miraflores","los olivos"
"40",21,"Ing. Mecánica",2,"Lima Metropolitana o Callao",1,3,3,5,5,"E","Becado (beca 18, beca utec, etc.)",20,3,"Casa propia",140,"san isidro","ate"
"41",17,"Ing. Industrial",3,"Lima Metropolitana o Callao",4,4,5,5,5,"E","Con credito (ayuda financiera de UTEC)",5,1,"Casa propia",180,"los olivos","los olivos"
"42",20,"Bioingeniería",4,"Lima Metropolitana o Callao",5,5,4,5,5,"E","Regular (sin apoyo alguno)",8,2,"Casa propia",150,"barranco","pachacámac"
"43",21,"Ciencias de la computación",2,"Lima Metropolitana o Callao",5,4,5,5,5,"E","Regular (sin apoyo alguno)",0,0,"Casa propia",60,"san isidro","pueblo libre"
"44",19,"Bioingeniería",4,"Provincia",5,5,4,5,5,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (compartido)",20,"barranco","barranco"
"45",18,"Ing. Mecánica",3,"Lima Metropolitana o Callao",5,4,5,5,5,"E","Regular (sin apoyo alguno)",2.5,1,"Alquilado (solo)",170,"san isidro","los olivos"
"46",19,"Ing. Ambiental",3,"Provincia",3,5,3,4,4,"E","Becado (beca 18, beca utec, etc.)",0,0,"Alquilado (solo)",15,"pueblo libre","barranco"
